,Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
1711,2175966943000000301,2171245032000000101,MODI,TRAD,2026-02-26 08:18:49+00:00,False,IR,,N,False,2026-02-26 08:18:49+00:00,2026-03-02,2046-03-02,,False,TPSE,False,False,,"20,330,400","24,000,000",EUR,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001375,0.0,,,,,False,,,3.0,3.0,,,,A004,A004,MNTH,MNTH,3.0,3.0,24000037.20000;20330400.00000;20330400.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;EUR;EUR,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
1712,2171245033000000201,2171245032000000101,MODI,TRAD,2026-02-26 08:18:49+00:00,False,IR,,N,False,2026-02-26 08:18:49+00:00,2026-03-02,2046-03-02,,False,TPSE,False,False,,"20,330,400","24,000,000",EUR,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001375,0.0,,,,,False,,,3.0,3.0,,,,A004,A004,MNTH,MNTH,3.0,3.0,24000037.20000;20330400.00000;20330400.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;EUR;EUR,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
1713,2171245032000000101,,NEWT,TRAD,2026-02-26 08:18:49+00:00,,IR,,N,False,2026-02-26 08:18:49+00:00,2026-03-02,2046-03-02,,False,TPSE,False,False,,"20,330,400","24,000,000",EUR,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001375,0.0,,,,,False,,,3.0,3.0,,,,A004,A004,MNTH,MNTH,3.0,3.0,24000037.20000;20330400.00000;20330400.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;EUR;EUR,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
2224,2171939955000004201,,NEWT,TRAD,2026-02-26 08:34:58+00:00,False,IR,,N,False,2026-02-26 08:34:58+00:00,2026-03-18,2026-06-18,,True,BILT,False,False,False,"650,000,000",0,EUR,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001625,0.0,,,,,False,,,3.0,3.0,,,,A004,A004,DAIL,DAIL,1.0,1.0,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZCXG7K5XJQZ,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-COMPOUND vs USD-SOFR-COMPOUND
2785,2172153995000000901,,NEWT,TRAD,2026-02-26 08:57:14+00:00,,IR,,N,False,2026-02-26 08:57:14+00:00,2027-06-16,2028-06-16,,False,BILT,False,False,False,"101,647,890","120,000,000",EUR,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5e-05,,,,,,False,,,3.0,,,,,A004,,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
3053,2172383574000001201,,NEWT,TRAD,2026-02-26 09:08:41+00:00,,IR,,N,False,2026-02-26 08:54:03+00:00,2029-03-21,2030-03-21,,False,BILT,False,False,False,"550,000,000","465,529,500",USD,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.000315,,,,,False,,,3.0,3.0,,,,A004,A004,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,USD,EUR,,,False,,,,,,,,,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
3056,2172383576000001401,,NEWT,TRAD,2026-02-26 09:08:43+00:00,,IR,,N,False,2026-02-26 09:00:18+00:00,2028-03-15,2031-03-15,,False,BILT,False,False,False,"4,000,000","3,385,658",USD,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.000275,,,,,False,,,3.0,3.0,,,,A004,A004,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,USD,EUR,,,False,,,,,,,,,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
3547,2175963717000000301,,NEWT,TRAD,2026-02-26 09:20:08+00:00,False,IR,,N,False,2026-02-26 09:20:08+00:00,2026-03-02,2031-03-02,,True,IMRD,False,False,False,"75,000,000","88,500,000",EUR,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00015,0.0,,,,,False,,,3.0,3.0,,,,A004,A004,DAIL,DAIL,1.0,1.0,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
3549,2172648565000000101,,NEWT,TRAD,2026-02-26 09:20:26+00:00,,IR,,N,False,2026-02-26 09:20:26+00:00,2026-03-02,2046-03-02,,False,TPSE,False,False,,"54,000,000","63,720,266",EUR,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001375,0.0,,,,,False,,,3.0,3.0,,,,A004,A004,MNTH,MNTH,3.0,3.0,63720265.50000;54000225.00000;54000225.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;EUR;EUR,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
3550,2175959550000000701,2172648565000000101,MODI,TRAD,2026-02-26 09:20:26+00:00,False,IR,,N,False,2026-02-26 09:20:26+00:00,2026-03-02,2046-03-02,,False,TPSE,False,False,,"54,000,000","63,720,266",EUR,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001375,0.0,,,,,False,,,3.0,3.0,,,,A004,A004,MNTH,MNTH,3.0,3.0,63720265.50000;54000225.00000;54000225.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;EUR;EUR,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ91WLM7JQC1,NA/Swap Flt Flt EUR USD,EUR-EuroSTR-OIS Compound vs USD-SOFR-OIS Compound
