,Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
8524,2177599804000000101,1498856985,TERM,NOVA,2026-02-26 13:19:55+00:00,,IR,,N,False,2025-05-01 14:30:17+00:00,2026-04-30,2030-04-30,,True,BILT,False,False,False,"91,000,000","99,999,999,999,999,999,999.99999",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00016,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,6400.00000;91000000.00000;91000000.00000,,MNTH,,MNTH,,3.0,,3.0,UFRO;PEXH;PEXH,CAD;CAD;CAD,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
8525,2177609259000000101,2162891585000001501,CORR,,2026-02-26 13:19:59+00:00,,IR,,N,False,2026-02-24 17:54:17+00:00,2026-04-30,2030-04-30,,False,BILT,False,False,False,"91,642,460","67,000,000",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00016,,,,,,False,,,3.0,,,,,A005,,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
8716,2177657116000000201,1498851397,TERM,NOVA,2026-02-26 13:24:00+00:00,,IR,,N,False,2025-05-01 14:30:17+00:00,2026-04-30,2035-04-30,,True,BILT,False,False,False,"48,000,000","99,999,999,999,999,999,999.99999",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00045,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,48000175.00000;48000175.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH,CAD;CAD,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
8722,2177669527000000501,2162891584000001401,CORR,,2026-02-26 13:24:05+00:00,,IR,,N,False,2026-02-24 17:54:24+00:00,2026-04-30,2035-04-30,,False,BILT,False,False,False,"47,872,875","35,000,000",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00045,,,,,,False,,,3.0,,,,,A005,,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
9344,2177979114000000801,2162393649000000501,CORR,,2026-02-26 13:45:09+00:00,,IR,,N,False,2026-02-25 03:15:33+00:00,2026-04-30,2035-04-30,,False,BILT,False,False,False,"64,286,720","47,000,000",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005375,,,,,,False,,,3.0,,,,,A005,,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
9346,2177991309000000101,2162393648000000401,CORR,,2026-02-26 13:45:16+00:00,,IR,,N,False,2026-02-25 03:13:52+00:00,2026-04-30,2030-04-30,,False,BILT,False,False,False,"121,734,040","89,000,000",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00015,,,,,,False,,,3.0,,,,,A005,,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
9871,2178784097000000701,,NEWT,TRAD,2026-02-26 14:01:00+00:00,,IR,,N,False,2026-02-26 14:01:00+00:00,2032-09-15,2036-09-15,2036-09-15,False,BILT,False,False,False,"109,509,030","84,000,000",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001288,,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,,3.0,,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZM346RSTQ5W,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS-COMPOUND vs USD-SOFR-COMPOUND
9982,2178258344000000601,,NEWT,TRAD,2026-02-26 14:02:49+00:00,,IR,,N,False,2026-02-26 13:44:29+00:00,2031-12-17,2036-12-17,,False,BILT,False,False,False,"170,000,000","99,999,999,999,999,999,999.99999",CAD,USD,,,,,,,,,,,170000000;170000000;170000000;170000000;170000000;170000000;170000000;170000000;170000000;170000000,124246835;124246835;124246835;124246835;124246835;124246835;124246835;124246835;124246835;124246835,2031-12-17;2032-03-17;2032-06-17;2032-09-17;2032-12-17;2033-03-17;2033-06-17;2033-09-17;2033-12-17;2034-03-17,2031-12-17;2032-03-17;2032-06-17;2032-09-17;2032-12-17;2033-03-17;2033-06-17;2033-09-17;2033-12-17;2034-03-17,2032-03-17;2032-06-17;2032-09-17;2032-12-17;2033-03-17;2033-06-17;2033-09-17;2033-12-17;2034-03-17;2034-06-17,2032-03-17;2032-06-17;2032-09-17;2032-12-17;2033-03-17;2033-06-17;2033-09-17;2033-12-17;2034-03-17;2034-06-17,,,,,,,,,,,,,,0.0012,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
10280,2178423004000000401,2178423003000000301,MODI,TRAD,2026-02-26 14:14:02+00:00,False,IR,,N,False,2026-02-26 14:14:02+00:00,2026-03-02,2046-03-02,,False,BGCD,False,False,,"50,000,000","36,523,010",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000575,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,36523009.50000;50000000.00000;50000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
10281,2178423003000000301,,NEWT,TRAD,2026-02-26 14:14:02+00:00,,IR,,N,False,2026-02-26 14:14:02+00:00,2026-03-02,2046-03-02,,False,BGCD,False,False,,"50,000,000","36,523,010",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000575,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,36523009.50000;50000000.00000;50000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
10282,2178529796000000201,2178423003000000301,MODI,TRAD,2026-02-26 14:14:02+00:00,False,IR,,N,False,2026-02-26 14:14:02+00:00,2026-03-02,2046-03-02,,False,BGCD,False,False,,"50,000,000","36,523,010",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000575,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,36523009.50000;50000000.00000;50000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
11041,2178717378000000701,2178717377000000601,MODI,TRAD,2026-02-26 14:36:15+00:00,False,IR,,N,False,2026-02-26 14:36:15+00:00,2026-03-02,2041-03-02,,False,TPSE,False,False,,"50,000,000","36,523,010",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,36523009.50000;50000000.00000;50000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
11043,2178717377000000601,,NEWT,TRAD,2026-02-26 14:36:15+00:00,,IR,,N,False,2026-02-26 14:36:15+00:00,2026-03-02,2041-03-02,,False,TPSE,False,False,,"50,000,000","36,523,010",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,36523009.50000;50000000.00000;50000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
11044,2178801635000000701,2178717377000000601,MODI,TRAD,2026-02-26 14:36:15+00:00,False,IR,,N,False,2026-02-26 14:36:15+00:00,2026-03-02,2041-03-02,,False,TPSE,False,False,,"50,000,000","36,523,010",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,36523009.50000;50000000.00000;50000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
11246,2178799968000000601,,NEWT,TRAD,2026-02-26 14:42:47+00:00,,IR,,N,False,2026-02-25 14:58:48+00:00,2026-05-27,2026-08-27,,True,BILT,False,False,False,"463,781,200","340,000,000",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00082,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,463781200.00000;463781200.00000;340000383.46090,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,CAD;CAD;USD,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
11978,2179059105000000301,,NEWT,TRAD,2026-02-26 15:02:01+00:00,,IR,,N,False,2026-02-26 15:02:01+00:00,2026-03-02,2036-03-02,,False,BGCD,False,False,,"100,000,000","73,072,707",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00035,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,73072707.34000;100000000.00000;100000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
11979,2179228072000000101,2179059105000000301,MODI,TRAD,2026-02-26 15:02:01+00:00,False,IR,,N,False,2026-02-26 15:02:01+00:00,2026-03-02,2036-03-02,,False,BGCD,False,False,,"100,000,000","73,072,707",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00035,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,73072707.34000;100000000.00000;100000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
11980,2179059106000000401,2179059105000000301,MODI,TRAD,2026-02-26 15:02:01+00:00,False,IR,,N,False,2026-02-26 15:02:01+00:00,2026-03-02,2036-03-02,,False,BGCD,False,False,,"100,000,000","73,072,707",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00035,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,73072707.34000;100000000.00000;100000000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
12036,2179070298000000201,2179070297000000101,MODI,TRAD,2026-02-26 15:02:56+00:00,False,IR,,N,False,2026-02-26 15:02:56+00:00,2026-03-02,2036-03-02,,False,TPSE,False,False,,"177,904,994+","129,952,520",CAD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00035,0.0,,,,,False,,,3.0,3.0,,,,A005,A004,MNTH,MNTH,3.0,3.0,129952520.08772;177905000.00000;177905000.00000,,MNTH,,MNTH,,3.0,,3.0,PEXH;PEXH;PEXH,USD;CAD;CAD,,,,,False,,,,,,,,OPET,,,False,,,,,,,,,QZ2299PWZGM8,NA/Swap Flt Flt CAD USD,CAD-CORRA-OIS Compound vs USD-SOFR-OIS Compound
