basis,ma,zscore_window,entry_min_zscore,exit_style,config,n_trades,total_net_bp,hit_rate,avg_net_bp,sharpe,max_dd_bp,avg_hold_days,worst_bp
premium,1,60,1.5,z0,premium|ma1|w60|z1.5|z0|lag1,10,-36.25,0.0,-3.625,-7.268472786549036,-33.75,4.3,-11.0
premium,1,60,1.5,half,premium|ma1|w60|z1.5|half|lag1,12,-35.0,0.08333333333333333,-2.9166666666666665,-7.8424169987294,-35.75,3.5833333333333335,-5.5
premium,1,60,1.5,t10,premium|ma1|w60|z1.5|t10|lag1,8,-17.75,0.25,-2.21875,-2.461111076449318,-19.499999999999993,9.0,-7.5
premium,1,60,2.0,z0,premium|ma1|w60|z2.0|z0|lag1,3,-17.0,0.0,-5.666666666666667,-6.502248654381782,-12.75,7.333333333333333,-11.0
premium,1,60,2.0,half,premium|ma1|w60|z2.0|half|lag1,4,-14.75,0.0,-3.6875,-13.7805499081873,-10.500000000000002,2.25,-4.75
premium,1,60,2.0,t10,premium|ma1|w60|z2.0|t10|lag1,3,-4.75,0.3333333333333333,-1.5833333333333333,-1.1306618659949685,-13.750000000000004,10.0,-7.5
premium,1,60,2.5,z0,premium|ma1|w60|z2.5|z0|lag1,1,-6.75,0.0,-6.75,-3.938494785900053,-7.25,20.0,-6.75
premium,1,60,2.5,half,premium|ma1|w60|z2.5|half|lag1,1,-4.75,0.0,-4.75,-8.179905631127852,-5.25,6.0,-4.75
premium,1,60,2.5,t10,premium|ma1|w60|z2.5|t10|lag1,1,-6.75,0.0,-6.75,-8.628017354868485,-7.25,10.0,-6.75
premium,1,120,1.5,z0,premium|ma1|w120|z1.5|z0|lag1,6,-17.25,0.16666666666666666,-2.875,-4.220796165999265,-18.25,6.333333333333333,-6.75
premium,1,120,1.5,half,premium|ma1|w120|z1.5|half|lag1,8,-22.0,0.125,-2.75,-8.493994655371493,-19.0,2.5,-5.5
premium,1,120,1.5,t10,premium|ma1|w120|z1.5|t10|lag1,7,-19.0,0.14285714285714285,-2.7142857142857144,-2.7738075439890024,-22.75,10.0,-6.75
premium,1,120,2.0,z0,premium|ma1|w120|z2.0|z0|lag1,0,0.0,,,,0.0,,
premium,1,120,2.0,half,premium|ma1|w120|z2.0|half|lag1,0,0.0,,,,0.0,,
premium,1,120,2.0,t10,premium|ma1|w120|z2.0|t10|lag1,0,0.0,,,,0.0,,
premium,1,120,2.5,z0,premium|ma1|w120|z2.5|z0|lag1,0,0.0,,,,0.0,,
premium,1,120,2.5,half,premium|ma1|w120|z2.5|half|lag1,0,0.0,,,,0.0,,
premium,1,120,2.5,t10,premium|ma1|w120|z2.5|t10|lag1,0,0.0,,,,0.0,,
premium,5,60,1.5,z0,premium|ma5|w60|z1.5|z0|lag1,15,-25.25,0.13333333333333333,-1.6833333333333333,-2.172335171511015,-28.250000000000018,9.933333333333334,-8.5
premium,5,60,1.5,half,premium|ma5|w60|z1.5|half|lag1,16,-32.75,0.0625,-2.046875,-2.9606741688467717,-33.75,8.3125,-7.75
premium,5,60,1.5,t10,premium|ma5|w60|z1.5|t10|lag1,16,-38.0,0.0625,-2.375,-2.6594146238445493,-39.5,9.5,-7.75
premium,5,60,2.0,z0,premium|ma5|w60|z2.0|z0|lag1,7,-6.5,0.2857142857142857,-0.9285714285714286,-1.0570167350838464,-10.75,9.285714285714286,-7.75
premium,5,60,2.0,half,premium|ma5|w60|z2.0|half|lag1,8,-13.5,0.125,-1.6875,-2.5172360539197416,-14.749999999999991,7.125,-7.75
premium,5,60,2.0,t10,premium|ma5|w60|z2.0|t10|lag1,8,-19.75,0.125,-2.46875,-2.166220117856251,-22.749999999999993,9.0,-7.75
