search,config,trades,gross_bp,tick_bp,net_bp,hit_rate,sr_per_trade,ann_sharpe,trades_per_year
consensus surprise,fade|e2|z1.5|tp1|slinf|t240,41,0.7797130358418926,0.239,0.5408130358418923,0.902439024390244,0.3304981074554786,0.7680351258056138,5.400378651280202
consensus surprise,fade_then_flip|e15|z1.5|tp2|sl1|t120,60,0.689523916759346,0.239,0.4506239167593458,0.55,0.2623860279426883,0.7376264949636969,7.90299314821493
consensus surprise,fade_then_flip|e15|z1.5|tp2|sl1|t240,60,0.6640863904636667,0.239,0.4251863904636666,0.55,0.2476084773852004,0.6960834566116337,7.90299314821493
parameter search,grid|US|retail sales|m5|h120|momentum,83,0.874643666870749,0.245,0.629643666870749,0.6144578313253012,0.2025976663880048,0.6698748338825786,10.932473855030652
consensus surprise,fade_then_flip|e15|z1.5|tp3|sl1|t120,62,0.7063202632198877,0.239,0.4674202632198878,0.4677419354838709,0.22503633344288262,0.6430854230337285,8.166426253155429
parameter search,grid|US|retail sales|m5|h240|momentum,83,1.0256121497773203,0.245,0.7806121497773203,0.5783132530120482,0.1892751106541482,0.6258247469876144,10.932473855030652
CPI x TY brackets,momentum|mv3|tp0.25f|sl1.5f|tr-|t118,38,0.9633031091256448,0.239,0.7244031091256445,0.7631578947368421,0.2788464523699084,0.6238455756142762,5.005228993869456
CPI x TY brackets,momentum|mv3|tp0.25f|slinff|tr-|t118,38,0.9633031091256448,0.239,0.7244031091256445,0.7631578947368421,0.2788464523699084,0.6238455756142762,5.005228993869456
CPI x TY brackets,momentum|mv3|tp0.25f|sl2f|tr-|t118,38,0.9633031091256448,0.239,0.7244031091256445,0.7631578947368421,0.2788464523699084,0.6238455756142762,5.005228993869456
consensus surprise,fade_then_flip|e15|z1.5|tp5|sl1|t240,65,0.7789425606225422,0.239,0.5400425606225421,0.4461538461538462,0.21143208451645068,0.6186538890418269,8.561575910566175
CPI x TY brackets,momentum|mv3|tp3b|slinfb|tr-|t118,38,1.0513097617722829,0.239,0.8124097617722824,0.6842105263157895,0.2721561341498881,0.6088777487492081,5.005228993869456
parameter search,rel|UoM inflation|SR3 r3|momentum,37,1.0405405405405928,0.5,0.5405405405405928,0.5945945945945946,0.26916115424142173,0.5942010591159057,4.873512441399207
parameter search,grid|US|jobless claims|m5|h120|momentum,292,0.5596724642088182,0.245,0.3146724642088182,0.547945205479452,0.09557301498359523,0.5927163261543268,38.46123332131266
consensus surprise,fade|e2|z2|tp1|slinf|t240,32,0.7455253892485689,0.239,0.5066253892485689,0.90625,0.2875929215377252,0.590436720472124,4.2149296790479625
consensus surprise,fade|e2|z1.5|tp1|slinf|t120,41,0.6598575900377573,0.239,0.4209575900377571,0.8536585365853658,0.2521847190558299,0.586044876073577,5.400378651280202
consensus surprise,fade|e2|z1.5|tp1|slinf|t60,41,0.5920068376056541,0.239,0.353106837605654,0.7804878048780488,0.2478651285950845,0.576006703000546,5.400378651280202
consensus surprise,fade_then_flip|e2|z1.5|tp1|sl5|t60,41,0.5920068376056541,0.239,0.353106837605654,0.7804878048780488,0.2478651285950845,0.576006703000546,5.400378651280202
consensus surprise,fade|e2|z1.5|tp1|sl5|t60,41,0.5920068376056541,0.239,0.353106837605654,0.7804878048780488,0.2478651285950845,0.576006703000546,5.400378651280202
consensus surprise,fade_then_flip|e15|z1.5|tp5|sl1|t120,62,0.711061328432764,0.239,0.4721613284327641,0.4354838709677419,0.2014696745175701,0.5757390768121623,8.166426253155429
CPI x TY brackets,momentum|mv2|tp0.25f|sl1.5f|tr-|t118,46,0.8137128473748669,0.239,0.5748128473748669,0.7608695652173914,0.23112082707378628,0.5689029376331317,6.0589614136314465
consensus surprise,fade|e2|z2|tp5|slinf|t120,32,1.1144207026412296,0.239,0.8755207026412295,0.625,0.2737198319116988,0.5619548597301781,4.2149296790479625
CPI x TY brackets,momentum|mv2|tp0.25f|sl2f|tr-|t118,46,0.8079454522038535,0.239,0.5690454522038533,0.7608695652173914,0.2277357806599777,0.5605706602126058,6.0589614136314465
consensus surprise,fade|e2|z2|tp5|slinf|t60,32,0.9503813292271958,0.239,0.7114813292271956,0.625,0.2711436839950256,0.5566659523424763,4.2149296790479625
consensus surprise,fade|e2|z2|tp1|slinf|t120,32,0.6964429689648756,0.239,0.4575429689648754,0.875,0.2664499320860845,0.5470295417208003,4.2149296790479625
parameter search,move|TU|3|momentum,211,0.6391754187458194,0.223,0.4161754187458194,0.5497630331753555,0.10298522106433422,0.5429205879491261,27.792192571222504
parameter search,rel|ISM services|TY|momentum,80,0.5866788645665889,0.239,0.3476788645665889,0.5625,0.16512758993477117,0.536024713484968,10.537324197619906
consensus surprise,fade_then_flip|e15|z1.5|tp3|sl1|t240,64,0.6223203607020948,0.239,0.3834203607020947,0.46875,0.18360883806607903,0.5330939413535989,8.429859358095925
CPI x TY brackets,momentum|mv2|tp0.25f|slinff|tr-|t118,46,0.7791084763487856,0.239,0.5402084763487853,0.7608695652173914,0.2106002007758222,0.5183915028533643,6.0589614136314465
consensus surprise,fade_then_flip|e15|z1.5|tp2|sl1|t60,59,0.5362142407719512,0.239,0.2973142407719511,0.576271186440678,0.1834628492566634,0.5114395594624033,7.771276595744681
consensus surprise,fade_then_flip|e15|z1.5|tp5|sl0.5|t240,69,0.6200570640582561,0.239,0.3811570640582561,0.3188405797101449,0.1656514616432204,0.4993901765746272,9.08844212044717
consensus surprise,fade_then_flip|e15|z1.5|tp5|sl1|t60,60,0.6222561146298353,0.239,0.3833561146298355,0.5,0.1766164617282943,0.49650883714733246,7.90299314821493
consensus surprise,fade_then_flip|e15|z1.5|tp5|sl0.5|t60,65,0.5838300530093132,0.239,0.3449300530093133,0.3692307692307692,0.169049931659073,0.49464298619731656,8.561575910566175
consensus surprise,fade_then_flip|e15|z2|tp2|sl1|t120,47,0.5868087008816276,0.239,0.3479087008816276,0.5106382978723404,0.1983985858921952,0.4936369710556931,6.1906779661016955
consensus surprise,fade|e5|z2|tp2|sl5|t60,32,0.6858640625766437,0.239,0.4469640625766437,0.65625,0.2392697150557901,0.4912277573122002,4.2149296790479625
consensus surprise,fade|e5|z2|tp2|slinf|t60,32,0.6858640625766437,0.239,0.4469640625766437,0.65625,0.2392697150557901,0.4912277573122002,4.2149296790479625
consensus surprise,fade_then_flip|e5|z2|tp2|sl5|t60,32,0.6858640625766437,0.239,0.4469640625766437,0.65625,0.2392697150557901,0.4912277573122002,4.2149296790479625
consensus surprise,fade_then_flip|e5|z2|tp5|sl5|t120,34,0.9845485258168912,0.239,0.745648525816891,0.6176470588235294,0.2321194955982622,0.4912145860475174,4.4783627839884605
consensus surprise,fade|e5|z2|tp5|sl5|t120,32,1.0236857627088305,0.239,0.7847857627088303,0.625,0.2375637295934312,0.48772531901788296,4.2149296790479625
consensus surprise,fade_then_flip|e15|z1.5|tp3|sl0.5|t120,67,0.5294944314842369,0.239,0.2905944314842369,0.3582089552238806,0.1635402153938361,0.48582755605664796,8.825009015506671
consensus surprise,fade|e15|z2|tp2|slinf|t60,32,0.6979129177991591,0.239,0.4590129177991589,0.6875,0.2354166582219117,0.4833173183882386,4.2149296790479625
consensus surprise,fade|e2|z2|tp5|sl5|t60,32,0.8841300886367945,0.239,0.6452300886367945,0.625,0.23475271873901138,0.48195423111620295,4.2149296790479625
consensus surprise,fade|e2|z1.5|tp5|slinf|t60,41,0.8395956783921573,0.239,0.6006956783921572,0.6097560975609756,0.2072111023118332,0.4815319708111407,5.400378651280202
consensus surprise,fade_then_flip|e15|z2|tp2|sl1|t240,47,0.5778270513827263,0.239,0.3389270513827261,0.5106382978723404,0.192941700471722,0.48005965457308436,6.1906779661016955
consensus surprise,fade_then_flip|e15|z1|tp5|sl2|t240,133,0.5979336452986302,0.239,0.35903364529863,0.4586466165413533,0.1146318947625109,0.4797903060173729,17.518301478543094
consensus surprise,fade|e5|z2|tp5|slinf|t120,32,1.0162200807182915,0.239,0.7773200807182915,0.625,0.23366296262487107,0.4797169297851858,4.2149296790479625
consensus surprise,fade_then_flip|e5|z2|tp2|sl5|t240,35,0.7899968662562956,0.239,0.5510968662562954,0.7428571428571429,0.22274219285869684,0.4782518851570413,4.61007933645871
consensus surprise,fade_then_flip|e5|z1.5|tp5|sl5|t120,45,0.8958575519112703,0.239,0.6569575519112699,0.6,0.1955361471824679,0.47605100687977053,5.927244861161197
CPI x TY brackets,momentum|mv3|tp2b|slinfb|tr-|t118,38,0.7805723875242156,0.239,0.5416723875242155,0.7105263157894737,0.21199957576484943,0.4742932759193213,5.005228993869456
consensus surprise,fade|e2|z2|tp2|slinf|t60,32,0.7005967185752842,0.239,0.461696718575284,0.65625,0.2281257129681608,0.4683487934963567,4.2149296790479625
consensus surprise,fade|e15|z2|tp2|slinf|t120,32,0.788427099872719,0.239,0.5495270998727189,0.71875,0.2271481516845038,0.4663418314498056,4.2149296790479625
consensus surprise,fade_then_flip|e15|z1.5|tp1|sl1|t240,55,0.4404041309147754,0.239,0.2015041309147753,0.6727272727272727,0.1710838878003993,0.4604798524477249,7.244410385863686
consensus surprise,fade_then_flip|e15|z1.5|tp1|sl1|t120,55,0.4404041309147754,0.239,0.2015041309147753,0.6727272727272727,0.1710838878003993,0.4604798524477249,7.244410385863686
parameter search,grid|TY|jobless claims|m5|h120|momentum,290,0.5016764244258162,0.239,0.2626764244258162,0.5344827586206896,0.07449549729164949,0.4604147199925406,38.19780021637216
consensus surprise,fade_then_flip|e2|z2|tp1|sl5|t60,32,0.5698041078999674,0.239,0.3309041078999674,0.78125,0.2235390511767202,0.458932242033362,4.2149296790479625
consensus surprise,fade|e2|z2|tp1|slinf|t60,32,0.5698041078999674,0.239,0.3309041078999674,0.78125,0.2235390511767202,0.458932242033362,4.2149296790479625
consensus surprise,fade|e2|z2|tp1|sl5|t60,32,0.5698041078999674,0.239,0.3309041078999674,0.78125,0.2235390511767202,0.458932242033362,4.2149296790479625
consensus surprise,fade|e2|z2|tp3|slinf|t60,32,0.7559792889496209,0.239,0.517079288949621,0.625,0.2214704578025188,0.45468535903873436,4.2149296790479625
consensus surprise,fade_then_flip|e5|z1.5|tp5|sl3|t240,52,0.8209836465775731,0.239,0.5820836465775732,0.5769230769230769,0.1724239731348635,0.4512523717852901,6.849260728452939
consensus surprise,fade_then_flip|e5|z2|tp1|sl3|t120,37,0.5625035449039067,0.239,0.3236035449039067,0.8378378378378378,0.2041337232063912,0.45064628613427254,4.873512441399207
parameter search,move|SR3 r3|3|momentum,212,0.8490566037736104,0.5,0.34905660377361036,0.5330188679245284,0.0851987163782824,0.45021624310836833,27.923909123692752
consensus surprise,fade|e15|z1.5|tp2|sl1|t120,41,0.5741977542426968,0.239,0.3352977542426967,0.5121951219512195,0.1932465660719043,0.4490801833245946,5.400378651280202
parameter search,grid|TY|ISM mfg|m1|h30|momentum,87,0.5211033288414046,0.239,0.28210332884140465,0.5632183908045977,0.1320604564168385,0.4470463956945969,11.459340064911649
consensus surprise,fade|e2|z1.5|tp1|sl5|t240,41,0.6094810633575481,0.239,0.3705810633575479,0.8780487804878049,0.1916045425143475,0.4452643316112113,5.400378651280202
consensus surprise,fade|e2|z2|tp3|slinf|t120,32,0.8418086572595089,0.239,0.6029086572595087,0.625,0.2166441306036706,0.4447767674503995,4.2149296790479625
consensus surprise,fade|e5|z2|tp1|slinf|t30,32,0.477608633301873,0.239,0.2387086333018729,0.65625,0.216234285619781,0.4439353436528462,4.2149296790479625
consensus surprise,fade|e5|z2|tp1|sl3|t30,32,0.477608633301873,0.239,0.2387086333018729,0.65625,0.216234285619781,0.4439353436528462,4.2149296790479625
consensus surprise,fade|e5|z2|tp1|sl5|t30,32,0.477608633301873,0.239,0.2387086333018729,0.65625,0.216234285619781,0.4439353436528462,4.2149296790479625
consensus surprise,fade_then_flip|e5|z2|tp1|sl3|t30,32,0.477608633301873,0.239,0.2387086333018729,0.65625,0.216234285619781,0.4439353436528462,4.2149296790479625
consensus surprise,fade_then_flip|e5|z2|tp1|sl5|t30,32,0.477608633301873,0.239,0.2387086333018729,0.65625,0.216234285619781,0.4439353436528462,4.2149296790479625
consensus surprise,fade_then_flip|e15|z1.5|tp2|sl0.5|t120,64,0.4697793916468998,0.239,0.2308793916468998,0.40625,0.1520240985075541,0.44139011339395956,8.429859358095925
parameter search,move|TU|2|momentum,332,0.4712828577152415,0.223,0.24828285771524147,0.5391566265060241,0.0666962397523805,0.4410527852690388,43.72989542012261
consensus surprise,fade|e5|z2|tp5|sl5|t240,32,1.0632693037941636,0.239,0.8243693037941637,0.625,0.2147317306772302,0.44085055419465885,4.2149296790479625
consensus surprise,fade|e15|z1.5|tp5|sl0.5|t60,41,0.6176123062011731,0.239,0.3787123062011732,0.3902439024390244,0.1889876336964956,0.43918297184605304,5.400378651280202
