symbol,instrument,want_first,got_first,days,rows,head_bars_per_day,gap_days,verdict
FVH19,FV,2019-01-03,2018-12-31,48,46151,818.3,-3,ok
FVH20,FV,2019-08-26,2019-10-09,114,83183,5.3,44,thin_back_month
FVH21,FV,2020-08-25,2020-10-20,104,79041,5.0,56,thin_back_month
FVH22,FV,2021-08-25,2021-10-15,102,83840,3.0,51,thin_back_month
FVH23,FV,2022-08-25,2022-10-13,109,89082,4.0,49,thin_back_month
FVH24,FV,2023-08-25,2023-10-10,114,88499,3.7,46,thin_back_month
FVH25,FV,2024-08-26,2024-10-09,110,83575,3.7,44,thin_back_month
FVH26,FV,2025-08-25,2025-09-12,126,81897,4.3,18,thin_back_month
FVM19,FV,2019-01-03,2019-01-04,112,82018,6.3,1,ok
FVM20,FV,2019-11-22,2019-12-27,120,86683,5.0,35,thin_back_month
FVM21,FV,2020-11-23,2021-01-26,100,87014,5.3,64,thin_back_month
FVM22,FV,2021-11-23,2022-01-18,102,89185,4.3,56,thin_back_month
FVM23,FV,2022-11-23,2023-01-17,109,92616,6.7,55,thin_back_month
FVM24,FV,2023-11-24,2024-01-16,108,86746,3.7,53,thin_back_month
FVM25,FV,2024-11-22,2025-01-14,106,87477,5.0,53,thin_back_month
FVM26,FV,2025-11-21,2025-11-25,134,86617,4.3,4,ok
FVU19,FV,2019-02-22,2019-04-02,120,87371,4.7,39,thin_back_month
FVU20,FV,2020-02-25,2020-04-15,111,82011,8.0,50,thin_back_month
FVU21,FV,2021-02-23,2021-04-21,106,89561,15.0,57,thin_back_month
FVU22,FV,2022-02-22,2022-04-06,116,96311,4.0,43,thin_back_month
FVU23,FV,2023-02-22,2023-04-12,113,92280,3.0,49,thin_back_month
FVU24,FV,2024-02-26,2024-04-08,112,87158,5.3,42,thin_back_month
FVU25,FV,2025-02-24,2025-02-25,122,87884,3.7,1,ok
FVU26,FV,2026-02-23,2026-03-04,113,73574,3.7,9,ok
FVZ19,FV,2019-05-24,2019-07-10,114,87642,6.7,47,thin_back_month
FVZ20,FV,2020-05-26,2020-07-07,107,78729,6.7,42,thin_back_month
FVZ21,FV,2021-05-25,2021-07-07,104,82498,3.3,43,thin_back_month
FVZ22,FV,2022-05-24,2022-07-21,108,92245,4.3,58,thin_back_month
FVZ23,FV,2023-05-24,2023-06-29,118,89812,2.3,36,thin_back_month
FVZ24,FV,2024-05-24,2024-07-03,105,88149,3.0,40,thin_back_month
FVZ25,FV,2025-05-23,2025-07-03,108,81422,4.3,41,thin_back_month
FVZ26,FV,2026-05-22,2026-05-20,44,945,2.7,-2,ok
GEH19,USD_STIR,2019-01-03,2018-12-31,67,17964,255.7,-3,ok
GEH20,USD_STIR,2019-01-03,2018-12-31,378,184046,405.3,-3,ok
GEH21,USD_STIR,2019-03-20,2019-03-17,615,263605,271.0,-3,ok
GEH22,USD_STIR,2020-03-18,2020-03-15,541,182003,694.7,-3,ok
GEH23,USD_STIR,2021-03-17,2021-03-14,243,94562,277.3,-3,ok
GEM19,USD_STIR,2019-01-03,2018-12-31,144,49087,322.7,-3,ok
GEM20,USD_STIR,2019-01-03,2018-12-31,454,229463,381.3,-3,ok
GEM21,USD_STIR,2019-06-19,2019-06-16,612,247007,380.3,-3,ok
GEM22,USD_STIR,2020-06-17,2020-06-14,472,151561,281.7,-3,ok
GEM23,USD_STIR,2021-06-16,2021-06-13,168,70409,207.3,-3,ok
GEU19,USD_STIR,2019-01-03,2018-12-31,222,98315,346.0,-3,ok
GEU20,USD_STIR,2019-01-03,2018-12-31,532,250002,319.3,-3,ok
GEU21,USD_STIR,2019-09-18,2019-09-15,607,222336,378.3,-3,ok
GEU22,USD_STIR,2020-09-16,2021-05-18,188,74981,242.0,244,thin_back_month
GEU23,USD_STIR,2021-09-15,2021-09-12,90,41862,287.7,-3,ok
GEZ19,USD_STIR,2019-01-03,2018-12-31,300,145353,383.7,-3,ok
GEZ20,USD_STIR,2019-01-03,2018-12-31,605,285557,327.7,-3,ok
GEZ21,USD_STIR,2019-12-18,2019-12-15,612,216240,295.7,-3,ok
GEZ22,USD_STIR,2020-12-16,2020-12-13,321,128916,189.0,-3,ok
GEZ23,USD_STIR,2021-12-15,2021-12-12,12,5242,404.7,-3,ok
SR3H22,USD_STIR,2022-01-04,2022-01-02,66,26326,111.0,-2,ok
SR3H23,USD_STIR,2022-01-04,2022-01-02,375,229539,177.0,-2,ok
SR3H24,USD_STIR,2022-03-16,2022-03-13,631,402742,415.3,-3,ok
SR3H25,USD_STIR,2023-03-15,2023-03-12,632,400829,938.3,-3,ok
SR3H26,USD_STIR,2024-03-20,2024-03-17,628,368189,398.3,-3,ok
SR3H27,USD_STIR,2025-03-19,2025-03-16,439,255432,468.7,-3,ok
SR3H28,USD_STIR,2026-03-18,2026-03-15,128,71100,493.0,-3,ok
