config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
SR3 r1|tier1|m1|h15|mv0,SR3 r1,tier1,1,15,0.0,650,33.50000000000506,0.05153846153846932,0.3676923076923077,0.49925624867983653,0.05395584472204954,1.3756095255505645,-13.00000000000523,85.61897534917618,2772.8958333333335
SR3 r1|tier1|m1|h60|mv2,SR3 r1,tier1,1,60,2.0,106,72.5000000000037,0.6839622641509783,0.5471698113207547,0.7954915623412406,0.20685801537380316,2.1297336179872803,-7.500000000001705,14.788579067990831,2618.0
SR3 r1|tier1|m2|h15|mv0,SR3 r1,tier1,2,15,0.0,661,0.4999999999853344,0.0007564296520201731,0.367624810892587,0.0074874805781138054,0.0008024290528405273,0.020630386966339793,-26.75000000000125,87.06791185508531,2772.8958333333335
SR3 r1|tier1|m2|h60|mv2,SR3 r1,tier1,2,60,2.0,102,49.249999999992156,0.48284313725482503,0.5196078431372549,0.5344400191407485,0.14167349042648766,1.4308321161973043,-9.000000000003183,14.23051948051948,2618.0
SR3 r1|tier1|m5|h15|mv0,SR3 r1,tier1,5,15,0.0,688,-13.25000000000216,-0.019258720930235698,0.30377906976744184,-0.26101884822486415,-0.027418855015968493,-0.7191898246958518,-25.500000000002387,90.62439236958956,2772.8958333333335
SR3 r1|tier1|m5|h60|mv2,SR3 r1,tier1,5,60,2.0,121,23.499999999988574,0.19421487603296342,0.4214876033057851,0.26860594079928296,0.06537514083261078,0.7191265491587187,-19.500000000007844,16.8813025210084,2618.0
SR3 r1|tier1+2|m1|h15|mv0,SR3 r1,tier1+2,1,15,0.0,945,15.249999999988972,0.016137566137554467,0.3322751322751323,0.20711972272672238,0.018564485907498963,0.570688119268478,-22.000000000008413,124.47354482447739,2772.96875
SR3 r1|tier1+2|m1|h60|mv2,SR3 r1,tier1+2,1,60,2.0,107,71.5000000000046,0.6682242990654635,0.5514018691588785,0.7810547516470303,0.20215258481273904,2.091082596999092,-11.000000000001364,14.92809396485867,2618.0
SR3 r1|tier1+2|m2|h15|mv0,SR3 r1,tier1+2,2,15,0.0,1003,-35.00000000003212,-0.03489531405785854,0.3140578265204387,-0.4683374176028999,-0.04074607364236522,-1.290435292767854,-45.00000000003013,132.11319096185272,2772.96875
SR3 r1|tier1+2|m2|h60|mv2,SR3 r1,tier1+2,2,60,2.0,105,39.499999999991076,0.3761904761903912,0.5047619047619047,0.41200598881669576,0.10764617141370952,1.1030450186203289,-17.00000000000159,14.649064171122994,2618.0
SR3 r1|tier1+2|m5|h15|mv0,SR3 r1,tier1+2,5,15,0.0,1091,-46.00000000001074,-0.0421631530705873,0.25939505041246563,-0.77255133703566,-0.06444546305633696,-2.128652277856425,-55.250000000009436,143.704378204767,2772.96875
SR3 r1|tier1+2|m5|h60|mv2,SR3 r1,tier1+2,5,60,2.0,126,22.749999999990678,0.18055555555548156,0.4126984126984127,0.2583330188372164,0.061638355486722536,0.6918888243464805,-18.000000000007788,17.565388178323083,2620.0104166666665
SR3 r1|0830|m1|h15|mv0,SR3 r1,0830,1,15,0.0,468,9.750000000006764,0.020833333333347786,0.3696581196581197,0.1786835927936074,0.022754116973490484,0.4922468128549526,-15.000000000006253,61.666511341259934,2771.9583333333335
SR3 r1|0830|m1|h60|mv2,SR3 r1,0830,1,60,2.0,80,65.00000000000057,0.8125000000000071,0.5875,0.7837693345568816,0.23460268742809878,2.098350227173457,-6.999999999999318,11.161191749427044,2618.0
SR3 r1|0830|m2|h15|mv0,SR3 r1,0830,2,15,0.0,473,-14.500000000013813,-0.030655391120536602,0.36152219873150104,-0.2602460038732969,-0.03296489796566169,-0.7169391658295061,-28.000000000005798,62.32534159063237,2771.9583333333335
SR3 r1|0830|m2|h60|mv2,SR3 r1,0830,2,60,2.0,81,37.49999999999574,0.46296296296291034,0.5185185185185185,0.4277026680415541,0.12722989207803223,1.14506902870229,-17.499999999998295,11.30070664629488,2618.0
SR3 r1|0830|m5|h15|mv0,SR3 r1,0830,5,15,0.0,503,-23.00000000000182,-0.045725646123264053,0.28429423459244535,-0.5441408147531979,-0.0668383232983625,-1.4990272896289192,-31.750000000000966,66.27832308686698,2771.9583333333335
SR3 r1|0830|m5|h60|mv2,SR3 r1,0830,5,60,2.0,95,30.249999999990962,0.3184210526314838,0.45263157894736844,0.36868765486748795,0.10127132731297472,0.9870708003453995,-9.000000000003183,13.253915202444613,2618.0
SR3 r1|clustered|m1|h15|mv0,SR3 r1,clustered,1,15,0.0,498,16.750000000013188,0.03363453815263692,0.3714859437751004,0.2684389242971254,0.033138210709816644,0.73950944720538,-20.750000000005286,65.61949283749455,2771.9583333333335
SR3 r1|clustered|m1|h60|mv2,SR3 r1,clustered,1,60,2.0,87,54.24999999999898,0.6235632183907929,0.5632183908045977,0.6392947404564304,0.1834979488120016,1.7115549240338277,-9.000000000000341,12.13779602750191,2618.0
SR3 r1|clustered|m2|h15|mv0,SR3 r1,clustered,2,15,0.0,502,-1.000000000006196,-0.0019920318725223027,0.37649402390438247,-0.01574813919912887,-0.0019363132752838396,-0.04338378923307986,-22.500000000005116,66.14655703699249,2771.9583333333335
