config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
SR3 r1|tier1|m1|h15|mv0,SR3 r1,tier1,1,15,0.0,169,5.50000000001063,0.03254437869828775,0.33136094674556216,0.2665614726751044,0.05639571177297052,0.7331442530486169,-7.4999999999946,22.340999230896834,2762.9583333333335
SR3 r1|tier1|m1|h15|mv2,SR3 r1,tier1,1,15,2.0,0,,,,,,,,,
SR3 r1|tier1|m1|h30|mv0,SR3 r1,tier1,1,30,0.0,167,-2.7499999999932356,-0.01646706586822297,0.32335329341317365,-0.07597885643014363,-0.016170616313383478,-0.20897041641445058,-20.499999999995566,22.07660870745427,2762.9583333333335
SR3 r1|tier1|m1|h30|mv2,SR3 r1,tier1,1,30,2.0,0,,,,,,,,,
SR3 r1|tier1|m1|h60|mv0,SR3 r1,tier1,1,60,0.0,167,-3.0000000000001137,-0.017964071856288105,0.3712574850299401,-0.05973358026902594,-0.012713126426734327,-0.164289800205417,-20.74999999999818,22.07660870745427,2762.9583333333335
SR3 r1|tier1|m1|h60|mv2,SR3 r1,tier1,1,60,2.0,0,,,,,,,,,
SR3 r1|tier1|m1|h120|mv0,SR3 r1,tier1,1,120,0.0,142,-3.0000000000001137,-0.021126760563381083,0.4014084507042254,-0.042737161770791815,-0.009864011275930189,-0.11754326020720313,-25.24999999999693,18.77172716442219,2762.9583333333335
SR3 r1|tier1|m1|h120|mv2,SR3 r1,tier1,1,120,2.0,0,,,,,,,,,
SR3 r1|tier1|m1|h240|mv0,SR3 r1,tier1,1,240,0.0,137,2.2499999999993747,0.01642335766422901,0.4233576642335766,0.023328468345304398,0.005451893142482838,0.06381277317807182,-21.50000000000034,18.3095546645119,2732.9583333333335
SR3 r1|tier1|m1|h240|mv2,SR3 r1,tier1,1,240,2.0,0,,,,,,,,,
SR3 r1|tier1|m2|h15|mv0,SR3 r1,tier1,2,15,0.0,205,23.25000000001154,0.11341463414639776,0.3951219512195122,1.0502257403788662,0.20181568255580348,2.889560830596977,-5.74999999999477,27.080426166759594,2764.9583333333335
SR3 r1|tier1|m2|h15|mv2,SR3 r1,tier1,2,15,2.0,0,,,,,,,,,
SR3 r1|tier1|m2|h30|mv0,SR3 r1,tier1,2,30,0.0,201,29.750000000011312,0.1480099502488125,0.43781094527363185,0.7537139072717706,0.14627081570566075,2.073746719579581,-8.749999999996305,26.55202760740819,2764.9583333333335
SR3 r1|tier1|m2|h30|mv2,SR3 r1,tier1,2,30,2.0,0,,,,,,,,,
SR3 r1|tier1|m2|h60|mv0,SR3 r1,tier1,2,60,0.0,205,16.999999999995907,0.08292682926827272,0.4634146341463415,0.30459962850257116,0.05853311299560641,0.8380666381476283,-16.499999999996362,27.080426166759594,2764.9583333333335
SR3 r1|tier1|m2|h60|mv2,SR3 r1,tier1,2,60,2.0,0,,,,,,,,,
SR3 r1|tier1|m2|h120|mv0,SR3 r1,tier1,2,120,0.0,176,16.750000000000398,0.0951704545454568,0.48863636363636365,0.22077027392348386,0.045786078214546125,0.6074209682380599,-15.00000000000199,23.249536611461895,2764.9583333333335
SR3 r1|tier1|m2|h120|mv2,SR3 r1,tier1,2,120,2.0,0,,,,,,,,,
