config,panel,trades,total_bp,avg_bp,hit_rate,sr_per_trade,t_stat,max_dd_bp,span_days,trades_per_year
rel|tier1|SR3 r3|fade,rel,231,-8.000000000008356,-0.034632034632070804,0.47186147186147187,-0.013444137206820514,-0.2043331951237327,-56.50000000001114,2699.0208333333335,31.260503423309377
rel|tier1|SR3 r3|momentum,rel,231,8.000000000008356,0.034632034632070804,0.38961038961038963,0.013444137206820514,0.2043331951237327,-47.00000000000131,2699.0208333333335,31.260503423309377
rel|tier1|TY|fade,rel,471,7.0155264281489025,0.014894960569318265,0.4840764331210191,0.007033093563145311,0.15263595509252492,-83.33628366944151,2771.9583333333335,62.06180949088339
rel|tier1|TY|momentum,rel,471,-7.0155264281489025,-0.014894960569318265,0.4607218683651805,-0.007033093563145311,-0.15263595509252492,-91.67114531717786,2771.9583333333335,62.06180949088339
rel|tier1+2|SR3 r3|fade,rel,418,64.49999999998539,0.15430622009565884,0.4354066985645933,0.06258021023076711,1.2794554208085132,-49.500000000001876,2729.0208333333335,55.94479094302749
rel|tier1+2|SR3 r3|momentum,rel,418,-64.49999999998539,-0.15430622009565884,0.39473684210526316,-0.06258021023076711,-1.2794554208085132,-105.49999999998789,2729.0208333333335,55.94479094302749
rel|tier1+2|TY|fade,rel,844,14.494200430831164,0.01717322325927863,0.46327014218009477,0.007688606934952619,0.2233669336552975,-87.80435638179928,2774.96875,111.08989966103222
rel|tier1+2|TY|momentum,rel,844,-14.494200430831164,-0.01717322325927863,0.46919431279620855,-0.007688606934952619,-0.2233669336552975,-95.8035147817259,2774.96875,111.08989966103222
rel|tier2 only|SR3 r3|fade,rel,217,51.99999999999392,0.23963133640550194,0.3870967741935484,0.10537468371919548,1.5522660214202153,-21.50000000000034,2714.96875,29.193429942794
rel|tier2 only|SR3 r3|momentum,rel,217,-51.99999999999392,-0.23963133640550194,0.39631336405529954,-0.10537468371919548,-1.5522660214202153,-55.999999999998806,2714.96875,29.193429942794
rel|tier2 only|TY|fade,rel,428,14.231006247972925,0.03325001459806758,0.4532710280373832,0.014285323344519724,0.2955370673682094,-48.92458213743325,2770.9583333333335,56.41622182457934
rel|tier2 only|TY|momentum,rel,428,-14.231006247972925,-0.03325001459806758,0.4696261682242991,-0.014285323344519724,-0.2955370673682094,-55.837914274719864,2770.9583333333335,56.41622182457934
rel|08:30 block|SR3 r3|fade,rel,162,40.49999999999443,0.2499999999999656,0.46296296296296297,0.11636490269972181,1.4810834122395495,-9.499999999998465,2725.9583333333335,21.706311236109624
rel|08:30 block|SR3 r3|momentum,rel,162,-40.49999999999443,-0.2499999999999656,0.35802469135802467,-0.11636490269972181,-1.4810834122395495,-51.9999999999925,2725.9583333333335,21.706311236109624
rel|08:30 block|TY|fade,rel,305,22.791344103535362,0.07472571837224709,0.5147540983606558,0.03875100565683152,0.6767572194087148,-31.06327238623805,2771.9583333333335,40.188645211718544
rel|08:30 block|TY|momentum,rel,305,-22.791344103535362,-0.07472571837224709,0.42950819672131146,-0.03875100565683152,-0.6767572194087148,-54.3375364719242,2771.9583333333335,40.188645211718544
rel|10:00 block|SR3 r3|fade,rel,136,-45.000000000001705,-0.330882352941189,0.375,-0.17174093677446906,-2.002826281415195,-57.49999999999886,2711.9583333333335,18.316653095088114
rel|10:00 block|SR3 r3|momentum,rel,136,45.000000000001705,0.330882352941189,0.4632352941176471,0.17174093677446906,2.002826281415195,-11.999999999997613,2711.9583333333335,18.316653095088114
rel|10:00 block|TY|fade,rel,270,-23.777784583290305,-0.08806586882700113,0.4222222222222222,-0.044412838210393615,-0.7297773999197986,-60.29594679584211,2758.9583333333335,35.74446877595711
rel|10:00 block|TY|momentum,rel,270,23.777784583290305,0.08806586882700113,0.5074074074074074,0.044412838210393615,0.7297773999197986,-30.187562434655916,2758.9583333333335,35.74446877595711
rel|clustered|SR3 r3|fade,rel,179,37.00000000000756,0.2067039106145674,0.4972067039106145,0.09507576752472763,1.2720270756176824,-17.00000000000017,2708.9583333333335,24.134645850957472
rel|clustered|SR3 r3|momentum,rel,179,-37.00000000000756,-0.2067039106145674,0.37988826815642457,-0.09507576752472763,-1.2720270756176824,-53.50000000000534,2708.9583333333335,24.134645850957472
rel|clustered|TY|fade,rel,341,7.077439434765601,0.020754954354151322,0.4838709677419355,0.010919574159941683,0.2016428799723733,-49.319028472568796,2771.9583333333335,44.93222300720008
rel|clustered|TY|momentum,rel,341,-7.077439434765601,-0.020754954354151322,0.45454545454545453,-0.010919574159941683,-0.2016428799723733,-51.813390457242456,2771.9583333333335,44.93222300720008
rel|CPI|SR3 r3|fade,rel,11,10.500000000001819,0.9545454545456199,0.6363636363636364,0.640255804985226,2.123488274982953,-0.49999999999954525,2261.0416666666665,1.7769464664148162
rel|CPI|SR3 r3|momentum,rel,11,-10.500000000001819,-0.9545454545456199,0.09090909090909091,-0.640255804985226,-2.123488274982953,-10.500000000000398,2261.0416666666665,1.7769464664148162
rel|CPI|TY|fade,rel,24,-5.222359959174428,-0.21759833163226783,0.5,-0.17953569890674462,-0.8795417058709599,-8.142788595500553,2434.0,3.601479046836483
rel|CPI|TY|momentum,rel,24,5.222359959174428,0.21759833163226783,0.5,0.17953569890674462,0.8795417058709599,-6.275223113847538,2434.0,3.601479046836483
rel|PPI|SR3 r3|fade,rel,17,-4.499999999997328,-0.264705882352784,0.4117647058823529,-0.20169412437299472,-0.8316061788563226,-5.999999999998806,2572.0,2.4141718506998444
rel|PPI|SR3 r3|momentum,rel,17,4.499999999997328,0.264705882352784,0.47058823529411764,0.20169412437299472,0.8316061788563226,-2.5000000000005684,2572.0,2.4141718506998444
rel|PPI|TY|fade,rel,28,1.787202846666053,0.06382867309521618,0.5,0.042340074029725255,0.22404261274943485,-7.157873591987649,2703.9583333333335,3.7822328376608367
rel|PPI|TY|momentum,rel,28,-1.787202846666053,-0.06382867309521618,0.42857142857142855,-0.042340074029725255,-0.22404261274943485,-9.878025674451113,2703.9583333333335,3.7822328376608367
rel|PCE|SR3 r3|fade,rel,17,-1.99999999999676,-0.11764705882333881,0.4117647058823529,-0.07924482899852034,-0.3267348002449087,-5.499999999999261,2580.0,2.406686046511628
rel|PCE|SR3 r3|momentum,rel,17,1.99999999999676,0.11764705882333881,0.4117647058823529,0.07924482899852034,0.3267348002449087,-4.5000000000001705,2580.0,2.406686046511628
rel|PCE|TY|fade,rel,44,0.7017127488138901,0.015948017018497504,0.5,0.008191811973528949,0.054338333338672606,-12.735453022136483,2670.9583333333335,6.016941484797903
rel|PCE|TY|momentum,rel,44,-0.7017127488138901,-0.015948017018497504,0.5,-0.008191811973528949,-0.054338333338672606,-13.428086655191237,2670.9583333333335,6.016941484797903
rel|payrolls|SR3 r3|fade,rel,32,37.49999999999716,1.1718749999999112,0.5625,0.3592805644400145,2.032397787712517,-2.5000000000005684,2590.0,4.512741312741312
rel|payrolls|SR3 r3|momentum,rel,32,-37.49999999999716,-1.1718749999999112,0.28125,-0.3592805644400145,-2.032397787712517,-38.49999999999625,2590.0,4.512741312741312
rel|payrolls|TY|fade,rel,64,26.539622709214754,0.41468160483148053,0.546875,0.24166306668464432,1.9333045334771546,-6.5256698561806665,2771.9583333333335,8.43302719196717
rel|payrolls|TY|momentum,rel,64,-26.539622709214754,-0.41468160483148053,0.40625,-0.24166306668464432,-1.9333045334771546,-32.21535715994533,2771.9583333333335,8.43302719196717
rel|ADP|SR3 r3|fade,rel,28,-12.500000000005684,-0.44642857142877446,0.39285714285714285,-0.10767019432122267,-0.5697371155759083,-28.5000000000025,2526.0,4.048693586698337
rel|ADP|SR3 r3|momentum,rel,28,12.500000000005684,0.44642857142877446,0.42857142857142855,0.10767019432122267,0.5697371155759083,-8.499999999999375,2526.0,4.048693586698337
rel|ADP|TY|fade,rel,62,-26.170570886349832,-0.4221059820379005,0.41935483870967744,-0.13737155444939333,-1.0816647013997653,-44.79057254052915,2770.9583333333335,8.172443348420371
rel|ADP|TY|momentum,rel,62,26.170570886349832,0.4221059820379005,0.532258064516129,0.13737155444939333,1.0816647013997653,-13.75783226946822,2770.9583333333335,8.172443348420371
rel|jobless claims|SR3 r3|fade,rel,62,2.9999999999930083,0.048387096774080776,0.45161290322580644,0.02326547647483236,0.18319254495546655,-13.500000000000512,2660.0,8.513345864661654
rel|jobless claims|SR3 r3|momentum,rel,62,-2.9999999999930083,-0.048387096774080776,0.3870967741935484,-0.02326547647483236,-0.18319254495546655,-14.499999999999602,2660.0,8.513345864661654
rel|jobless claims|TY|fade,rel,102,26.366834646890172,0.2584983788910801,0.6176470588235294,0.11564147751564885,1.1679216732487827,-11.59799010240124,2660.0,14.005827067669173
rel|jobless claims|TY|momentum,rel,102,-26.366834646890172,-0.2584983788910801,0.3333333333333333,-0.11564147751564885,-1.1679216732487827,-41.27886610512098,2660.0,14.005827067669173
rel|JOLTS|SR3 r3|fade,rel,15,-3.999999999997783,-0.2666666666665189,0.2,-0.15889162445967195,-0.6153846153841526,-8.99999999999892,1763.0,3.1076290414066934
rel|JOLTS|SR3 r3|momentum,rel,15,3.999999999997783,0.2666666666665189,0.5333333333333333,0.15889162445967195,0.6153846153841526,-5.500000000000682,1763.0,3.1076290414066934
rel|JOLTS|TY|fade,rel,21,-6.258033916019026,-0.29800161504852507,0.3333333333333333,-0.1328793680889544,-0.608929762565533,-10.598037489376399,1616.0416666666667,4.746319453396932
rel|JOLTS|TY|momentum,rel,21,6.258033916019026,0.29800161504852507,0.6666666666666666,0.1328793680889544,0.608929762565533,-8.990473843052131,1616.0416666666667,4.746319453396932
rel|retail sales|SR3 r3|fade,rel,14,-1.500000000001478,-0.1071428571429627,0.5,-0.08513619952375917,-0.31855048982993356,-5.500000000000682,2708.9583333333335,1.8876259324771205
rel|retail sales|SR3 r3|momentum,rel,14,1.500000000001478,0.1071428571429627,0.5,0.08513619952375917,0.31855048982993356,-4.4999999999987494,2708.9583333333335,1.8876259324771205
rel|retail sales|TY|fade,rel,29,4.0133646730853645,0.13839188527880567,0.4482758620689655,0.07415538022020395,0.39933894382152035,-9.411543928909357,2708.9583333333335,3.9100822887026068
rel|retail sales|TY|momentum,rel,29,-4.0133646730853645,-0.13839188527880567,0.41379310344827586,-0.07415538022020395,-0.39933894382152035,-13.53634903577608,2708.9583333333335,3.9100822887026068
rel|ISM mfg|SR3 r3|fade,rel,21,-4.500000000007276,-0.21428571428606075,0.38095238095238093,-0.10865714630330633,-0.4979295977327924,-13.500000000003354,2528.0,3.0341178797468356
rel|ISM mfg|SR3 r3|momentum,rel,21,4.500000000007276,0.21428571428606075,0.5238095238095238,0.10865714630330633,0.4979295977327924,-7.499999999997442,2528.0,3.0341178797468356
rel|ISM mfg|TY|fade,rel,49,1.2278720477405392,0.025058613219194677,0.40816326530612246,0.011896114921531309,0.08327280445071915,-12.716678944291726,2645.9583333333335,6.763995401792041
rel|ISM mfg|TY|momentum,rel,49,-1.2278720477405392,-0.025058613219194677,0.4897959183673469,-0.011896114921531309,-0.08327280445071915,-16.57662660748666,2645.9583333333335,6.763995401792041
