config,trades,hit_rate,gross_bp,net_bp,total_net_bp,avg_win,avg_loss,payoff,sr_per_trade,t_stat,avg_hold_min,pct_target,pct_stop,pct_time,direction,entry_offset,z_threshold,target_bp,stop_bp,time_stop,base_events,legs,shift
fade|e2|z0|tp1|sl0.5|t30,222,0.36486486486486486,0.02206519236173138,-0.21683480763826865,-48.13732729569564,0.8587866140018006,-0.8347449860272446,1.02880116487908,-0.24470695585834637,-3.646051524936507,12.306306306306306,0.2927927927927928,0.536036036036036,0.17117117117117117,fade,2,0.0,1.0,0.5,30,222,1,1
fade|e2|z0|tp1|sl0.5|t60,222,0.38288288288288286,0.04100963884653119,-0.19789036115346884,-43.93166017607008,0.9368075927675777,-0.9019000405935339,1.0387044579253721,-0.21219676437294985,-3.1616605813871796,15.527027027027026,0.35585585585585583,0.581081081081081,0.06306306306306306,fade,2,0.0,1.0,0.5,60,222,1,1
fade|e2|z0|tp1|sl0.5|t120,222,0.3783783783783784,0.039857450630891085,-0.19904254936910898,-44.187445959942195,0.9784286065594601,-0.9157641225430203,1.0684286296807788,-0.2099100163265696,-3.1275888028698717,16.82882882882883,0.3783783783783784,0.6126126126126126,0.009009009009009009,fade,2,0.0,1.0,0.5,120,222,1,1
fade|e2|z0|tp1|sl0.5|t240,222,0.3783783783783784,0.035921011583479184,-0.20297898841652084,-45.06133542846763,0.9784286065594601,-0.9220966549236395,1.0610911571309036,-0.21382044687402477,-3.185852905787161,17.454954954954953,0.3783783783783784,0.6171171171171171,0.0045045045045045045,fade,2,0.0,1.0,0.5,240,222,1,1
fade|e2|z0|tp1|sl1|t30,222,0.44144144144144143,0.04695808425809916,-0.19194191574190086,-42.61110529470199,0.8697724506414503,-1.031038753690033,0.8435885145234171,-0.1796270074655886,-2.6763821330392012,16.792792792792792,0.35135135135135137,0.31981981981981983,0.32882882882882886,fade,2,0.0,1.0,1.0,30,222,1,1
fade|e2|z0|tp1|sl1|t60,222,0.481981981981982,0.07257147127707751,-0.1663285287229225,-36.924933376488795,0.9329802650081209,-1.1891636672378931,0.7845684246098628,-0.14504220041425983,-2.1610801137450437,23.48198198198198,0.44594594594594594,0.3918918918918919,0.16216216216216217,fade,2,0.0,1.0,1.0,60,222,1,1
fade|e2|z0|tp1|sl1|t120,222,0.481981981981982,0.03889304494594175,-0.20000695505405822,-44.40154402200093,0.9742602989707243,-1.2925860522771169,0.7537295464811755,-0.1682878743883181,-2.507432855308933,29.76126126126126,0.4774774774774775,0.44594594594594594,0.07657657657657657,fade,2,0.0,1.0,1.0,120,222,1,1
fade|e2|z0|tp1|sl1|t240,222,0.4864864864864865,0.011767757921504307,-0.2271322420784957,-50.423357741426045,0.9728049311120777,-1.363914827206407,0.7132446335410789,-0.18775152914757878,-2.797434779720595,34.067567567567565,0.481981981981982,0.4954954954954955,0.02252252252252252,fade,2,0.0,1.0,1.0,240,222,1,1
fade|e2|z0|tp1|sl2|t30,222,0.481981981981982,0.01965393309502925,-0.21924606690497075,-48.672626852903505,0.8595801991677545,-1.2230235492508976,0.7028320915768529,-0.16909638909496405,-2.5194794531212428,20.454954954954953,0.3783783783783784,0.14414414414414414,0.4774774774774775,fade,2,0.0,1.0,2.0,30,222,1,1
fade|e2|z0|tp1|sl2|t60,222,0.5675675675675675,0.09462804542286249,-0.1442719545771375,-32.02837391612453,0.909339391352128,-1.5271368461092985,0.5954537693651102,-0.10289404199333003,-1.533086697109784,32.432432432432435,0.509009009009009,0.17117117117117117,0.31981981981981983,fade,2,0.0,1.0,2.0,60,222,1,1
fade|e2|z0|tp1|sl2|t120,222,0.5720720720720721,-0.03896003618386646,-0.27786003618386645,-61.684928032818355,0.9697444928565796,-1.9457103013221462,0.4984012739191545,-0.17539242623783483,-2.6132882937620834,45.45945945945946,0.5675675675675675,0.2747747747747748,0.15765765765765766,fade,2,0.0,1.0,2.0,120,222,1,1
fade|e2|z0|tp1|sl2|t240,222,0.5945945945945946,-0.08200947236097324,-0.3209094723609733,-71.24190286413607,0.9575916526256298,-2.1960444556746577,0.4360529451720245,-0.1951711672432382,-2.9079848975064415,59.608108108108105,0.581081081081081,0.32432432432432434,0.0945945945945946,fade,2,0.0,1.0,2.0,240,222,1,1
fade|e2|z0|tp1|sl3|t30,222,0.4864864864864865,-0.006608083837582837,-0.24550808383758285,-54.50279461194339,0.8590739093618285,-1.2919541826580778,0.6649414668826431,-0.17485390295204853,-2.6052644775184146,21.7027027027027,0.38288288288288286,0.08108108108108109,0.536036036036036,fade,2,0.0,1.0,3.0,30,222,1,1
fade|e2|z0|tp1|sl3|t60,222,0.581081081081081,0.10341702524118158,-0.1354829747588184,-30.077220396457683,0.9051168977445517,-1.5788957011344606,0.5732594604534115,-0.09064138593760633,-1.3505262335553507,35.68468468468468,0.5180180180180181,0.08558558558558559,0.3963963963963964,fade,2,0.0,1.0,3.0,60,222,1,1
fade|e2|z0|tp1|sl3|t120,222,0.6036036036036037,-0.08336875205314631,-0.3222687520531463,-71.54366295579848,0.9508186912629564,-2.2608337225572117,0.4205610884941563,-0.179009776338808,-2.6671855963770414,53.527027027027025,0.5900900900900901,0.17567567567567569,0.23423423423423423,fade,2,0.0,1.0,3.0,120,222,1,1
fade|e2|z0|tp1|sl3|t240,222,0.6306306306306306,-0.14336637363406093,-0.38226637363406085,-84.8631349467615,0.9493710142669016,-2.65579362126985,0.3574716825372019,-0.20027986000449577,-2.984102705303444,75.93243243243244,0.6171171171171171,0.22522522522522523,0.15765765765765766,fade,2,0.0,1.0,3.0,240,222,1,1
fade|e2|z0|tp1|sl5|t30,222,0.49099099099099097,0.036823549824075714,-0.2020764501759243,-44.86097193905519,0.858736540573798,-1.2253385385982225,0.7008157448113774,-0.14760799050522852,-2.199309525087395,22.68018018018018,0.38738738738738737,0.009009009009009009,0.6036036036036037,fade,2,0.0,1.0,5.0,30,222,1,1
