windows,ewma_short_spans,ewma_long_spans,retrain_label,retrain_every,svm_c,svm_gamma,z_threshold,total_pnl,sharpe,max_drawdown,n_trades,win_rate,exposure_bars,error
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.02,0.01,1.25,108347.70514178147,0.6146760677994633,-114889.79536821299,1.0,0.4957983193277311,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.02,0.01,1.25,108679.54159295578,0.5999222936804726,-114889.79536821299,1.0,0.49606299212598426,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.02,0.01,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.02,0.01,1.25,222726.79275782342,1.265921120830172,-52201.068905597946,5.0,0.5126050420168067,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.02,0.01,1.25,92679.51575822469,0.5119268830875044,-114889.79536821299,3.0,0.5039370078740157,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.02,0.01,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.02,0.01,1.25,108347.70514178147,0.6146760677994633,-114889.79536821299,1.0,0.4957983193277311,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.02,0.01,1.25,92679.51575822469,0.5119268830875044,-114889.79536821299,3.0,0.5039370078740157,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.02,0.01,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.02,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.02,0.01,1.75,108679.54159295578,0.5999222936804726,-114889.79536821299,1.0,0.49606299212598426,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.02,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.02,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.02,0.01,1.75,-26293.44919884238,-0.37643504307823034,-56264.18846754433,2.0,0.42857142857142855,20,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.02,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.02,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.02,0.01,1.75,32872.11098147444,0.2956920391745845,-56264.18846754433,2.0,0.47540983606557374,60,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.02,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
