trade_id,opened_at,role,cusip,w,cost_bp
1,2020-07-28,front,912810SJ8,-0.5000000000000036,0.11315789832854581
1,2020-07-28,belly,912810SK5,1.0,0.1100635942525883
1,2020-07-28,back,912810SL3,-0.49999999999999645,0.05743811832193031
2,2020-07-28,front,912810SK5,-0.49171270718231963,0.1100635942525883
2,2020-07-28,belly,912810SL3,1.0,0.05743811832193031
2,2020-07-28,back,912810SN9,-0.5082872928176804,0.06294281274377389
3,2020-08-25,front,912810SE9,-0.4917127071823232,0.15968016576827535
3,2020-08-25,belly,912810SF6,1.0,0.10957557032264782
3,2020-08-25,back,912810SH2,-0.5082872928176768,0.11087645747948936
4,2020-08-25,front,912810SH2,-0.5,0.11087645747948936
4,2020-08-25,belly,912810SJ8,1.0,0.118097115895454
4,2020-08-25,back,912810SK5,-0.5,0.11583683178756504
5,2020-09-01,front,912810QY7,-0.49171270718231963,0.355342719082945
5,2020-09-01,belly,912810QZ4,1.0,0.337909936934707
5,2020-09-01,back,912810RB6,-0.5082872928176804,0.3451246135988781
6,2020-09-01,front,912810RB6,-0.5,0.3451246135988781
6,2020-09-01,belly,912810RC4,1.0,0.3164945976830395
6,2020-09-01,back,912810RD2,-0.5,0.24961602829224067
7,2020-09-01,front,912810SD1,-0.5,0.11303512014555259
7,2020-09-01,belly,912810SE9,1.0,0.16202177789710462
7,2020-09-01,back,912810SF6,-0.5,0.11119338392312632
8,2020-09-09,front,912810QL5,-0.3369963369963342,0.3369898959367805
8,2020-09-09,belly,912810QQ4,1.0,0.32606683006015924
8,2020-09-09,back,912810QS0,-0.6630036630036658,0.33702659113107386
9,2020-09-09,front,912810QQ4,-0.5000000000000036,0.32606683006015924
9,2020-09-09,belly,912810QS0,1.0,0.33702659113107386
9,2020-09-09,back,912810QT8,-0.49999999999999645,0.35439590902219775
10,2020-09-09,front,912810SF6,-0.5082872928176768,0.1655882689619674
10,2020-09-09,belly,912810SH2,1.0,0.11172087257110583
10,2020-09-09,back,912810SJ8,-0.4917127071823232,0.11909328798604325
11,2020-09-16,front,912810RH3,-0.5,0.25306424935726207
11,2020-09-16,belly,912810RJ9,1.0,0.25546181049365463
11,2020-09-16,back,912810RK6,-0.5,0.2654836756617028
12,2020-09-16,front,912810RJ9,-0.49171270718231963,0.25546181049365463
12,2020-09-16,belly,912810RK6,1.0,0.2654836756617028
12,2020-09-16,back,912810RM2,-0.5082872928176804,0.2509392018871937
13,2020-09-16,front,912810RK6,-0.5082872928176804,0.2654836756617028
13,2020-09-16,belly,912810RM2,1.0,0.2509392018871937
13,2020-09-16,back,912810RN0,-0.49171270718231963,0.187874288797514
14,2020-10-07,front,912810SA7,-0.5054945054945036,0.17712886773286546
14,2020-10-07,belly,912810SC3,1.0,0.1742471234182767
14,2020-10-07,back,912810SD1,-0.4945054945054964,0.11622664173450796
15,2020-10-07,front,912810RZ3,-0.4945054945054964,0.1231598189799883
15,2020-10-07,belly,912810SA7,1.0,0.17712886773286546
15,2020-10-07,back,912810SC3,-0.5054945054945036,0.1742471234182767
16,2020-10-07,front,912810RY6,-0.5000000000000036,0.12341686337709513
16,2020-10-07,belly,912810RZ3,1.0,0.1231598189799883
16,2020-10-07,back,912810SA7,-0.49999999999999645,0.17712886773286546
17,2020-10-29,front,912810QZ4,-0.5082872928176804,0.27796393186655477
17,2020-10-29,belly,912810RB6,1.0,0.2837885933883297
17,2020-10-29,back,912810RC4,-0.49171270718231963,0.260483256442678
18,2020-11-20,front,912810QY7,-0.49171270718231963,0.36110963391021916
18,2020-11-20,belly,912810QZ4,1.0,0.416190076049403
18,2020-11-20,back,912810RB6,-0.5082872928176804,0.3501029717650473
19,2020-11-20,front,912810RB6,-0.5,0.3501029717650473
19,2020-11-20,belly,912810RC4,1.0,0.25991592668871744
19,2020-11-20,back,912810RD2,-0.5,0.3161293001893667
20,2020-12-14,front,912810RH3,-0.7479452054794519,0.2680835836435901
20,2020-12-14,belly,912810RJ9,1.0,0.2676483093934856
20,2020-12-14,back,912810RN0,-0.25205479452054813,0.1991567118254534
21,2020-12-14,front,912810RD2,-0.2513661202185797,0.25790583223581537
21,2020-12-14,belly,912810RH3,1.0,0.2680835836435901
21,2020-12-14,back,912810RJ9,-0.7486338797814203,0.2676483093934856
22,2020-12-14,front,912810SJ8,-0.5,0.12655475951476117
22,2020-12-14,belly,912810SK5,1.0,0.18455459715234476
22,2020-12-14,back,912810SL3,-0.5,0.12900878485497438
23,2020-12-14,front,912810RJ9,-0.40262582056892804,0.2676483093934856
23,2020-12-14,belly,912810RN0,1.0,0.1991567118254534
23,2020-12-14,back,912810RQ3,-0.597374179431072,0.27208498996948893
24,2020-12-29,front,912810RU4,-0.49171270718231963,0.2564960689588941
24,2020-12-29,belly,912810RV2,1.0,0.2520029904741743
24,2020-12-29,back,912810RX8,-0.5082872928176804,0.24845409372212884
25,2021-01-06,front,912810RX8,-0.5,0.19345344849011226
25,2021-01-06,belly,912810RY6,1.0,0.1326062288149465
25,2021-01-06,back,912810RZ3,-0.5,0.19634853933606938
26,2021-01-06,front,912810RV2,-0.5082872928176804,0.13076563632456142
26,2021-01-06,belly,912810RX8,1.0,0.19345344849011226
26,2021-01-06,back,912810RY6,-0.49171270718231963,0.1326062288149465
27,2021-01-06,front,912810QZ4,-0.5082872928176804,0.2955138539069911
27,2021-01-06,belly,912810RB6,1.0,0.298247527391179
27,2021-01-06,back,912810RC4,-0.49171270718231963,0.2769859980528562
28,2021-01-28,front,912810RB6,-0.5,0.2997319848977425
28,2021-01-28,belly,912810RC4,1.0,0.27834673926744613
28,2021-01-28,back,912810RD2,-0.5,0.2708287737971263
29,2021-02-19,front,912810SA7,-0.5054945054945,0.2045461561340994
29,2021-02-19,belly,912810SC3,1.0,0.20148342402194908
29,2021-02-19,back,912810SD1,-0.49450549450549997,0.13440279312948863
30,2021-02-19,front,912810SD1,-0.5,0.13440279312948863
30,2021-02-19,belly,912810SE9,1.0,0.128491303747989
30,2021-02-19,back,912810SF6,-0.5,0.19873255032788012
31,2021-02-19,front,912810SC3,-0.5000000000000036,0.20148342402194908
31,2021-02-19,belly,912810SD1,1.0,0.13440279312948863
31,2021-02-19,back,912810SE9,-0.49999999999999645,0.128491303747989
32,2021-02-19,front,912810RC4,-0.748633879781423,0.2944298109953732
32,2021-02-19,belly,912810RD2,1.0,0.2906002887111425
32,2021-02-19,back,912810RH3,-0.25136612021857696,0.22456413902342254
33,2021-03-12,front,912810QZ4,-0.5082872928176804,0.5049650536373134
33,2021-03-12,belly,912810RB6,1.0,0.5166757468219946
33,2021-03-12,back,912810RC4,-0.49171270718231963,0.5521314433329609
34,2021-04-02,front,912810SL3,-0.6739926739926747,0.15734775058953934
34,2021-04-02,belly,912810SN9,1.0,0.08786408010466769
34,2021-04-02,back,912810SS8,-0.3260073260073253,0.1642343555579764
35,2021-04-02,front,912810SN9,-0.3333333333333333,0.08786408010466769
35,2021-04-02,belly,912810SS8,1.0,0.1642343555579764
35,2021-04-02,back,912810SU3,-0.6666666666666667,0.1565923831610778
36,2021-04-23,front,912810SA7,-0.5054945054945073,0.21391959400350155
36,2021-04-23,belly,912810SC3,1.0,0.21076230044362093
36,2021-04-23,back,912810SD1,-0.49450549450549275,0.21088114226233887
37,2021-04-23,front,912810SD1,-0.5,0.21088114226233887
37,2021-04-23,belly,912810SE9,1.0,0.20165217775003502
37,2021-04-23,back,912810SF6,-0.5,0.20766774544667696
38,2021-04-23,front,912810SC3,-0.5,0.21076230044362093
38,2021-04-23,belly,912810SD1,1.0,0.21088114226233887
38,2021-04-23,back,912810SE9,-0.5,0.20165217775003502
39,2021-05-07,front,912810QX9,-0.5,0.43640565869049963
39,2021-05-07,belly,912810QY7,1.0,0.5229031617870001
39,2021-05-07,back,912810QZ4,-0.5,0.49633374472636044
40,2021-05-07,front,912810QY7,-0.49171270718231963,0.5229031617870001
40,2021-05-07,belly,912810QZ4,1.0,0.49633374472636044
40,2021-05-07,back,912810RB6,-0.5082872928176804,0.5079438870088435
41,2021-05-21,front,912810RS9,-0.3333333333333333,0.24331999911145297
41,2021-05-21,belly,912810RU4,1.0,0.22946697606707234
41,2021-05-21,back,912810RV2,-0.6666666666666667,0.15051273859412356
42,2021-05-21,front,912810RQ3,-0.6739926739926747,0.32871723048210827
42,2021-05-21,belly,912810RS9,1.0,0.24331999911145297
42,2021-05-21,back,912810RU4,-0.3260073260073253,0.22946697606707234
43,2021-05-21,front,912810RJ9,-0.4026258205689263,0.4007755284541813
43,2021-05-21,belly,912810RN0,1.0,0.319574038822668
43,2021-05-21,back,912810RQ3,-0.5973741794310736,0.32871723048210827
44,2021-05-21,front,912810RN0,-0.32600732600732685,0.319574038822668
44,2021-05-21,belly,912810RQ3,1.0,0.32871723048210827
44,2021-05-21,back,912810RS9,-0.6739926739926732,0.24331999911145297
45,2021-06-07,front,912810RU4,-0.6630036630036626,0.30070939890932374
45,2021-06-07,belly,912810RV2,1.0,0.22180616838067047
45,2021-06-07,back,912810RY6,-0.33699633699633735,0.22517475872798784
46,2021-06-07,front,912810SS8,-0.49171270718231963,0.15969709794559697
46,2021-06-07,belly,912810SU3,1.0,0.15372727673720227
46,2021-06-07,back,912810SX7,-0.5082872928176804,0.14163707675681642
47,2021-06-28,front,912810SC3,-0.49999999999999645,0.2035303449634342
47,2021-06-28,belly,912810SD1,1.0,0.13750831209003764
47,2021-06-28,back,912810SE9,-0.5000000000000036,0.19455065149934828
48,2021-07-06,front,912810SD1,-0.49999999999999645,0.20069122488897514
48,2021-07-06,belly,912810SE9,1.0,0.12626857719714057
48,2021-07-06,back,912810SF6,-0.5000000000000036,0.19747716847274918
49,2021-07-27,front,912810RS9,-0.3333333333333333,0.2968144347500855
49,2021-07-27,belly,912810RU4,1.0,0.3498755914082795
49,2021-07-27,back,912810RV2,-0.6666666666666667,0.2753026050604283
50,2021-07-27,front,912810RN0,-0.3260073260073253,0.36732189403391663
50,2021-07-27,belly,912810RQ3,1.0,0.3762534289502344
50,2021-07-27,back,912810RS9,-0.6739926739926747,0.2968144347500855
51,2021-07-27,front,912810RJ9,-0.40262582056892804,0.3703954170035825
51,2021-07-27,belly,912810RN0,1.0,0.36732189403391663
51,2021-07-27,back,912810RQ3,-0.597374179431072,0.3762534289502344
52,2021-07-27,front,912810RQ3,-0.6739926739926747,0.3762534289502344
52,2021-07-27,belly,912810RS9,1.0,0.2968144347500855
52,2021-07-27,back,912810RU4,-0.3260073260073253,0.3498755914082795
53,2021-08-03,front,912810SE9,-0.4917127071823268,0.18363424436723394
53,2021-08-03,belly,912810SF6,1.0,0.1275522792322625
53,2021-08-03,back,912810SH2,-0.5082872928176732,0.12770395243026716
54,2021-08-10,front,912810RU4,-0.6630036630036626,0.28652981894787727
54,2021-08-10,belly,912810RV2,1.0,0.21144968985326054
54,2021-08-10,back,912810RY6,-0.33699633699633735,0.21414014606815923
55,2021-08-17,front,912810RV2,-0.33699633699633735,0.2055205574959285
55,2021-08-17,belly,912810RY6,1.0,0.20810823300242287
55,2021-08-17,back,912810RZ3,-0.6630036630036626,0.2078191347946081
56,2021-08-17,front,912810SP4,-0.5,0.07668382829006085
56,2021-08-17,belly,912810SS8,1.0,0.07381274673670188
56,2021-08-17,back,912810SU3,-0.5,0.1408844368813838
57,2021-09-08,front,912810RC4,-0.7486338797814204,0.37091862383066976
57,2021-09-08,belly,912810RD2,1.0,0.3654201387565023
57,2021-09-08,back,912810RH3,-0.2513661202185796,0.3746828823869597
58,2021-09-08,front,912810RD2,-0.2513661202185797,0.3654201387565023
58,2021-09-08,belly,912810RH3,1.0,0.3746828823869597
58,2021-09-08,back,912810RJ9,-0.7486338797814203,0.3027764255495533
59,2021-09-29,front,912810RS9,-0.3333333333333333,0.3114208132637693
59,2021-09-29,belly,912810RU4,1.0,0.3673328145741798
59,2021-09-29,back,912810RV2,-0.6666666666666667,0.28555522834477365
60,2021-10-14,front,912810RU4,-0.6630036630036626,0.21960471304848989
60,2021-10-14,belly,912810RV2,1.0,0.21339732327889827
60,2021-10-14,back,912810RY6,-0.33699633699633735,0.14410202550206744
61,2021-10-21,front,912810RV2,-0.33699633699633735,0.21877549546500974
61,2021-10-21,belly,912810RY6,1.0,0.22170170591009047
61,2021-10-21,back,912810RZ3,-0.6630036630036626,0.14756016999006438
62,2021-11-12,front,912810RD2,-0.2513661202185797,0.5922481890511315
62,2021-11-12,belly,912810RH3,1.0,0.5365154946521132
62,2021-11-12,back,912810RJ9,-0.7486338797814203,0.45796443542939147
63,2021-11-12,front,912810RC4,-0.7486338797814204,0.6092038445317483
63,2021-11-12,belly,912810RD2,1.0,0.5922481890511315
63,2021-11-12,back,912810RH3,-0.2513661202185796,0.5365154946521132
64,2021-11-19,front,912810RH3,-0.49999999999999645,0.45852544136794865
64,2021-11-19,belly,912810RJ9,1.0,0.4565636169398795
64,2021-11-19,back,912810RK6,-0.5000000000000036,0.47863764152282035
65,2021-11-19,front,912810QX9,-0.5,0.5996311205580741
65,2021-11-19,belly,912810QY7,1.0,0.5903133190176565
65,2021-11-19,back,912810QZ4,-0.5,0.5679920809225079
66,2021-12-28,front,912810RV2,-0.3369963369963342,0.27997368284617674
66,2021-12-28,belly,912810RY6,1.0,0.28237489345269784
66,2021-12-28,back,912810RZ3,-0.6630036630036658,0.27853936573502414
67,2022-01-04,front,912810RU4,-0.6630036630036626,0.3758373812253288
67,2022-01-04,belly,912810RV2,1.0,0.22176946348492785
67,2022-01-04,back,912810RY6,-0.33699633699633735,0.2240029950460689
68,2022-01-19,front,912810RD2,-0.2513661202185797,0.47324987606393654
68,2022-01-19,belly,912810RH3,1.0,0.4905039192630715
68,2022-01-19,back,912810RJ9,-0.7486338797814203,0.48911978916388893
69,2022-01-19,front,912810RC4,-0.7486338797814204,0.48705251075612094
69,2022-01-19,belly,912810RD2,1.0,0.47324987606393654
69,2022-01-19,back,912810RH3,-0.2513661202185796,0.4905039192630715
70,2022-01-26,front,912810RH3,-0.5,0.487478116557435
70,2022-01-26,belly,912810RJ9,1.0,0.4860550174878007
70,2022-01-26,back,912810RK6,-0.5,0.5100935892355369
71,2022-01-26,front,912810SC3,-0.5,0.2100233088364821
71,2022-01-26,belly,912810SD1,1.0,0.2838909812576275
71,2022-01-26,back,912810SE9,-0.5,0.20073317456218617
72,2022-01-26,front,912810QX9,-0.5,0.5448494077210918
72,2022-01-26,belly,912810QY7,1.0,0.44719292879771533
72,2022-01-26,back,912810QZ4,-0.5,0.5169101738056349
73,2022-02-09,front,912810QZ4,-0.5082872928176768,0.5298847712672379
73,2022-02-09,belly,912810RB6,1.0,0.5341139193421389
73,2022-02-09,back,912810RC4,-0.4917127071823232,0.4970782454332407
74,2022-02-09,front,912810RB6,-0.5000000000000036,0.5341139193421389
74,2022-02-09,belly,912810RC4,1.0,0.4970782454332407
74,2022-02-09,back,912810RD2,-0.49999999999999645,0.48296632658792
75,2022-02-16,front,912810SU3,-0.33699633699633735,0.24091738511965605
75,2022-02-16,belly,912810SZ2,1.0,0.15578412215098356
75,2022-02-16,back,912810TB4,-0.6630036630036626,0.15815578333396935
76,2022-02-16,front,912810SK5,-0.6630036630036626,0.23336891787457822
76,2022-02-16,belly,912810SL3,1.0,0.24238554237521054
76,2022-02-16,back,912810SP4,-0.33699633699633735,0.26200113201935693
