trade_id,opened_at,closed_at,hold_days,belly,side,score,ttm_belly,wing_span_y,a,R_entry_bp,R_exit_bp,price_bp,carry_bp,gross_bp,cost_bp,pnl_bp,convexity_bp,year,month
1,2020-07-28,2020-09-25,42,912810SK5,1.0,0.8535503604909955,29.30321697467488,0.503764544832304,0.5000000000000036,-0.2364214247524532,-0.5401483535766749,0.3037269288242217,0.018121954366352916,0.3218488831905746,0.19536160257782656,0.12648728061274803,-14.19232010466925,2020,7
2,2020-07-28,2020-09-25,42,912810SL3,1.0,0.8535503604909955,29.555099247091032,0.4955509924709105,0.49171270718231963,-0.4541248598813552,-0.4585932657863445,0.004468405904989314,0.01505752014650795,0.019525926051497264,0.14355081810594994,-0.12402489205445268,-23.892372120016717,2020,7
3,2020-08-25,2020-10-26,42,912810SF6,-1.0,-0.5505976754590625,28.479123887748116,0.49555099247090695,0.4917127071823232,0.4423408218510172,0.2976512403119136,-0.1446895815391036,0.011390472234318546,-0.13329910930478506,0.24444943132535252,-0.3777485406301376,7.594466462353864,2020,8
4,2020-08-25,2020-10-26,42,912810SJ8,-1.0,-0.5505976754590625,28.974674880219027,0.5037645448323076,0.5,0.8555317163467469,1.1006983433323403,0.24516662698559344,0.02802968288909142,0.27319630987468485,0.2314537605289812,0.04174254934570365,24.019288940454487,2020,8
5,2020-09-01,2020-11-02,42,912810QZ4,1.0,0.7145592181136328,22.458590006844627,0.4955509924709105,0.49171270718231963,-0.6351777425821825,-0.8673052093784661,0.2321274667962836,0.008859989011585979,0.24098745580786957,0.6880589228434301,-0.4470714670355605,-6.796095344806474,2020,9
6,2020-09-01,2020-11-02,42,912810RC4,1.0,0.7145592181136328,22.954140999315538,0.5037645448323076,0.5,-0.7599946555761017,-0.6033193111419699,-0.15667534443413178,0.007484088638272425,-0.14919125579585935,0.6138649186285988,-0.7630561744244582,-6.203081892021942,2020,9
7,2020-09-01,2020-11-02,42,912810SE9,-1.0,-0.275112912032871,28.20807665982204,0.5037645448323076,0.5,-1.0845850021129033,-1.3695945501327356,-0.28500954801983225,-0.02267189006502573,-0.307681438084858,0.27413602993144404,-0.581817468016302,-18.829143611188357,2020,9
8,2020-09-09,2020-11-09,42,912810QQ4,1.0,0.9093190386589199,20.681724845995895,0.7474332648870607,0.3369963369963342,-0.818700122833238,-1.2143621649061354,0.39566204207289735,0.02174574013547574,0.4174077822083731,0.6630810550451709,-0.2456732728367978,-9.53520467488812,2020,9
9,2020-09-09,2020-11-09,42,912810QS0,1.0,0.9093190386589199,20.933607118412045,0.503764544832304,0.5000000000000036,-0.0750613451003801,0.27313596485906144,-0.34819730995944154,-0.005893835715331173,-0.35409114567477273,0.6772579606722523,-1.031349106347025,0.7080049120665137,2020,9
10,2020-09-09,2020-11-09,42,912810SH2,-1.0,-0.40763734785975553,28.681724845995895,0.49555099247090695,0.5082872928176768,-0.5777604408595316,-0.6498270614371582,-0.07206662057762658,-0.02203004284837177,-0.09409666342599834,0.25444696856701093,-0.3485436319930093,-17.052159058018503,2020,9
