fund,source,first_date,last_date,panel_dates,distinct_books,stale_days_med,stale_days_max,board_share_med,board_share_min,par_bn_med,fund_set
TLT,ishares_daily,2016-01-04,2026-08-19,2528,2528,0.0,0,1.0,1.0,15.00228475,tlt_only
SPTL,nport,2019-11-27,2026-08-19,1676,27,105.0,152,0.9714285714285714,0.5,4.0303184,coupon_long
TLT,ishares_daily,2016-01-04,2026-08-19,2528,2528,0.0,0,1.0,1.0,15.00228475,coupon_long
VGLT,nport,2020-01-29,2026-08-19,1622,27,104.0,154,0.967741935483871,0.3333333333333333,5.8108742,coupon_long
GOVT,ishares_daily,2018-01-02,2026-08-19,2155,2155,0.0,0,0.8125,0.3333333333333333,3.2006987,coupon_long_govt
SPTL,nport,2019-11-27,2026-08-19,1676,27,105.0,152,0.9714285714285714,0.5,4.0303184,coupon_long_govt
TLT,ishares_daily,2016-01-04,2026-08-19,2528,2528,0.0,0,1.0,1.0,15.00228475,coupon_long_govt
VGLT,nport,2020-01-29,2026-08-19,1622,27,104.0,154,0.967741935483871,0.3333333333333333,5.8108742,coupon_long_govt
GOVT,ishares_daily,2018-01-02,2026-08-19,2155,2155,0.0,0,0.8125,0.3333333333333333,3.2006987,daily_only
TLT,ishares_daily,2016-01-04,2026-08-19,2528,2528,0.0,0,1.0,1.0,15.00228475,daily_only
