signal,horizon,n_dates,ic_mean,ic_sd,ic_t_naive,ic_t,ic_hit,ic_ir
agg_act__coupon_long__w025__book,5,1491,-0.002970488457714891,0.18382682037192247,-0.6239615318271264,-0.3931204754849076,0.48490945674044267,-0.11471871193808894
agg_act__coupon_long__w025__book,10,1486,-0.007496233634854299,0.1845309189102337,-1.5659697699896118,-0.7438394930597674,0.47106325706594887,-0.20392676963453868
agg_act__coupon_long__w025__book,21,1475,-0.009968920552911086,0.1828376374061703,-2.0940090017059263,-0.7169822320582918,0.48745762711864404,-0.1888744258481314
agg_act__coupon_long__w025__book,42,1454,-0.012422609297399943,0.1879942476639519,-2.5197094745858446,-0.6010356470856038,0.49449793672627235,-0.16186162305868737
agg_act__coupon_long__w025__book,63,1433,-0.01880565069572262,0.19410374130021882,-3.667562756480412,-0.6963076977027548,0.47732030704815076,-0.19376906977425085
agg_act__coupon_long__w025__equal,5,1491,-0.0025499421577453055,0.18679685322694778,-0.5271079846801623,-0.3345077999241232,0.4922870556673374,-0.09691166197012221
agg_act__coupon_long__w025__equal,10,1486,-0.006429901628624414,0.1887298392457726,-1.313327878853274,-0.6128088673944265,0.4831763122476447,-0.1710267445375434
agg_act__coupon_long__w025__equal,21,1475,-0.0083991850568359,0.1887595439191419,-1.7089298703887732,-0.5714949738527151,0.4908474576271186,-0.15414124190557327
agg_act__coupon_long__w025__equal,42,1454,-0.0067285449689270665,0.19277274326490815,-1.3309377240825648,-0.30584102660329204,0.4903713892709766,-0.08549705526882158
agg_act__coupon_long__w025__equal,63,1433,-0.007617316768010796,0.2049803745213254,-1.4067367366233952,-0.26015570108051994,0.48499651081646894,-0.07432240072542476
agg_act__coupon_long__w05__book,5,1492,-0.007008927215722178,0.20425565201469628,-1.3254455115338308,-0.8256478166858361,0.48458445040214476,-0.2436086670394837
agg_act__coupon_long__w05__book,10,1487,-0.01136027798649711,0.20666030189185752,-2.119763371562407,-0.9850837139035427,0.4855413584398117,-0.2759511254345545
agg_act__coupon_long__w05__book,21,1476,-0.010329555166864278,0.20715160429492324,-1.915739690531646,-0.6519441334537293,0.4735772357723577,-0.1727364306879569
agg_act__coupon_long__w05__book,42,1455,-0.007279266010866875,0.22096890841361563,-1.2565735583346391,-0.29453159528384076,0.4927835051546392,-0.080692290859459
agg_act__coupon_long__w05__book,63,1434,-0.008779129442747141,0.21799949561028945,-1.5250024428577793,-0.2971548550371795,0.5160390516039052,-0.08054265830450638
agg_act__coupon_long__w05__equal,5,1492,-0.008978145996571665,0.20558889715332668,-1.6868303953314074,-1.058028908204044,0.4725201072386059,-0.31002896803568897
agg_act__coupon_long__w05__equal,10,1487,-0.012287469669124116,0.20751607377778264,-2.283316952760962,-1.0449286327610787,0.47478143913920645,-0.2972425560753845
agg_act__coupon_long__w05__equal,21,1476,-0.008757157703918956,0.2076636331043287,-1.6201152192155237,-0.5198856231669873,0.497289972899729,-0.1460808697829208
agg_act__coupon_long__w05__equal,42,1455,-0.0031322446684849646,0.22742122707290577,-0.5253590002944555,-0.11789045976723014,0.49896907216494846,-0.03373652181061194
agg_act__coupon_long__w05__equal,63,1434,-0.0017646125468667553,0.23745842661685168,-0.28140794365462146,-0.05190936412350485,0.5104602510460251,-0.014862496749496497
agg_act__coupon_long__w1__book,5,1492,-0.01804927414898194,0.21599844083468378,-3.227702783612803,-1.991047270960731,0.46112600536193027,-0.5932317593392645
agg_act__coupon_long__w1__book,10,1487,-0.02608611755771223,0.22029951091869132,-4.566162871523336,-2.1048265566287507,0.4667114996637525,-0.5944237928715647
agg_act__coupon_long__w1__book,21,1476,-0.043029433096260374,0.22151046951490205,-7.463018969307658,-2.4493420586454375,0.4078590785907859,-0.6729177587571754
agg_act__coupon_long__w1__book,42,1455,-0.04811040764820053,0.2348983368877551,-7.81251009465571,-1.8016863076571643,0.42061855670103093,-0.501689163136547
agg_act__coupon_long__w1__book,63,1434,-0.048574873901435944,0.23568316958429225,-7.804726475564511,-1.4967233685744652,0.42747559274755925,-0.4122048594909371
agg_act__coupon_long__w1__equal,5,1492,-0.015826710836544397,0.21836128964077825,-2.799622199637235,-1.7352840716891895,0.45911528150134046,-0.5145532021746684
agg_act__coupon_long__w1__equal,10,1487,-0.02338046655454264,0.2231140291142126,-4.04093419759344,-1.8434385759828797,0.45595158036314726,-0.5260494424011983
agg_act__coupon_long__w1__equal,21,1476,-0.04038403467831962,0.2229526025034541,-6.958895882367758,-2.26687999885602,0.4234417344173442,-0.6274625107943235
agg_act__coupon_long__w1__equal,42,1455,-0.04774894257354519,0.24038705429637858,-7.576771314043254,-1.6952028837271311,0.41512027491408937,-0.48655093097666846
agg_act__coupon_long__w1__equal,63,1434,-0.05541519097123072,0.2448715114057591,-8.569690711353205,-1.5976741129210574,0.39330543933054396,-0.4526062721882429
agg_act__coupon_long_govt__w025__book,5,1491,-0.0022741466390478462,0.18408615126486533,-0.47701953944950815,-0.30457135582902034,0.4875922199865862,-0.08770262963920897
agg_act__coupon_long_govt__w025__book,10,1486,-0.0059847628583143955,0.18410521150304696,-1.2531130964220862,-0.6035758921055492,0.47510094212651416,-0.1631853376976654
agg_act__coupon_long_govt__w025__book,21,1475,-0.008617320897512352,0.17616469671102603,-1.8786652208337566,-0.6511074061289256,0.5030508474576271,-0.16945095014241007
agg_act__coupon_long_govt__w025__book,42,1454,-0.006636003305267102,0.1860925191106476,-1.3597525502382062,-0.32840233157894705,0.5034387895460798,-0.08734806808468307
agg_act__coupon_long_govt__w025__book,63,1433,-0.008916574907025876,0.19386197767579194,-1.7411192562620972,-0.33636161837513867,0.49685973482205165,-0.09198889863733514
agg_act__coupon_long_govt__w025__equal,5,1491,0.0019118206131259403,0.17928721243493737,0.4117528811323504,0.25963930061455376,0.5043594902749833,0.07570300050706863
agg_act__coupon_long_govt__w025__equal,10,1486,-0.0005423862393818897,0.17911272840615475,-0.11673245464234269,-0.05771283189882004,0.49125168236877526,-0.015201361381887449
agg_act__coupon_long_govt__w025__equal,21,1475,-0.001210705603764337,0.16413228962187945,-0.28329606019934117,-0.10151684032301148,0.5016949152542373,-0.02555260300772221
agg_act__coupon_long_govt__w025__equal,42,1454,0.008831444869774621,0.1663669574268649,2.024169568207107,0.49346744184610564,0.5199449793672627,0.1300290271400662
agg_act__coupon_long_govt__w025__equal,63,1433,0.01190998973419415,0.18074612719708846,2.4943964616893393,0.5130342935959802,0.5247732030704815,0.13178694247990505
agg_act__coupon_long_govt__w05__book,5,1492,-0.0046075378161952955,0.2045329739173473,-0.8701417098661018,-0.5426918360285009,0.4859249329758713,-0.1599266512515009
agg_act__coupon_long_govt__w05__book,10,1487,-0.007396837297398137,0.20760152006632102,-1.3739502932634053,-0.6351451381957913,0.4855413584398117,-0.17886106289199588
agg_act__coupon_long_govt__w05__book,21,1476,-0.007849329954808953,0.206001689352464,-1.46387833146118,-0.48844074783779673,0.47764227642276424,-0.13199346403261725
agg_act__coupon_long_govt__w05__book,42,1455,0.005611077355339659,0.2230735616443801,0.9594661364606639,0.22580324239948013,0.518213058419244,0.0616132020601273
agg_act__coupon_long_govt__w05__book,63,1434,0.016995860333095154,0.2222401708847628,2.8959773901926673,0.5488762529659252,0.5529986052998606,0.1529503893506988
agg_act__coupon_long_govt__w05__equal,5,1492,-0.001934263111277345,0.19730519846376154,-0.3786704650752207,-0.23900072628421115,0.4932975871313673,-0.06959728366158592
agg_act__coupon_long_govt__w05__equal,10,1487,-0.0028613702469873206,0.19554482611149002,-0.5642651284415088,-0.27792421654101124,0.5043712172158709,-0.07345612219072332
agg_act__coupon_long_govt__w05__equal,21,1476,0.0013902265473187106,0.1841125914993262,0.2900983543222224,0.10056123130381399,0.505420054200542,0.026157287715934157
