construction,width_y,a,b,corr
own,0.25,coupon_long,tlt_only,0.9917271860865755
own,0.25,coupon_long,coupon_long_govt,0.9318924645053112
own,0.25,coupon_long,daily_only,0.9274099099231011
own,0.25,coupon_long_govt,tlt_only,0.9207817727891211
own,0.25,coupon_long_govt,daily_only,0.9959710100103032
own,0.25,daily_only,tlt_only,0.924249410343342
own,0.5,coupon_long,tlt_only,0.9837079104430229
own,0.5,coupon_long,coupon_long_govt,0.9101797070928012
own,0.5,coupon_long,daily_only,0.9039927063403483
own,0.5,coupon_long_govt,tlt_only,0.8819455973235246
own,0.5,coupon_long_govt,daily_only,0.9953821212936232
own,0.5,daily_only,tlt_only,0.8852753051779078
own,1.0,coupon_long,tlt_only,0.9914770948221299
own,1.0,coupon_long,coupon_long_govt,0.9406227418170608
own,1.0,coupon_long,daily_only,0.9334203728281365
own,1.0,coupon_long_govt,tlt_only,0.9309144074730316
own,1.0,coupon_long_govt,daily_only,0.9930612254628236
own,1.0,daily_only,tlt_only,0.9377627759847375
act,0.25,coupon_long,tlt_only,0.9746939954500048
act,0.25,coupon_long,coupon_long_govt,0.9338697193194264
act,0.25,coupon_long,daily_only,0.9325946770941356
act,0.25,coupon_long_govt,tlt_only,0.8935294091569917
act,0.25,coupon_long_govt,daily_only,0.9965313016786098
act,0.25,daily_only,tlt_only,0.8986373960840813
act,0.5,coupon_long,tlt_only,0.9961124696807501
act,0.5,coupon_long,coupon_long_govt,0.9383284989897641
act,0.5,coupon_long,daily_only,0.9354830931812712
act,0.5,coupon_long_govt,tlt_only,0.9323203683715289
act,0.5,coupon_long_govt,daily_only,0.996883909194778
act,0.5,daily_only,tlt_only,0.9356014754199995
act,1.0,coupon_long,tlt_only,0.9962670103175987
act,1.0,coupon_long,coupon_long_govt,0.9618295984677627
act,1.0,coupon_long,daily_only,0.9581381679140271
act,1.0,coupon_long_govt,tlt_only,0.9560585144599405
act,1.0,coupon_long_govt,daily_only,0.9973180963900037
act,1.0,daily_only,tlt_only,0.9577150294615278
