signal,n_dates,mean_bp,sd_bp,t_hac
agg_act__daily_only__w05__equal,1475,0.013007115926988564,0.3054287584262286,0.5700376080027632
agg_act__daily_only__w025__equal,1472,0.010220792607615251,0.2580768326794279,0.5256174485328915
agg_act__coupon_long__w1__book,1476,0.00842754426486253,0.4449655582518281,0.21852805510010476
agg_act__coupon_long_govt__w1__book,1476,0.004860106484028223,0.40362090787846855,0.1451367510053257
agg_act__tlt_only__w1__book,1476,-0.0001679061506461918,0.43943726686599416,-0.00437580429572513
agg_act__tlt_only__w1__equal,1476,-0.0001679061506461918,0.43943726686599416,-0.00437580429572513
agg_act__daily_only__w1__book,1476,-0.00115335398544203,0.3870094070059087,-0.03841616654771816
agg_act__tlt_only__w05__equal,1475,-0.00484355973609482,0.3303847919521836,-0.19165290851255556
agg_act__tlt_only__w05__book,1475,-0.00484355973609482,0.3303847919521836,-0.19165290851255556
agg_floattwin__board__w05,1475,-0.008460145887266285,0.3709671002411811,-0.2683232483049149
agg_act__coupon_long__w05__book,1475,-0.008700087937202602,0.33154222638699127,-0.3345976036006362
agg_act__coupon_long_govt__w05__equal,1475,-0.01226671696292978,0.3268487319389463,-0.48097758732926066
agg_own__daily_only__w025,1472,-0.01363881094656544,0.2399088035257221,-0.7927558622980242
agg_own__tlt_only__w025,1472,-0.014493037471060842,0.2463243562709832,-0.8296143164109522
agg_act__coupon_long_govt__w025__equal,1472,-0.01499896418729886,0.25885651416891314,-0.722677844544067
agg_own__coupon_long_govt__w05,1475,-0.015204106146335774,0.32007829798646315,-0.6450240176889083
agg_act__coupon_long__w05__equal,1475,-0.018722961187073107,0.33988694041531364,-0.7058585227995086
agg_act__coupon_long_govt__w05__book,1475,-0.019990994037998904,0.3410156948675672,-0.6853387397968659
agg_act__coupon_long__w025__equal,1472,-0.02092958071103267,0.2905039260283742,-0.9323476912666316
agg_own__daily_only__w05,1475,-0.02205985253457811,0.31323096152135854,-0.9676036633406969
agg_act__coupon_long__w1__equal,1476,-0.022679317643002878,0.40864520705834156,-0.7172865320099556
agg_floattwin__board__w1,1476,-0.0229268317008807,0.3818972497420063,-0.7031206768738957
agg_act__daily_only__w05__book,1475,-0.02435732340167978,0.33034315246139684,-0.8875754746649444
agg_own__coupon_long__w025,1472,-0.024586758404914498,0.2423753197053256,-1.3711191562262965
agg_act__tlt_only__w025__book,1472,-0.027653979322616765,0.26851925255173786,-1.3584057445285391
agg_act__tlt_only__w025__equal,1472,-0.027653979322616765,0.26851925255173786,-1.3584057445285391
agg_own__tlt_only__w1,1476,-0.028252051713369974,0.42647813564300235,-0.8653759443510093
agg_act__daily_only__w025__book,1472,-0.0296503339179396,0.25637127215548344,-1.5907330178586736
agg_act__coupon_long_govt__w025__book,1472,-0.03110510733568495,0.2509702867042695,-1.7306603467353248
agg_act__daily_only__w1__equal,1476,-0.03256885868686375,0.3745161358451902,-1.1409677120872583
agg_own__coupon_long_govt__w025,1472,-0.033588478916990475,0.2370120946279249,-2.020854672993556
agg_own__coupon_long__w1,1476,-0.03536779000596962,0.4205652364259353,-1.051026919641474
agg_own__daily_only__w1,1476,-0.0354452954988512,0.4029136541647793,-1.136381829698366
agg_own__coupon_long__w05,1475,-0.03592114171307676,0.34272214107231314,-1.3186331132969997
agg_own__tlt_only__w05,1475,-0.03731171417721696,0.3394278443966274,-1.4401700915193727
agg_act__coupon_long__w025__book,1472,-0.0386205723593972,0.2785512100862445,-1.8829198047814169
agg_own__coupon_long_govt__w1,1476,-0.04025498317718167,0.40028418514129716,-1.2769375179570546
agg_floattwin__board__w025,1472,-0.04215123024263094,0.310815753173051,-1.8018438718267835
agg_act__coupon_long_govt__w1__equal,1476,-0.048449490323246594,0.39007300496209374,-1.7018543373363393
