signal,horizon,n_dates,beta_bp_per_z,t_hac,ctrl_beta_bp_per_z
agg_own__tlt_only__w025,5,1486,-0.001151365676576279,-0.9684641716436764,0.025998681665973033
agg_own__tlt_only__w025,10,1481,-0.002246885357779926,-1.1680282526846206,0.04324607414837593
agg_own__tlt_only__w025,21,1470,-0.004448320015699474,-1.5594170201329558,0.06685766894906073
agg_own__tlt_only__w025,42,1449,-0.009395390311995789,-1.714478649204883,0.10239751444134601
agg_own__tlt_only__w025,63,1428,-0.015609603458918715,-1.8741693068637812,0.13774963654142455
agg_act__tlt_only__w025__book,5,1486,-0.0024562614691340696,-1.690254778885789,0.026614685865269168
agg_act__tlt_only__w025__book,10,1481,-0.004954138393608496,-2.0304812412706514,0.04428285440357148
agg_act__tlt_only__w025__book,21,1470,-0.009010513717738786,-2.5158088183517013,0.0681524644939365
agg_act__tlt_only__w025__book,42,1449,-0.016370952423867477,-2.358613983353269,0.10451348946525023
agg_act__tlt_only__w025__book,63,1428,-0.023472959438813286,-2.091664159392198,0.14077193501788943
agg_own__tlt_only__w1,5,1491,-0.0017830157610621775,-1.0352555321107157,0.02538351678177665
agg_own__tlt_only__w1,10,1486,-0.0034372304253573395,-1.1804044313208475,0.042349104006643344
agg_own__tlt_only__w1,21,1475,-0.006221669808101958,-1.3733560437203631,0.06565608854072254
agg_own__tlt_only__w1,42,1454,-0.011560937954979178,-1.6200034486707082,0.10194955447736254
agg_own__tlt_only__w1,63,1433,-0.01946929050804343,-1.882647162285276,0.1373140116150035
agg_act__tlt_only__w1__book,5,1491,-0.0014348833890779668,-0.8994623591874296,0.025991712796204512
agg_act__tlt_only__w1__book,10,1486,-0.002966029772322533,-1.0674807076351904,0.04344875928009125
agg_act__tlt_only__w1__book,21,1475,-0.007404315104307947,-1.7336418957051676,0.06706280435950646
agg_act__tlt_only__w1__book,42,1454,-0.014022054002775624,-1.8862297843442604,0.10336821613933185
agg_act__tlt_only__w1__book,63,1433,-0.022595951587512954,-2.1057562894296717,0.1388825102959586
agg_own__coupon_long__w025,5,1486,-0.0010674034157031355,-0.8954016656567636,0.026096086821487074
agg_own__coupon_long__w025,10,1481,-0.00210163254999699,-1.0818829256827835,0.04344429331120506
agg_own__coupon_long__w025,21,1470,-0.004368147178858176,-1.5097662701197592,0.0671102786807306
agg_own__coupon_long__w025,42,1449,-0.009152548722655298,-1.6509776255761317,0.10277372322123382
agg_own__coupon_long__w025,63,1428,-0.015008119678351072,-1.7890935979013336,0.1380126804093581
agg_act__coupon_long__w025__book,5,1486,-0.002308138322881165,-1.5917990390925865,0.026617898774387857
agg_act__coupon_long__w025__book,10,1481,-0.004681723969640027,-1.9293372757402063,0.044287620794084166
agg_act__coupon_long__w025__book,21,1470,-0.008351137804908947,-2.3266939159507625,0.06811279795308539
agg_act__coupon_long__w025__book,42,1449,-0.015319375839714688,-2.230261731038016,0.10465504639025662
agg_act__coupon_long__w025__book,63,1428,-0.022354265024777373,-1.9944787486451407,0.14093776487766976
agg_own__coupon_long__w1,5,1491,-0.002379540042217171,-1.2937531982686665,0.025476327358775325
agg_own__coupon_long__w1,10,1486,-0.004828254539617543,-1.5242376087677825,0.04256783555735148
agg_own__coupon_long__w1,21,1475,-0.008769726660772787,-1.7308125443876579,0.0661995153861359
agg_own__coupon_long__w1,42,1454,-0.014552531933507288,-1.8250572079312322,0.10286063394817545
agg_own__coupon_long__w1,63,1433,-0.02258569426956573,-2.041201602653494,0.1382625265313114
agg_act__coupon_long__w1__book,5,1491,-0.001514238296551486,-0.95239248928457,0.02609000803565561
agg_act__coupon_long__w1__book,10,1486,-0.0030221940408984697,-1.0896745201477358,0.04362973565710291
agg_act__coupon_long__w1__book,21,1475,-0.007785477621125345,-1.822530968498619,0.06724883617325955
agg_act__coupon_long__w1__book,42,1454,-0.014145965469396622,-1.8998495851723052,0.10351669486405857
agg_act__coupon_long__w1__book,63,1433,-0.02282620799920985,-2.1840508636949885,0.13914183949278824
agg_own__coupon_long_govt__w025,5,1486,-0.0006693481766044319,-0.5603052163247342,0.025872610281072555
agg_own__coupon_long_govt__w025,10,1481,-0.0014853618269838956,-0.7990210444796817,0.043094114603811386
agg_own__coupon_long_govt__w025,21,1470,-0.0031971328258096694,-1.26005599150843,0.06665098894428709
agg_own__coupon_long_govt__w025,42,1449,-0.006628599784360811,-1.3247029348066168,0.10143936537919367
agg_own__coupon_long_govt__w025,63,1428,-0.010244274698421388,-1.382394241184777,0.135823534093176
agg_act__coupon_long_govt__w025__book,5,1486,-0.0022490548623829098,-1.609040109215697,0.026578730623649256
agg_act__coupon_long_govt__w025__book,10,1481,-0.00461909258715091,-2.0173810799044354,0.04420431061883704
agg_act__coupon_long_govt__w025__book,21,1470,-0.008004083610988944,-2.4830248072424155,0.06803455157652204
agg_act__coupon_long_govt__w025__book,42,1449,-0.01313361871742614,-2.1026523319010058,0.1034727011696723
agg_act__coupon_long_govt__w025__book,63,1428,-0.018451606409160323,-1.8292942972420316,0.1388897385153993
agg_own__coupon_long_govt__w1,5,1491,-0.00215614348358597,-1.2742439572506226,0.025442176268922256
agg_own__coupon_long_govt__w1,10,1486,-0.004173719419932031,-1.4493721208682149,0.04247023568374267
agg_own__coupon_long_govt__w1,21,1475,-0.00783788133910282,-1.8502602130703507,0.06578225462890351
agg_own__coupon_long_govt__w1,42,1454,-0.009664540771200048,-1.5230467234664047,0.10127667651323738
