speaker,events,first_q,last_q,quarters
Williams,195,2019Q1,2026Q3,31
Powell,156,2019Q1,2026Q2,30
Bowman,138,2019Q1,2026Q3,30
Bostic,118,2021Q1,2026Q1,14
Waller,104,2021Q1,2026Q3,23
Goolsbee,96,2023Q1,2026Q3,13
Barr,92,2022Q3,2026Q3,17
Barkin,89,2021Q1,2026Q3,16
Daly,74,2021Q1,2026Q3,15
Cook,59,2022Q4,2026Q3,16
Kashkari,57,2020Q1,2026Q2,16
Brainard,56,2019Q1,2023Q1,17
Mester,51,2020Q1,2024Q2,10
Quarles,50,2019Q1,2021Q4,12
Harker,49,2020Q1,2025Q2,12
Bullard,46,2019Q1,2022Q4,8
Clarida,46,2019Q1,2021Q4,12
Logan,45,2023Q1,2026Q3,13
Evans,43,2019Q1,2021Q4,8
Jefferson,41,2022Q4,2026Q3,14
Musalem,37,2024Q3,2026Q3,9
Hammack,30,2024Q4,2026Q2,7
Kugler,29,2024Q1,2025Q3,7
Miran,27,2025Q3,2026Q2,4
Collins,25,2022Q3,2026Q2,10
Schmid,24,2024Q4,2026Q3,8
George,18,2019Q1,2022Q4,8
Kaplan,17,2020Q1,2020Q4,4
Paulson,12,2025Q4,2026Q2,3
Rosengren,12,2019Q1,2019Q4,4
