bank,Date,TimestampNYC,ts_local,local_hour,Title,Impact,Currency,EventId
FED,2021-01-04,2021-01-04 10:00:00-05:00,2021-01-04 10:00:00-05:00,10,FOMC Member Evans Speaks,low,USD,121379
FED,2021-01-04,2021-01-04 10:00:00-05:00,2021-01-04 10:00:00-05:00,10,FOMC Member Bostic Speaks,low,USD,121380
FED,2021-01-05,2021-01-05 15:45:00-05:00,2021-01-05 15:45:00-05:00,15,FOMC Member Evans Speaks,low,USD,121381
FED,2021-01-07,2021-01-07 13:00:00-05:00,2021-01-07 13:00:00-05:00,13,FOMC Member Evans Speaks,low,USD,121382
FED,2021-01-08,2021-01-08 11:00:00-05:00,2021-01-08 11:00:00-05:00,11,FOMC Member Clarida Speaks,low,USD,121385
FED,2021-01-11,2021-01-11 12:00:00-05:00,2021-01-11 12:00:00-05:00,12,FOMC Member Bostic Speaks,low,USD,121393
FED,2021-01-12,2021-01-12 09:35:00-05:00,2021-01-12 09:35:00-05:00,9,FOMC Member Brainard Speaks,low,USD,121398
FED,2021-01-13,2021-01-13 13:00:00-05:00,2021-01-13 13:00:00-05:00,13,FOMC Member Brainard Speaks,low,USD,121397
FED,2021-01-13,2021-01-13 15:00:00-05:00,2021-01-13 15:00:00-05:00,15,FOMC Member Clarida Speaks,low,USD,121409
FED,2021-01-14,2021-01-14 12:30:00-05:00,2021-01-14 12:30:00-05:00,12,FOMC Member Powell Speaks,high,USD,121394
FED,2021-02-01,2021-02-01 14:00:00-05:00,2021-02-01 14:00:00-05:00,14,FOMC Member Bostic Speaks,low,USD,121565
FED,2021-02-03,2021-02-03 17:00:00-05:00,2021-02-03 17:00:00-05:00,17,FOMC Member Evans Speaks,low,USD,121567
FED,2021-02-04,2021-02-04 14:00:00-05:00,2021-02-04 14:00:00-05:00,14,FOMC Member Daly Speaks,low,USD,121568
FED,2021-02-10,2021-02-10 14:00:00-05:00,2021-02-10 14:00:00-05:00,14,FOMC Member Powell Speaks,high,USD,121580
FED,2021-02-16,2021-02-16 11:10:00-05:00,2021-02-16 11:10:00-05:00,11,FOMC Member Bowman Speaks,low,USD,121590
FED,2021-02-16,2021-02-16 15:00:00-05:00,2021-02-16 15:00:00-05:00,15,FOMC Member Daly Speaks,low,USD,121584
FED,2021-02-17,2021-02-17 09:00:00-05:00,2021-02-17 09:00:00-05:00,9,FOMC Member Barkin Speaks,low,USD,121591
FED,2021-02-18,2021-02-18 08:00:00-05:00,2021-02-18 08:00:00-05:00,8,FOMC Member Brainard Speaks,low,USD,121583
FED,2021-02-19,2021-02-19 08:00:00-05:00,2021-02-19 08:00:00-05:00,8,FOMC Member Barkin Speaks,low,USD,121592
FED,2021-02-22,2021-02-22 15:30:00-05:00,2021-02-22 15:30:00-05:00,15,FOMC Member Bowman Speaks,low,USD,121606
FED,2021-02-23,2021-02-23 10:00:00-05:00,2021-02-23 10:00:00-05:00,10,Fed Chairman Powell Testifies,high,USD,121596
FED,2021-02-24,2021-02-24 10:00:00-05:00,2021-02-24 10:00:00-05:00,10,Fed Chairman Powell Testifies,high,USD,121603
FED,2021-02-24,2021-02-24 10:30:00-05:00,2021-02-24 10:30:00-05:00,10,FOMC Member Brainard Speaks,low,USD,121608
FED,2021-02-24,2021-02-24 13:00:00-05:00,2021-02-24 13:00:00-05:00,13,FOMC Member Clarida Speaks,low,USD,121609
FED,2021-02-24,2021-02-24 16:00:00-05:00,2021-02-24 16:00:00-05:00,16,FOMC Member Clarida Speaks,low,USD,121611
FED,2021-02-25,2021-02-25 08:30:00-05:00,2021-02-25 08:30:00-05:00,8,FOMC Member Bostic Speaks,low,USD,121599
FED,2021-02-25,2021-02-25 11:10:00-05:00,2021-02-25 11:10:00-05:00,11,FOMC Member Quarles Speaks,low,USD,121610
FED,2021-02-25,2021-02-25 12:00:00-05:00,2021-02-25 12:00:00-05:00,12,FOMC Member Bostic Speaks,low,USD,121600
FED,2021-03-01,2021-03-01 09:00:00-05:00,2021-03-01 09:00:00-05:00,9,FOMC Member Williams Speaks,low,USD,121614
FED,2021-03-01,2021-03-01 09:05:00-05:00,2021-03-01 09:05:00-05:00,9,FOMC Member Brainard Speaks,low,USD,121622
FED,2021-03-02,2021-03-02 13:00:00-05:00,2021-03-02 13:00:00-05:00,13,FOMC Member Brainard Speaks,low,USD,121615
FED,2021-03-02,2021-03-02 14:00:00-05:00,2021-03-02 14:00:00-05:00,14,FOMC Member Daly Speaks,low,USD,121616
FED,2021-03-03,2021-03-03 13:00:00-05:00,2021-03-03 13:00:00-05:00,13,FOMC Member Evans Speaks,low,USD,121618
FED,2021-03-04,2021-03-04 12:05:00-05:00,2021-03-04 12:05:00-05:00,12,FOMC Member Powell Speaks,high,USD,121621
FED,2021-03-18,2021-03-18 11:55:00-04:00,2021-03-18 11:55:00-04:00,11,FOMC Member Powell Speaks,high,USD,121640
FED,2021-03-22,2021-03-22 09:00:00-04:00,2021-03-22 09:00:00-04:00,9,FOMC Member Powell Speaks,high,USD,121641
FED,2021-03-22,2021-03-22 10:00:00-04:00,2021-03-22 10:00:00-04:00,10,FOMC Member Barkin Speaks,low,USD,121643
FED,2021-03-22,2021-03-22 13:00:00-04:00,2021-03-22 13:00:00-04:00,13,FOMC Member Daly Speaks,low,USD,121644
FED,2021-03-22,2021-03-22 13:30:00-04:00,2021-03-22 13:30:00-04:00,13,FOMC Member Quarles Speaks,low,USD,121660
FED,2021-03-22,2021-03-22 19:15:00-04:00,2021-03-22 19:15:00-04:00,19,FOMC Member Bowman Speaks,low,USD,121661
FED,2021-03-23,2021-03-23 10:10:00-04:00,2021-03-23 10:10:00-04:00,10,FOMC Member Bostic Speaks,low,USD,121663
FED,2021-03-23,2021-03-23 12:00:00-04:00,2021-03-23 12:00:00-04:00,12,Fed Chairman Powell Testifies,high,USD,121662
FED,2021-03-23,2021-03-23 13:25:00-04:00,2021-03-23 13:25:00-04:00,13,FOMC Member Brainard Speaks,low,USD,121664
FED,2021-03-23,2021-03-23 14:45:00-04:00,2021-03-23 14:45:00-04:00,14,FOMC Member Williams Speaks,low,USD,121648
FED,2021-03-23,2021-03-23 15:45:00-04:00,2021-03-23 15:45:00-04:00,15,FOMC Member Brainard Speaks,low,USD,121665
FED,2021-03-24,2021-03-24 10:00:00-04:00,2021-03-24 10:00:00-04:00,10,Fed Chairman Powell Testifies,high,USD,121649
FED,2021-03-24,2021-03-24 13:35:00-04:00,2021-03-24 13:35:00-04:00,13,FOMC Member Williams Speaks,low,USD,121650
FED,2021-03-24,2021-03-24 15:00:00-04:00,2021-03-24 15:00:00-04:00,15,FOMC Member Daly Speaks,low,USD,121651
FED,2021-03-24,2021-03-24 19:00:00-04:00,2021-03-24 19:00:00-04:00,19,FOMC Member Evans Speaks,low,USD,121652
FED,2021-03-25,2021-03-25 05:30:00-04:00,2021-03-25 05:30:00-04:00,5,FOMC Member Williams Speaks,low,USD,121653
FED,2021-03-25,2021-03-25 10:10:00-04:00,2021-03-25 10:10:00-04:00,10,FOMC Member Clarida Speaks,low,USD,121668
FED,2021-03-25,2021-03-25 10:30:00-04:00,2021-03-25 10:30:00-04:00,10,FOMC Member Williams Speaks,low,USD,121666
FED,2021-03-25,2021-03-25 12:00:00-04:00,2021-03-25 12:00:00-04:00,12,FOMC Member Bostic Speaks,low,USD,121667
FED,2021-03-25,2021-03-25 13:00:00-04:00,2021-03-25 13:00:00-04:00,13,FOMC Member Evans Speaks,low,USD,121658
FED,2021-03-25,2021-03-25 19:00:00-04:00,2021-03-25 19:00:00-04:00,19,FOMC Member Daly Speaks,low,USD,121659
FED,2021-03-29,2021-03-29 11:00:00-04:00,2021-03-29 11:00:00-04:00,11,FOMC Member Waller Speaks,low,USD,121680
FED,2021-03-30,2021-03-30 09:00:00-04:00,2021-03-30 09:00:00-04:00,9,FOMC Member Quarles Speaks,low,USD,121681
FED,2021-03-30,2021-03-30 12:00:00-04:00,2021-03-30 12:00:00-04:00,12,FOMC Member Bostic Speaks,low,USD,121684
FED,2021-03-30,2021-03-30 14:30:00-04:00,2021-03-30 14:30:00-04:00,14,FOMC Member Williams Speaks,low,USD,121677
FED,2021-04-02,2021-04-02 11:00:00-04:00,2021-04-02 11:00:00-04:00,11,FOMC Member Bostic Speaks,low,USD,121683
FED,2021-04-07,2021-04-07 08:30:00-04:00,2021-04-07 08:30:00-04:00,8,FOMC Member Evans Speaks,low,USD,121686
FED,2021-04-07,2021-04-07 12:00:00-04:00,2021-04-07 12:00:00-04:00,12,FOMC Member Barkin Speaks,low,USD,121687
FED,2021-04-07,2021-04-07 13:00:00-04:00,2021-04-07 13:00:00-04:00,13,FOMC Member Daly Speaks,low,USD,121698
FED,2021-04-08,2021-04-08 12:00:00-04:00,2021-04-08 12:00:00-04:00,12,FOMC Member Powell Speaks,high,USD,121688
FED,2021-04-12,2021-04-11 19:00:00-04:00,2021-04-11 19:00:00-04:00,19,FOMC Member Powell Speaks,high,USD,121714
