root,label,date,symbol,bars,first,last
IM,EUR Euribor 3M (ICE),2021-06-15,IMZ21,352,06:21,20:59
IM,EUR Euribor 3M (ICE),2022-06-15,IMH23,803,01:00,20:59
IM,EUR Euribor 3M (ICE),2023-06-14,IMZ23,583,01:00,20:59
IM,EUR Euribor 3M (ICE),2024-06-12,IMZ24,625,01:09,20:59
IM,EUR Euribor 3M (ICE),2025-06-11,IMZ25,503,01:15,20:57
IM,EUR Euribor 3M (ICE),2026-06-10,IMZ26,585,01:00,20:59
TV,EUR Euribor 3M (Eurex),2021-06-15,TVZ21,1440,00:00,23:59
TV,EUR Euribor 3M (Eurex),2022-06-15,TVH23,1440,00:00,23:59
TV,EUR Euribor 3M (Eurex),2023-06-14,TVZ23,1440,00:00,23:59
TV,EUR Euribor 3M (Eurex),2024-06-12,TVZ24,30,06:45,15:51
TV,EUR Euribor 3M (Eurex),2025-06-11,TVZ25,20,07:32,16:49
TV,EUR Euribor 3M (Eurex),2026-06-10,TVZ26,80,07:00,18:48
RG,CAD CORRA 3M (MX),2021-06-15,RGZ21,1440,00:00,23:59
RG,CAD CORRA 3M (MX),2022-06-15,RGH23,16,10:42,16:07
RG,CAD CORRA 3M (MX),2023-06-14,RGZ23,161,07:56,16:29
RG,CAD CORRA 3M (MX),2024-06-12,RGZ24,285,02:02,16:29
RG,CAD CORRA 3M (MX),2025-06-11,RGZ25,436,02:16,16:29
RG,CAD CORRA 3M (MX),2026-06-10,RGZ26,355,02:00,16:29
J2,CHF SARON 3M (Eurex),2021-06-15,J2Z21,0,,
J2,CHF SARON 3M (Eurex),2022-06-15,J2H23,0,,
J2,CHF SARON 3M (Eurex),2023-06-14,J2Z23,0,,
J2,CHF SARON 3M (Eurex),2024-06-12,J2Z24,109,08:31,18:59
J2,CHF SARON 3M (Eurex),2025-06-11,J2Z25,274,08:30,18:59
J2,CHF SARON 3M (Eurex),2026-06-10,J2Z26,118,08:30,18:54
EB,EUR ESTR 3M (CME) [baseline],2021-06-15,EBZ21,0,,
EB,EUR ESTR 3M (CME) [baseline],2022-06-15,EBH23,0,,
EB,EUR ESTR 3M (CME) [baseline],2023-06-14,EBZ23,0,,
EB,EUR ESTR 3M (CME) [baseline],2024-06-12,EBZ24,121,07:21,20:58
EB,EUR ESTR 3M (CME) [baseline],2025-06-11,EBZ25,278,05:15,20:59
EB,EUR ESTR 3M (CME) [baseline],2026-06-10,EBZ26,473,01:00,20:52
