construction,kind,n,gross_bp,t,net_025,net_050,hit,bp_2022_23,bp_2024_26,n_2024_26,t_2024_26,bp_last4q,n_last4q
L2 stability >=2q,PIT,350,0.4914,2.346,0.2414,-0.0086,0.5,0.6717,0.3288,184.0,1.242,0.5588,51.0
L2 stability >=4q,PIT,198,0.4672,1.641,0.2172,-0.0328,0.5,0.6067,0.3532,109.0,0.939,,
L2 stability >=8q,PIT,31,-0.0161,-0.023,-0.2661,-0.5161,0.4516,,,,,,
"L3 mechanical, own last 5",PIT,696,0.107,0.682,-0.143,-0.393,0.4583,0.1909,0.0683,476.0,0.389,0.3903,155.0
"L3 mechanical, own last 10",PIT,590,-0.0619,-0.328,-0.3119,-0.5619,0.4322,-0.0364,-0.0706,439.0,-0.321,-0.1747,146.0
C2 previous quarter,PIT,484,0.5062,2.975,0.2562,0.0062,0.4917,0.7318,0.3579,292.0,1.769,0.3852,122.0
L4 ROLE ONLY (floor),PIT,653,0.0735,0.454,-0.1765,-0.4265,0.4671,0.3254,-0.0653,421.0,-0.326,0.1165,133.0
L1 evidence vintage,provenance,283,0.6148,2.939,0.3648,0.1148,0.4947,1.2008,0.1708,161.0,0.754,0.1986,73.0
L1 strict,provenance,79,1.0949,2.6,0.8449,0.5949,0.5443,1.7065,0.2424,33.0,0.412,,
C1 quarter's own (UPPER BOUND),hindsight,509,0.6316,3.915,0.3816,0.1316,0.4892,0.9645,0.4448,326.0,2.245,0.3269,130.0
C3 high-confidence only,hindsight,285,0.9281,4.133,0.6781,0.4281,0.5123,1.0578,0.7899,138.0,2.283,0.3019,53.0
