mode,pca_window_days,pca_input,zscore_lookback_days,min_zscore_belly,min_zscore_wing,max_adf_pvalue,max_half_life_days,n_trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_days,sharpe,max_loss,mr_exits,sl_exits,mh_exits
spot,260,levels,130,1.0,0.0,0.1,60.0,100,69608302.90076011,696083.0290076011,153179.88646081678,0.5,1.01,1.440097036981902,-29310191.756588645,59,41,0
spot,260,levels,130,1.0,0.0,0.1,120.0,100,69608302.90076011,696083.0290076011,153179.88646081678,0.5,1.01,1.440097036981902,-29310191.756588645,59,41,0
spot,260,levels,130,1.0,0.0,0.2,60.0,100,69608302.90076011,696083.0290076011,153179.88646081678,0.5,1.01,1.440097036981902,-29310191.756588645,59,41,0
spot,260,levels,130,1.0,0.0,0.2,120.0,100,69608302.90076011,696083.0290076011,153179.88646081678,0.5,1.01,1.440097036981902,-29310191.756588645,59,41,0
spot,260,levels,130,1.0,0.0,0.5,60.0,101,70299747.078819,696037.0997902873,395247.7213776871,0.504950495049505,1.00990099009901,1.4472550514574536,-29310191.756588645,59,42,0
spot,260,levels,130,1.0,0.0,0.5,120.0,101,70299747.078819,696037.0997902873,395247.7213776871,0.504950495049505,1.00990099009901,1.4472550514574536,-29310191.756588645,59,42,0
spot,260,levels,130,1.0,0.25,0.1,60.0,82,51730587.233442396,630860.8199200297,34440.25589962362,0.5,1.0,1.2691600438580177,-29310191.756588645,55,27,0
spot,260,levels,130,1.0,0.25,0.1,120.0,82,51730587.233442396,630860.8199200297,34440.25589962362,0.5,1.0,1.2691600438580177,-29310191.756588645,55,27,0
spot,260,levels,130,1.0,0.25,0.2,60.0,82,51730587.233442396,630860.8199200297,34440.25589962362,0.5,1.0,1.2691600438580177,-29310191.756588645,55,27,0
spot,260,levels,130,1.0,0.25,0.2,120.0,82,51730587.233442396,630860.8199200297,34440.25589962362,0.5,1.0,1.2691600438580177,-29310191.756588645,55,27,0
spot,260,levels,130,1.0,0.25,0.5,60.0,82,51730587.233442396,630860.8199200297,34440.25589962362,0.5,1.0,1.2691600438580177,-29310191.756588645,55,27,0
spot,260,levels,130,1.0,0.25,0.5,120.0,82,51730587.233442396,630860.8199200297,34440.25589962362,0.5,1.0,1.2691600438580177,-29310191.756588645,55,27,0
spot,260,levels,130,1.0,0.5,0.1,60.0,61,32660850.36735553,535423.776514025,-655702.2691425575,0.4426229508196721,1.0,1.0651917502780912,-29310191.756588645,40,21,0
spot,260,levels,130,1.0,0.5,0.1,120.0,61,32660850.36735553,535423.776514025,-655702.2691425575,0.4426229508196721,1.0,1.0651917502780912,-29310191.756588645,40,21,0
spot,260,levels,130,1.0,0.5,0.2,60.0,61,32660850.36735553,535423.776514025,-655702.2691425575,0.4426229508196721,1.0,1.0651917502780912,-29310191.756588645,40,21,0
spot,260,levels,130,1.0,0.5,0.2,120.0,61,32660850.36735553,535423.776514025,-655702.2691425575,0.4426229508196721,1.0,1.0651917502780912,-29310191.756588645,40,21,0
spot,260,levels,130,1.0,0.5,0.5,60.0,61,32660850.36735553,535423.776514025,-655702.2691425575,0.4426229508196721,1.0,1.0651917502780912,-29310191.756588645,40,21,0
spot,260,levels,130,1.0,0.5,0.5,120.0,61,32660850.36735553,535423.776514025,-655702.2691425575,0.4426229508196721,1.0,1.0651917502780912,-29310191.756588645,40,21,0
spot,260,levels,130,1.5,0.0,0.1,60.0,60,30889278.844014123,514821.314066902,-338669.1833543255,0.4666666666666667,1.0166666666666666,1.3488129586185682,-14398105.6584682,39,21,0
spot,260,levels,130,1.5,0.0,0.1,120.0,60,30889278.844014123,514821.314066902,-338669.1833543255,0.4666666666666667,1.0166666666666666,1.3488129586185682,-14398105.6584682,39,21,0
spot,260,levels,130,1.5,0.0,0.2,60.0,60,30889278.844014123,514821.314066902,-338669.1833543255,0.4666666666666667,1.0166666666666666,1.3488129586185682,-14398105.6584682,39,21,0
spot,260,levels,130,1.5,0.0,0.2,120.0,60,30889278.844014123,514821.314066902,-338669.1833543255,0.4666666666666667,1.0166666666666666,1.3488129586185682,-14398105.6584682,39,21,0
spot,260,levels,130,1.5,0.0,0.5,60.0,60,30889278.844014123,514821.314066902,-338669.1833543255,0.4666666666666667,1.0166666666666666,1.3488129586185682,-14398105.6584682,39,21,0
spot,260,levels,130,1.5,0.0,0.5,120.0,60,30889278.844014123,514821.314066902,-338669.1833543255,0.4666666666666667,1.0166666666666666,1.3488129586185682,-14398105.6584682,39,21,0
spot,260,levels,130,1.5,0.25,0.1,60.0,48,15722783.344761793,327557.98634920415,-733605.8138306201,0.4375,1.0208333333333333,0.9171340523551662,-14398105.6584682,36,12,0
spot,260,levels,130,1.5,0.25,0.1,120.0,48,15722783.344761793,327557.98634920415,-733605.8138306201,0.4375,1.0208333333333333,0.9171340523551662,-14398105.6584682,36,12,0
spot,260,levels,130,1.5,0.25,0.2,60.0,48,15722783.344761793,327557.98634920415,-733605.8138306201,0.4375,1.0208333333333333,0.9171340523551662,-14398105.6584682,36,12,0
spot,260,levels,130,1.5,0.25,0.2,120.0,48,15722783.344761793,327557.98634920415,-733605.8138306201,0.4375,1.0208333333333333,0.9171340523551662,-14398105.6584682,36,12,0
spot,260,levels,130,1.5,0.25,0.5,60.0,48,15722783.344761793,327557.98634920415,-733605.8138306201,0.4375,1.0208333333333333,0.9171340523551662,-14398105.6584682,36,12,0
spot,260,levels,130,1.5,0.25,0.5,120.0,48,15722783.344761793,327557.98634920415,-733605.8138306201,0.4375,1.0208333333333333,0.9171340523551662,-14398105.6584682,36,12,0
spot,260,levels,130,1.5,0.5,0.1,60.0,38,-2696323.721769116,-70955.88741497674,-1123711.8709630314,0.39473684210526316,1.0263157894736843,-0.19439659983373994,-11451780.016754935,28,10,0
spot,260,levels,130,1.5,0.5,0.1,120.0,38,-2696323.721769116,-70955.88741497674,-1123711.8709630314,0.39473684210526316,1.0263157894736843,-0.19439659983373994,-11451780.016754935,28,10,0
spot,260,levels,130,1.5,0.5,0.2,60.0,38,-2696323.721769116,-70955.88741497674,-1123711.8709630314,0.39473684210526316,1.0263157894736843,-0.19439659983373994,-11451780.016754935,28,10,0
spot,260,levels,130,1.5,0.5,0.2,120.0,38,-2696323.721769116,-70955.88741497674,-1123711.8709630314,0.39473684210526316,1.0263157894736843,-0.19439659983373994,-11451780.016754935,28,10,0
spot,260,levels,130,1.5,0.5,0.5,60.0,38,-2696323.721769116,-70955.88741497674,-1123711.8709630314,0.39473684210526316,1.0263157894736843,-0.19439659983373994,-11451780.016754935,28,10,0
spot,260,levels,130,1.5,0.5,0.5,120.0,38,-2696323.721769116,-70955.88741497674,-1123711.8709630314,0.39473684210526316,1.0263157894736843,-0.19439659983373994,-11451780.016754935,28,10,0
spot,260,levels,130,2.0,0.0,0.1,60.0,23,59450493.30253627,2584804.0566320117,2342669.7070897594,0.6086956521739131,1.0,6.570761187581885,-11451780.016754935,14,9,0
spot,260,levels,130,2.0,0.0,0.1,120.0,23,59450493.30253627,2584804.0566320117,2342669.7070897594,0.6086956521739131,1.0,6.570761187581885,-11451780.016754935,14,9,0
spot,260,levels,130,2.0,0.0,0.2,60.0,23,59450493.30253627,2584804.0566320117,2342669.7070897594,0.6086956521739131,1.0,6.570761187581885,-11451780.016754935,14,9,0
spot,260,levels,130,2.0,0.0,0.2,120.0,23,59450493.30253627,2584804.0566320117,2342669.7070897594,0.6086956521739131,1.0,6.570761187581885,-11451780.016754935,14,9,0
spot,260,levels,130,2.0,0.0,0.5,60.0,23,59450493.30253627,2584804.0566320117,2342669.7070897594,0.6086956521739131,1.0,6.570761187581885,-11451780.016754935,14,9,0
spot,260,levels,130,2.0,0.0,0.5,120.0,23,59450493.30253627,2584804.0566320117,2342669.7070897594,0.6086956521739131,1.0,6.570761187581885,-11451780.016754935,14,9,0
spot,260,levels,130,2.0,0.25,0.1,60.0,17,6543949.281041742,384938.1930024553,-655702.2691425575,0.4117647058823529,1.0,1.0600708183798,-11451780.016754935,12,5,0
spot,260,levels,130,2.0,0.25,0.1,120.0,17,6543949.281041742,384938.1930024553,-655702.2691425575,0.4117647058823529,1.0,1.0600708183798,-11451780.016754935,12,5,0
spot,260,levels,130,2.0,0.25,0.2,60.0,17,6543949.281041742,384938.1930024553,-655702.2691425575,0.4117647058823529,1.0,1.0600708183798,-11451780.016754935,12,5,0
spot,260,levels,130,2.0,0.25,0.2,120.0,17,6543949.281041742,384938.1930024553,-655702.2691425575,0.4117647058823529,1.0,1.0600708183798,-11451780.016754935,12,5,0
spot,260,levels,130,2.0,0.25,0.5,60.0,17,6543949.281041742,384938.1930024553,-655702.2691425575,0.4117647058823529,1.0,1.0600708183798,-11451780.016754935,12,5,0
spot,260,levels,130,2.0,0.25,0.5,120.0,17,6543949.281041742,384938.1930024553,-655702.2691425575,0.4117647058823529,1.0,1.0600708183798,-11451780.016754935,12,5,0
spot,260,levels,130,2.0,0.5,0.1,60.0,11,-10627660.858701155,-966150.9871546506,-1088263.7256296258,0.2727272727272727,1.0,-2.5694486980153974,-11451780.016754935,7,4,0
spot,260,levels,130,2.0,0.5,0.1,120.0,11,-10627660.858701155,-966150.9871546506,-1088263.7256296258,0.2727272727272727,1.0,-2.5694486980153974,-11451780.016754935,7,4,0
