mode,pca_window_days,pca_input,zscore_lookback_days,min_zscore_belly,min_zscore_wing,max_adf_pvalue,max_half_life_days,n_trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_days,sharpe,max_loss,mr_exits,sl_exits,mh_exits
forward_stanchart,260,levels,130,1.0,0.0,0.1,60.0,86,43412651.01410188,504798.26760583615,773560.852602626,0.5813953488372093,1.0,1.5331065414546823,-20556972.99512325,60,26,0
forward_stanchart,260,levels,130,1.0,0.0,0.1,120.0,86,43412651.01410188,504798.26760583615,773560.852602626,0.5813953488372093,1.0,1.5331065414546823,-20556972.99512325,60,26,0
forward_stanchart,260,levels,130,1.0,0.0,0.2,60.0,89,43446868.491196916,488167.061698842,773560.852602626,0.5730337078651685,1.0,1.5067199349987113,-20556972.99512325,60,29,0
forward_stanchart,260,levels,130,1.0,0.0,0.2,120.0,89,43446868.491196916,488167.061698842,773560.852602626,0.5730337078651685,1.0,1.5067199349987113,-20556972.99512325,60,29,0
forward_stanchart,260,levels,130,1.0,0.0,0.5,60.0,89,43446868.491196916,488167.061698842,773560.852602626,0.5730337078651685,1.0,1.5067199349987113,-20556972.99512325,60,29,0
forward_stanchart,260,levels,130,1.0,0.0,0.5,120.0,92,52812630.89766156,574050.3358441477,773560.852602626,0.5760869565217391,1.0,1.7807458392445905,-20556972.99512325,61,31,0
forward_stanchart,260,levels,130,1.0,0.25,0.1,60.0,62,43345626.254740596,699123.0041087193,1079094.5472941769,0.6129032258064516,1.0,2.031648075006287,-20556972.99512325,44,18,0
forward_stanchart,260,levels,130,1.0,0.25,0.1,120.0,62,43345626.254740596,699123.0041087193,1079094.5472941769,0.6129032258064516,1.0,2.031648075006287,-20556972.99512325,44,18,0
forward_stanchart,260,levels,130,1.0,0.25,0.2,60.0,65,44237773.997688316,680581.1384259742,1079094.5472941769,0.6,1.0,2.023627980032991,-20556972.99512325,44,21,0
forward_stanchart,260,levels,130,1.0,0.25,0.2,120.0,65,44237773.997688316,680581.1384259742,1079094.5472941769,0.6,1.0,2.023627980032991,-20556972.99512325,44,21,0
forward_stanchart,260,levels,130,1.0,0.25,0.5,60.0,65,44237773.997688316,680581.1384259742,1079094.5472941769,0.6,1.0,2.023627980032991,-20556972.99512325,44,21,0
forward_stanchart,260,levels,130,1.0,0.25,0.5,120.0,65,44237773.997688316,680581.1384259742,1079094.5472941769,0.6,1.0,2.023627980032991,-20556972.99512325,44,21,0
forward_stanchart,260,levels,130,1.0,0.5,0.1,60.0,40,103771139.71090013,2594278.4927725038,2151551.569360108,0.85,1.0,11.960389716118806,-2048783.051718497,28,12,0
forward_stanchart,260,levels,130,1.0,0.5,0.1,120.0,40,103771139.71090013,2594278.4927725038,2151551.569360108,0.85,1.0,11.960389716118806,-2048783.051718497,28,12,0
forward_stanchart,260,levels,130,1.0,0.5,0.2,60.0,42,105175902.02158737,2504188.1433711285,2146710.237963665,0.8333333333333334,1.0,11.731959707539747,-2048783.051718497,28,14,0
forward_stanchart,260,levels,130,1.0,0.5,0.2,120.0,42,105175902.02158737,2504188.1433711285,2146710.237963665,0.8333333333333334,1.0,11.731959707539747,-2048783.051718497,28,14,0
forward_stanchart,260,levels,130,1.0,0.5,0.5,60.0,42,105175902.02158737,2504188.1433711285,2146710.237963665,0.8333333333333334,1.0,11.731959707539747,-2048783.051718497,28,14,0
forward_stanchart,260,levels,130,1.0,0.5,0.5,120.0,42,105175902.02158737,2504188.1433711285,2146710.237963665,0.8333333333333334,1.0,11.731959707539747,-2048783.051718497,28,14,0
forward_stanchart,260,levels,130,1.5,0.0,0.1,60.0,42,-53321364.30177119,-1269556.2928993143,-850815.3476448422,0.42857142857142855,1.0,-3.5237923773826685,-20556972.99512325,26,16,0
