windows,svr_c,svr_gamma,signal_threshold,retrain_every,total_pnl,sharpe,max_drawdown,n_trades,win_rate
matlab_hourly,10.0,0.01,0.0,24,-1910644.0916442978,-0.35517245694341365,-8711807.115840858,157.0,0.5112376385975427
fast,10.0,0.01,0.0,24,-3830312.720769455,-0.7127012900973039,-8038182.987405779,157.0,0.5082458770614693
slow,10.0,0.01,0.0,24,-4559955.092912594,-0.8489879498417938,-7738632.212298978,161.0,0.4976033553025764
matlab_hourly,10.0,0.01,0.0,48,-5125382.531501475,-0.9546427094792407,-8968855.969694836,81.0,0.49910071942446044
fast,10.0,0.01,0.0,48,-7448888.308599515,-1.3880060283818236,-9263413.12559011,89.0,0.5028485757121439
slow,10.0,0.01,0.0,48,-4498413.466879061,-0.8393694576279047,-6932363.153158538,65.0,0.49400119976004797
matlab_hourly,10.0,0.01,0.0,96,-706639.987191013,-0.13166598103258975,-6075296.276279489,69.0,0.4989505247376312
fast,10.0,0.01,0.0,96,1687838.3931348394,0.31479621298928334,-5170781.94908166,53.0,0.5058470764617691
slow,10.0,0.01,0.0,96,642728.7082949165,0.11986846242175668,-5748752.820960319,49.0,0.49325337331334335
matlab_hourly,10.0,0.01,0.0001,24,-82628.22931418775,-0.01635147021879424,-4890221.308049748,147.0,0.51000351000351
fast,10.0,0.01,0.0001,24,-5082974.787924002,-1.05030897985234,-8100168.16196328,163.0,0.5011908812521265
slow,10.0,0.01,0.0001,24,-2008766.9734544852,-0.3934003103992937,-7114837.676042294,147.0,0.4996637525218561
matlab_hourly,10.0,0.01,0.0001,48,-4750554.475263245,-0.9462397593663632,-6889778.401960774,75.0,0.4988986784140969
fast,10.0,0.01,0.0001,48,-8926708.747742577,-1.7170030816375421,-10741233.56473317,101.0,0.497861138532412
slow,10.0,0.01,0.0001,48,-1752269.270754293,-0.33704383603255844,-4953032.181568123,63.0,0.49762389680923286
matlab_hourly,10.0,0.01,0.0001,96,2246299.5448894086,0.4455211311791645,-4008721.364285892,53.0,0.4987060998151571
fast,10.0,0.01,0.0001,96,716627.5958051543,0.13653004531876486,-5170781.949081658,55.0,0.5040756439517444
slow,10.0,0.01,0.0001,96,3092650.6792185195,0.5921367411015781,-4008721.364285893,49.0,0.49626612355736593
matlab_hourly,10.0,0.01,0.0005,24,2406669.8545732745,0.5919163563425138,-2615589.250505344,87.0,0.5083388925950634
fast,10.0,0.01,0.0005,24,1029800.7854698501,0.2604071057126699,-3653868.0883366545,110.0,0.49372647427854455
slow,10.0,0.01,0.0005,24,1631299.4316064615,0.41347866930852584,-4242844.557745017,101.0,0.4969806763285024
matlab_hourly,10.0,0.01,0.0005,48,1927457.6263740805,0.4365997811235152,-2893062.759771128,45.0,0.5060240963855421
fast,10.0,0.01,0.0005,48,-831380.7688229044,-0.19221719175849983,-3993441.158170023,74.0,0.48518518518518516
slow,10.0,0.01,0.0005,48,-451302.1639147674,-0.1011966384649703,-3997632.52970194,37.0,0.4918032786885246
matlab_hourly,10.0,0.01,0.0005,96,2623036.4470066167,0.6460954526710357,-2615589.2505053445,29.0,0.5030165912518854
fast,10.0,0.01,0.0005,96,-596464.6487408963,-0.15139918565919652,-3526751.0536859827,46.0,0.4894598155467721
slow,10.0,0.01,0.0005,96,471544.0220781195,0.12330296596846596,-2615589.2505053435,21.0,0.48853211009174313
matlab_hourly,10.0,0.1,0.0,24,-10463776.782681352,-1.9471480653180226,-12229855.00415257,151.0,0.48456697632604134
fast,10.0,0.1,0.0,24,-5399174.823887261,-1.004598885600418,-8300040.426692007,175.0,0.49850209706411025
slow,10.0,0.1,0.0,24,-12352076.16735985,-2.2973876867091825,-13161310.71400206,163.0,0.4970023980815348
matlab_hourly,10.0,0.1,0.0,48,-5304514.096533181,-0.9890901315298216,-8000169.540426507,75.0,0.4877024595080984
fast,10.0,0.1,0.0,48,-5219396.248893481,-0.9729350495094158,-5804756.24419609,107.0,0.4976004799040192
slow,10.0,0.1,0.0,48,-11066163.068353625,-2.0624343871693687,-11302717.267408816,87.0,0.49610077984403117
matlab_hourly,10.0,0.1,0.0,96,-1490592.1165278284,-0.2779937647455076,-5170781.949081657,47.0,0.4929535232383808
fast,10.0,0.1,0.0,96,1715461.1039789128,0.31981736327128446,-5170781.94908166,63.0,0.4982014388489209
slow,10.0,0.1,0.0,96,-2613320.283407533,-0.4869778661667361,-5170781.949081658,63.0,0.49160671462829736
matlab_hourly,10.0,0.1,0.0001,24,-9883519.496217994,-1.9504498144052254,-11917002.554001177,157.0,0.484297520661157
fast,10.0,0.1,0.0001,24,-3024987.6964139654,-0.5938315587781443,-6101129.110094778,157.0,0.5013245033112583
slow,10.0,0.1,0.0001,24,-11461448.877611846,-2.272146559078395,-12271525.27750468,149.0,0.49387300408466395
