clock,bucket,k,beta,se_cluster,se_nw
exec,POOLED,-30,-0.0009145096264023975,0.0004261925804009431,0.00034176110782577456
exec,POOLED,-29,0.0001550859387457951,0.0002493479963999649,0.000281653074400784
exec,POOLED,-28,-0.0008471466720816935,0.0005599821759714178,0.0005334354675089298
exec,POOLED,-27,0.00010602588794601075,0.000273867729435389,0.00029889959119814663
exec,POOLED,-26,-0.000285431292328466,0.0002512088955175288,0.00025287411754003824
exec,POOLED,-25,-0.00033456959575773877,0.00026172379849504146,0.0002643707599741329
exec,POOLED,-24,-0.00026287029471059686,0.0002552266789748141,0.00025594683119108434
exec,POOLED,-23,-4.053600047319361e-05,0.00021886580959908978,0.00018882230552230434
exec,POOLED,-22,-0.00024934173919656175,0.0005550979996395823,0.0006128165233813186
exec,POOLED,-21,-0.0006415393554337772,0.00046865532811087875,0.0005569482145798099
exec,POOLED,-20,-0.00012127837101149994,0.00029563497154744603,0.00027940006393716043
exec,POOLED,-19,-5.0027639602033724e-05,0.0002750226200508386,0.0002750527037292179
exec,POOLED,-18,-0.0004762580732432088,0.00035166745934259023,0.0004062456154907615
exec,POOLED,-17,-0.00040094679674189534,0.0003358523271554692,0.00029561406971902724
exec,POOLED,-16,0.0001310081736295001,0.00026474353056517194,0.0002344220442699449
exec,POOLED,-15,-0.0009196786370950151,0.000492013297321767,0.0005492977956942319
exec,POOLED,-14,-0.0005010233672780601,0.0003678434102790468,0.0002760141703224873
exec,POOLED,-13,-0.0008630533452666316,0.0005317406434334347,0.0004040965139957745
exec,POOLED,-12,-0.000139827612309339,0.0002888944513031919,0.00022465803324779772
exec,POOLED,-11,-0.00019567687038524084,0.0003863951175987891,0.0005912328234223352
exec,POOLED,-10,-0.0007964805740970237,0.0008003385710874936,0.0007692327294366602
exec,POOLED,-9,-2.2110152545742494e-05,0.0005477915557744985,0.0004827385526590517
exec,POOLED,-8,-0.0010068752770637536,0.0009181886256311241,0.0007215593935164906
exec,POOLED,-7,-0.0010247841694563302,0.0005150206666154354,0.0004669091028807922
exec,POOLED,-6,-0.0005091295731751172,0.0004890642466189829,0.0005335729277995421
exec,POOLED,-5,-0.0012410805540956943,0.0006812573466007918,0.0006559389779267049
exec,POOLED,-4,-0.0014049474773354354,0.0005190009284759073,0.0005179923748097622
exec,POOLED,-3,-0.0010984261931482238,0.00077018303427102,0.0008061167845898916
exec,POOLED,-2,-0.0006372821696557856,0.0009457484135203015,0.0007407955690204998
exec,POOLED,-1,-0.0005807830141124039,0.0005264555790635176,0.0005066640815561696
exec,POOLED,0,-0.0008078612551456158,0.0005032853762684303,0.0004983731852801157
exec,POOLED,1,-0.00020542213817392746,0.0003400878686924143,0.00030241115678529817
exec,POOLED,2,-0.0003366355791695165,0.0003357613587401242,0.00028657224275520365
exec,POOLED,3,-0.0011170266201447933,0.00021419156397568895,0.00021471565141527083
exec,POOLED,4,-0.000959943125637599,0.0004061578486179277,0.00039748517513418037
exec,POOLED,5,4.075774719444907e-05,0.000262683805942826,0.00033038378924486327
exec,POOLED,6,-0.00021091412930676783,0.0002200359085705977,0.0002393372704709937
exec,POOLED,7,-0.001099683708246412,0.00028009148581520013,0.0006157247656282313
exec,POOLED,8,0.0004841148008874582,0.0002778930313745041,0.0002442417124037013
exec,POOLED,9,-0.0004109995449772964,0.0004913182109783615,0.0007521075598994789
exec,POOLED,10,0.0004138753174971986,0.0003106659292363833,0.0003121922967115932
exec,POOLED,11,0.0002695454732665843,0.0002331966835920568,0.00020168325535871028
exec,POOLED,12,0.000894240475213633,0.00015425098482669514,0.00018943473144147397
exec,POOLED,13,-8.520257843993195e-05,0.00016115688392029246,0.00023909102256846669
exec,POOLED,14,-0.00024678740667824045,0.0002832471426294091,0.0002905339358787723
exec,POOLED,15,-0.0003504347205384577,0.00016998003845845216,0.00020530915369180926
exec,POOLED,16,0.00013648770436036796,0.00019656079147217141,0.00020473676203170728
exec,POOLED,17,0.00039653919518301657,0.00023467910082494364,0.000205878180630712
exec,POOLED,18,-0.0005799073182388465,0.0002962722954739816,0.000290143072402018
exec,POOLED,19,8.05653336151034e-05,0.00018789231922527132,0.00022874467480465214
exec,POOLED,20,0.0003119974016016458,0.00025675942107263787,0.000493163842983247
exec,POOLED,21,5.9211649374584574e-05,0.0001973485459632613,0.00019358240570023822
exec,POOLED,22,0.000291113749550407,0.000281717993378852,0.00025104705803611325
exec,POOLED,23,9.761373574844737e-05,0.00025586299416791974,0.0001968465904996573
exec,POOLED,24,8.953695630729266e-05,0.00023771874255199633,0.0002989218631158176
exec,POOLED,25,-0.00017851652890839262,0.0001455851229086841,0.00042253316592099965
exec,POOLED,26,-0.00025580828743816306,0.0001526967886914924,0.00035859889949646316
exec,POOLED,27,-0.00017016371206491807,0.0002014914293101362,0.00018784535941254282
exec,POOLED,28,-1.6288762448605637e-06,0.00015879015235160823,0.0001983683418898255
exec,POOLED,29,-0.0001611298188907116,0.0001894753099752894,0.0001862774900253609
exec,POOLED,30,-4.639493554544595e-05,0.00023369815631470357,0.00020465378382935104
exec,SFR_FF,-30,-0.007301166147054882,0.004902065942414129,0.004001201447701969
exec,SFR_FF,-29,-0.004334642977672338,0.0035337398560309906,0.003973789543943852
exec,SFR_FF,-28,-0.004242012597950872,0.004282673584224241,0.004913257945629661
exec,SFR_FF,-27,0.008595290902220321,0.013108598638771661,0.012100708506145403
exec,SFR_FF,-26,-0.0041191266024070555,0.004296439347173629,0.004010436040958649
exec,SFR_FF,-25,0.0026909174346719214,0.005078152323590077,0.00541967122588209
exec,SFR_FF,-24,0.0020548310473875683,0.0034909178689841707,0.003948764537022933
exec,SFR_FF,-23,-0.00445294718993912,0.004293812024685735,0.005185277820530688
exec,SFR_FF,-22,-0.015971899927125693,0.0080693420547168,0.00721157609713248
exec,SFR_FF,-21,-0.002764712875115479,0.005282389666860305,0.00512698379104678
exec,SFR_FF,-20,-0.0046643157124386546,0.005765327085217271,0.005848503301591989
exec,SFR_FF,-19,-0.00686669842967473,0.0044207847418983315,0.004495347796607243
exec,SFR_FF,-18,-0.0040830460024232134,0.0037566623531738873,0.004112381659185574
exec,SFR_FF,-17,-0.005777784959628638,0.004479415161771281,0.004719187214280163
exec,SFR_FF,-16,0.003027840872840951,0.008516018707213326,0.008804926642580087
exec,SFR_FF,-15,-0.0008267269091823423,0.0059551412301831605,0.00592614637124757
exec,SFR_FF,-14,-0.008949763248028613,0.007631089781804437,0.006719451085946849
exec,SFR_FF,-13,-0.019040232682471757,0.0058437069640573415,0.005613080424016438
exec,SFR_FF,-12,-0.0012437136713610705,0.005787033679356157,0.005786776028943325
exec,SFR_FF,-11,0.000661762305844961,0.004536713505125341,0.004730759672826751
exec,SFR_FF,-10,-0.005384525463609793,0.007546865518435584,0.007542807769490138
exec,SFR_FF,-9,-0.010553643672597039,0.005305755491292333,0.005172586436017411
exec,SFR_FF,-8,-0.01350687420609721,0.00532393964471063,0.006662432901227121
exec,SFR_FF,-7,-0.008885961379434612,0.006495167670125252,0.005776307606396683
