clock,bucket,k,beta,se_cluster,se_nw
exec,POOLED,-30,-0.0014197563078226516,0.0013586088453437263,0.0011546769456573865
exec,POOLED,-29,0.00026056126362807616,0.0013905719275125823,0.0010544983236821961
exec,POOLED,-28,0.0005705163871312274,0.0008367128648923205,0.0009651288024136999
exec,POOLED,-27,0.001791986916240282,0.0015118218127524257,0.001227563765821238
exec,POOLED,-26,2.0875331651149193e-05,0.0008934683882351988,0.0009521637366586427
exec,POOLED,-25,0.0030687219848023646,0.001411041875062237,0.0010969455076260595
exec,POOLED,-24,0.00035437448705826716,0.0009240077070305831,0.000838654876141759
exec,POOLED,-23,0.0005915116871382666,0.001010790592649962,0.0008657400142105395
exec,POOLED,-22,-0.0018007724962041062,0.0012828789884631012,0.0012732447177642946
exec,POOLED,-21,0.0014504859682666692,0.0009498846237579144,0.0009254077737975018
exec,POOLED,-20,0.0010590815464016114,0.0009630313491509469,0.0008778590082704278
exec,POOLED,-19,0.002490136785062687,0.0009283690130420714,0.0010797486527483633
exec,POOLED,-18,-0.0006904144586464495,0.0012953987891508975,0.0010115475736835737
exec,POOLED,-17,0.0004805342043078451,0.0010490768718445934,0.0008557462788315518
exec,POOLED,-16,0.0023441406272832676,0.0014255620822307916,0.00134192716906366
exec,POOLED,-15,0.00038183177995568365,0.0010078555432863861,0.0010218102054203194
exec,POOLED,-14,-0.0009694987404367014,0.0011113277743141383,0.000974411404132598
exec,POOLED,-13,0.0006507737856411273,0.0011697962847802875,0.0010448412914378022
exec,POOLED,-12,0.0024018442048584026,0.0010910260324398535,0.001191002104909285
exec,POOLED,-11,0.002491924311879907,0.001050190952253785,0.0010918845177816422
exec,POOLED,-10,0.0008452852499936632,0.0010083471985057567,0.0010119369679740706
exec,POOLED,-9,0.0009286937614389274,0.0013910149596720956,0.001115196865243862
exec,POOLED,-8,-0.0008551977464167362,0.0016135248256688548,0.0012623236539709814
exec,POOLED,-7,0.0018361154282728102,0.001926492909545267,0.0016202336940840084
exec,POOLED,-6,0.0013646355131040173,0.0010463097476838823,0.0010250402927631393
exec,POOLED,-5,-0.0008366338477395394,0.0011729088766849068,0.0011382347206428424
exec,POOLED,-4,-9.950627687665669e-05,0.001523844217453587,0.0010495087446016494
exec,POOLED,-3,-0.00046339283132687265,0.0012241079628006225,0.001200594879969083
exec,POOLED,-2,0.001757996905734562,0.0008388568543726335,0.0010755189287595566
exec,POOLED,-1,0.0009822321721394164,0.0012435900308475304,0.0010163653528839397
exec,POOLED,0,0.0003286658218408505,0.001301762623865022,0.0010836349612914607
exec,POOLED,1,-0.0019464303111880416,0.0012561752216070266,0.0010847029943991762
exec,POOLED,2,0.000506184071660411,0.0011873352456179902,0.0010742410873347131
exec,POOLED,3,-0.0007274087438698058,0.0012398152313695995,0.0010792416998893564
exec,POOLED,4,1.6343376344094478e-06,0.000910680911870559,0.0010150993846769825
exec,POOLED,5,0.0012735178888954668,0.0014368986887471624,0.0011964831132581003
exec,POOLED,6,0.00033021566887368503,0.0017695284989604943,0.0014030073965373012
exec,POOLED,7,-0.00013017313020452845,0.0010095120318002017,0.0009117804659190391
exec,POOLED,8,-0.00013013616238854268,0.0015166881490434013,0.0012738368046349056
exec,POOLED,9,0.001182061969008755,0.0013233834187854588,0.0010065133474419152
exec,POOLED,10,0.0021294354289894462,0.001373497792769635,0.0015027020498615186
exec,POOLED,11,-0.0008260737888978139,0.001187550957430979,0.00128651307002977
exec,POOLED,12,0.0001710132047644829,0.000764677162656661,0.0008495123690445678
exec,POOLED,13,0.0007152952769003439,0.0009615513177304894,0.00103393638980377
exec,POOLED,14,-0.0011536205586301451,0.001348511447382392,0.0011631230914487384
exec,POOLED,15,-0.0006862732158880694,0.0010042822254812637,0.0010746595170845297
exec,POOLED,16,-0.0008785129351071082,0.0009055031907381218,0.0010898572023586928
exec,POOLED,17,0.00040393193057529375,0.0010955041086179204,0.0011051571084194497
exec,POOLED,18,-0.0007358352676185365,0.0015530455932145008,0.0012933786090504153
exec,POOLED,19,-0.0014104509451683474,0.0018222564738233494,0.001762568633623123
exec,POOLED,20,-0.00015068243257688118,0.0016998445763299476,0.0016649532998637081
exec,POOLED,21,-0.0025133048271416686,0.0017204906977839394,0.0020645971641573137
exec,POOLED,22,0.0001501555113662793,0.0008325470876216829,0.0011327405893131368
exec,POOLED,23,-0.00044326782118247316,0.0012307368847022451,0.0010126453166258034
exec,POOLED,24,-0.0016606126191443978,0.0018165566988618035,0.0013181650746159558
exec,POOLED,25,-0.0003429991690951543,0.001029640047196435,0.0010125779898929666
exec,POOLED,26,-0.00039263664757390707,0.0010370445898419357,0.0009897143067370006
exec,POOLED,27,-0.0018466742017944323,0.0014959887975070625,0.0013329703335761788
exec,POOLED,28,0.0010758699783488905,0.0013035870478103808,0.001033289746587592
exec,POOLED,29,0.001782122673718057,0.001182123256089592,0.0012692142890927192
exec,POOLED,30,0.0014003277374355597,0.0013658491591277192,0.0017372861016748552
exec,SFR_FF,-30,-0.0022310414504821043,0.002479951872558842,0.0022669856321784897
exec,SFR_FF,-29,0.0029651772108986517,0.0026853041568541155,0.002274686484511827
exec,SFR_FF,-28,0.002611947303321047,0.0026873859954428332,0.0025098783025649368
exec,SFR_FF,-27,0.0004641296890228998,0.002882742365212434,0.0026234445370109014
exec,SFR_FF,-26,-0.0010292771617321707,0.0019999367531695956,0.0019389712957321287
exec,SFR_FF,-25,0.0011341770337385546,0.0013161639180099432,0.0011683441309938872
exec,SFR_FF,-24,-0.00032420115002142284,0.0011297514713363905,0.001112218685025266
exec,SFR_FF,-23,0.0004612702666168132,0.0009125831812767623,0.0010567938840114653
exec,SFR_FF,-22,-0.0034500104956406694,0.003359471744202338,0.0031896694573572506
exec,SFR_FF,-21,0.0006485032156747578,0.0012557943883177776,0.0011263847155029635
exec,SFR_FF,-20,0.0011526625784820232,0.0011738765347998983,0.001242516681861522
exec,SFR_FF,-19,0.0005588414966660822,0.0009846011375839391,0.0010009628988077693
exec,SFR_FF,-18,-7.924536223076802e-05,0.0008504615107496426,0.0008593599773875683
exec,SFR_FF,-17,0.0004993251619006098,0.0010904410050276865,0.001303413112432804
exec,SFR_FF,-16,0.0011499589477986674,0.001411297403911375,0.0014425298463488791
exec,SFR_FF,-15,0.0006175371634696157,0.0010529560776779221,0.0011695919381704985
exec,SFR_FF,-14,0.00039127221176012817,0.001055256224392357,0.0011659413917907817
exec,SFR_FF,-13,-0.0011556598906435314,0.001458990307721739,0.0013320862213172984
exec,SFR_FF,-12,0.0002984644500096051,0.0008652583656144857,0.0010023992561280408
exec,SFR_FF,-11,-0.00035974144728776033,0.0007609671855424866,0.0008000406854535407
exec,SFR_FF,-10,0.0005324695080914325,0.0008660795258815838,0.0008295559946412199
exec,SFR_FF,-9,0.0014837066073933303,0.0018408095464151595,0.0017183375379252177
exec,SFR_FF,-8,-0.00027206108390100207,0.0012684594156179931,0.001515311189080793
exec,SFR_FF,-7,0.00011178851542323364,0.0008645154526489222,0.0009045680000069378
exec,SFR_FF,-6,-0.00018255359794094287,0.0007992718917634476,0.0008935920123259422
exec,SFR_FF,-5,0.0003152077628230093,0.0008299831893879387,0.0007873315190731996
exec,SFR_FF,-4,-0.0010060908167720745,0.0017443880547460622,0.0016135552067621391
exec,SFR_FF,-3,0.001735828010311153,0.0013091084106446734,0.001418670281910692
exec,SFR_FF,-2,-0.00021818032298578338,0.0010277143511246145,0.0009205234886133083
exec,SFR_FF,-1,0.0005239858395856774,0.0008565620541901773,0.001156523819633998
exec,SFR_FF,0,0.001072114397357845,0.001249466366303154,0.0011227609032234821
exec,SFR_FF,1,0.0010222971541571507,0.001172077645261399,0.001160419177966133
exec,SFR_FF,2,0.00028558518334526896,0.0014042439156756374,0.0012986002687931126
exec,SFR_FF,3,-0.0004878194006257424,0.0008698856324229018,0.001070164987922211
exec,SFR_FF,4,-0.0018389625304140549,0.0021051080453534862,0.001987924670376174
exec,SFR_FF,5,0.002128861265681559,0.001837785607285156,0.0019071317499695746
exec,SFR_FF,6,0.0004429087177776082,0.0008979123684353709,0.0009554938067599061
exec,SFR_FF,7,0.0008682392188120504,0.0009385474311246348,0.0010059585712618743
exec,SFR_FF,8,-0.001478954308251288,0.0017537931663496225,0.0014585318930395187
exec,SFR_FF,9,0.0006426439982043705,0.0008008236498508155,0.0010001328367936566
exec,SFR_FF,10,-0.000540441393228525,0.001384816859820415,0.0011563404105924817
exec,SFR_FF,11,-0.0003326475641472589,0.001027145752184284,0.001040061601301126
exec,SFR_FF,12,-0.0007161291945854704,0.0010435567281082444,0.000984937906348324
exec,SFR_FF,13,0.00103608911341913,0.001232252800147801,0.0012609797724570941
exec,SFR_FF,14,-0.0005196535773216261,0.0007968979739313714,0.0009195731379258997
exec,SFR_FF,15,-0.001260834918809625,0.0023330504813747896,0.00196960369859824
exec,SFR_FF,16,5.2523470040891374e-05,0.0014276358235048156,0.001154031903674076
exec,SFR_FF,17,-0.0010103597166049893,0.0008782848021049804,0.0009389596999427453
exec,SFR_FF,18,-0.0019325251746652326,0.0033688969682079233,0.002936562380886015
exec,SFR_FF,19,0.0015659772520506007,0.001573533335185344,0.0018907396918337843
exec,SFR_FF,20,-0.0012162291561043637,0.0016721283741566754,0.001448827211106621
exec,SFR_FF,21,8.776219009726351e-05,0.0007937325994727573,0.00104688257419912
exec,SFR_FF,22,0.000735506484743604,0.0010909689484409645,0.0009535271340689556
exec,SFR_FF,23,0.0006426438212569947,0.0008240546905236515,0.0008099250810291938
exec,SFR_FF,24,0.0017251904008489512,0.0015186234216684827,0.0016065372379888928
exec,SFR_FF,25,0.00031337565730147043,0.001193214507340778,0.001113584039466539
exec,SFR_FF,26,0.0011146579436976732,0.0015402878518780997,0.0015155969665642127
exec,SFR_FF,27,0.0004751796078703324,0.0006865352906686661,0.0007927252972815689
exec,SFR_FF,28,-0.0015043005186640384,0.0015629106955787244,0.00161424564463382
exec,SFR_FF,29,-0.0006852472813635393,0.0011602081449871944,0.0010508956092425352
exec,SFR_FF,30,0.000828611651574215,0.002189396173764307,0.002259940230685812
exec,TU,-30,0.0015415460450820173,0.0024840099962772162,0.002725296726338626
exec,TU,-29,-0.004487372990630771,0.0026107482846415998,0.003194930804996772
exec,TU,-28,-0.004789563964086617,0.0019008331518632026,0.002132109945976198
exec,TU,-27,0.004393168801292427,0.002613164246939487,0.002244806103035824
exec,TU,-26,0.004173201637398781,0.002089399993584783,0.0021884123834526436
exec,TU,-25,0.0016114563740921397,0.002023427197990712,0.0022728892779884436
exec,TU,-24,0.0006150764709839772,0.002437039991517548,0.0026304281939249483
exec,TU,-23,0.0019485118383638725,0.0023335115374716743,0.0023051595918081006
exec,TU,-22,-0.00017735333223592846,0.0038610732009399405,0.0034990117059952954
exec,TU,-21,0.003693869014295435,0.002473498116432232,0.0029683602985375317
exec,TU,-20,0.005156913670017099,0.002243050396929979,0.0022199256065433205
exec,TU,-19,0.006245040530195857,0.0029573487602549877,0.003124246716499412
exec,TU,-18,0.00250295052511939,0.002178274804534531,0.0023688719635255747
exec,TU,-17,0.0024541671434316382,0.002496452863307063,0.0025074994229964515
exec,TU,-16,0.0018081531533120662,0.0020419119155513817,0.0021458319722378275
exec,TU,-15,0.0008217943783628732,0.0035068865822722598,0.003239697258529548
exec,TU,-14,0.0003074611019270502,0.00229878927357902,0.002969122252832249
exec,TU,-13,0.0006030804008652535,0.0030022406307730607,0.003312927532382735
exec,TU,-12,0.003476567342939456,0.0025500607871166035,0.002824413962330415
exec,TU,-11,0.0020191679088865998,0.003863742189271383,0.0034797928430090074
exec,TU,-10,0.00283312245175986,0.0028959368039745397,0.002988865605766765
exec,TU,-9,0.0058174613925731184,0.003876855064523047,0.0037477309431667347
exec,TU,-8,-0.00891634957496063,0.0035529357307995026,0.0034118139148593034
exec,TU,-7,-0.0032747223695792083,0.0038848787061749363,0.003477359528813737
exec,TU,-6,0.006147407196147632,0.003727607165895078,0.0034649751550532622
