grid,bucket,n_prints,dv01,rho_print,rho_minute,rho_daily,sign_agreement
12 tenors (D1's grid),SFR_FF,13793,230137236.96794796,0.3993522902563568,0.34878465702186207,0.02552058108235133,0.641049807873559
12 tenors (D1's grid),TU,17233,539711816.8880124,0.45825166339342743,0.377717775670499,0.17728345452463118,0.6861834851737945
12 tenors (D1's grid),FV,41037,1674862060.6616151,0.4906006162289843,0.4163757379203085,0.21821999714486284,0.6994907035114653
12 tenors (D1's grid),TY_UXY,41559,1970198592.5889864,0.556837560197717,0.4905039931783084,0.39981816248149527,0.6861089054115835
12 tenors (D1's grid),US,25546,1774079799.8263605,0.475959169809192,0.3139099974661403,0.20525860973158433,0.6729820715571909
12 tenors (D1's grid),POOLED,139168,6188989506.932922,0.501275394341049,0.404717227318949,0.26157904096002965,0.6831886640607037
28 tenors (R0b's grid),SFR_FF,16364,259733292.13671508,0.4061327549512484,0.3617416029263179,-0.001018963576376355,0.6417746272305059
28 tenors (R0b's grid),TU,18347,553662103.7748617,0.4553413808788826,0.37480700143317547,0.17153360637648785,0.680547228429716
28 tenors (R0b's grid),FV,49932,2099981145.288223,0.46276952246868175,0.42556678840533296,0.19253687620459436,0.6914804133621726
28 tenors (R0b's grid),TY_UXY,46339,2261121940.770708,0.5281792926936532,0.4628748095280796,0.29879381937519184,0.6789745139083709
28 tenors (R0b's grid),US,30622,2127264313.0007274,0.44432584975575495,0.3382459593962116,0.18257235384496986,0.6621709881784338
28 tenors (R0b's grid),POOLED,161604,7301762794.971235,0.4750736424152271,0.4055609626485942,0.2140605996020452,0.6760661864805326
full regression grid [exec],POOLED,161604,7301762794.971233,,0.8832172137251738,,
full regression grid [exec],SFR_FF,12086,,,0.41596152748380694,,
full regression grid [exec],TU,12045,,,0.1690709246045937,,
full regression grid [exec],FV,24543,,,0.48295914521175937,,
full regression grid [exec],TY_UXY,22340,,,0.9848459852395024,,
full regression grid [exec],US,15507,,,0.35666580839831513,,
full regression grid [diss],POOLED,161604,7301762794.971233,,0.4806996988976451,,
full regression grid [diss],SFR_FF,11641,,,0.41389437224740644,,
full regression grid [diss],TU,11731,,,0.37407945131019327,,
full regression grid [diss],FV,23068,,,0.4762809117553732,,
full regression grid [diss],TY_UXY,20794,,,0.6682836508506637,,
full regression grid [diss],US,14731,,,0.42322830485007384,,
