,Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
2427,2118101910000000401,,NEWT,TRAD,2026-02-20 09:01:42+00:00,,IR,,I,True,2026-02-20 09:01:42+00:00,2026-06-17,2026-07-29,,,TWSF,False,False,,"86,000,000","86,000,000",EUR,EUR,,,,,,,,,,,,,,,,,,,,,,,,0.019032,,,,,,,,,,,,False,,,,,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,EUR,,,,False,,,,,,,,,,,False,,,,,,,,,QZMQ7FVR9T7X,NA/Swap OIS EUR,EUR-EuroSTR-COMPOUND
2463,2118123077000000401,,NEWT,TRAD,2026-02-20 09:03:26+00:00,,IR,,I,True,2026-02-20 09:03:26+00:00,2026-06-17,2026-07-29,,,TWSF,False,False,,"650,000,000","650,000,000",EUR,EUR,,,,,,,,,,,,,,,,,,,,,,,,0.019055,,,,,,,,,,,,False,,,,,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,EUR,,,,False,,,,,,,,,,,True,,,,-0.0052,,3.0,,,QZMQ7FVR9T7X,NA/Swap OIS EUR,EUR-EuroSTR-COMPOUND
2940,2119017174000001301,,NEWT,TRAD,2026-02-20 09:25:57+00:00,,IR,,I,True,2026-02-20 09:25:57+00:00,2026-06-17,2026-07-29,,,BILT,False,False,False,"8,800,000,000","8,800,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,0.034957,,,,,,,0.0,,,,,False,,,,3.0,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,,,,,False,,,,,,,,,,,True,,,,-0.1115,,3.0,,,QZFF9TXNNM7X,NA/Swap OIS USD,USD-Federal Funds-OIS Compound
3041,2118617294000000101,,NEWT,TRAD,2026-02-20 09:30:09+00:00,,IR,,I,False,2026-02-20 09:30:09+00:00,2026-06-17,2026-07-29,,False,BILT,False,False,False,"4,400,000,000","4,400,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,0.034815,,,,,,,0.0,,,,,False,,,,3.0,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZFF9TXNNM7X,NA/Swap OIS USD,USD-Federal Funds-OIS Compound
3043,2119160594000000101,2118635046000000401,MODI,TRAD,2026-02-20 09:30:09+00:00,False,IR,,I,False,2026-02-20 09:30:09+00:00,2026-06-17,2026-07-29,,False,BILT,False,False,False,"4,400,000,000","4,400,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,0.034815,,,,,,,0.0,,,,,False,,,,3.0,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZFF9TXNNM7X,NA/Swap OIS USD,USD-Federal Funds-OIS Compound
3044,2118635046000000401,,NEWT,TRAD,2026-02-20 09:30:09+00:00,,IR,,I,False,2026-02-20 09:30:09+00:00,2026-06-17,2026-07-29,,False,BILT,False,False,False,"4,400,000,000","4,400,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,0.034815,,,,,,,0.0,,,,,False,,,,3.0,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZFF9TXNNM7X,NA/Swap OIS USD,USD-Federal Funds-OIS Compound
3045,2118705047000000101,2118617294000000101,EROR,,2026-02-20 09:30:09+00:00,,IR,,I,False,2026-02-20 09:30:09+00:00,2026-06-17,2026-07-29,,False,BILT,False,False,False,"4,400,000,000","4,400,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,0.034815,,,,,,,,,,,,False,,,,,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZFF9TXNNM7X,NA/Swap OIS USD,USD-Federal Funds-OIS Compound
3070,2118895443000000201,2118483081000000501,MODI,TRAD,2026-02-20 09:31:31+00:00,False,IR,,I,False,2026-02-20 09:31:31+00:00,2026-06-17,2026-07-29,,False,BILT,False,False,False,"4,400,000,000","4,400,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0348544,,,,,,,0.0,,,,,False,,,,3.0,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,,,,,False,,,,,,,,,,,True,,,,-0.000915,,3.0,,,QZFF9TXNNM7X,NA/Swap OIS USD,USD-Federal Funds-OIS Compound
3072,2118483081000000501,,NEWT,TRAD,2026-02-20 09:31:31+00:00,,IR,,I,False,2026-02-20 09:31:31+00:00,2026-06-17,2026-07-29,,False,BILT,False,False,False,"4,400,000,000","4,400,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0348544,,,,,,,0.0,,,,,False,,,,3.0,,A004,,,A004,,EXPI,,1.0,,EXPI,,,EXPI,1.0,,,1.0,,,,,,,False,,,,,,,,,,,True,,,,-0.000915,,3.0,,,QZFF9TXNNM7X,NA/Swap OIS USD,USD-Federal Funds-OIS Compound
3980,2119054969000000101,2119017174000001301,TERM,ETRM,2026-02-20 10:18:07+00:00,,IR,,I,,2026-02-20 09:25:57+00:00,2026-06-17,2026-07-29,,,BILT,False,,False,"8,800,000,000","8,800,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,0.034957,,,,,,,0.0,,,,,False,,,,3.0,,,,,,,EXPI,,1.0,,,,EXPI,,,,1.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,QZFF9TXNNM7X,NA/Swap OIS USD,USD-Federal Funds-OIS Compound
