Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name,description
1570828017000000601,,NEWT,TRAD,2025-12-29 14:19:07+00:00,,IR,,N,False,2025-12-29 14:19:07+00:00,2025-12-29,2026-01-29,2036-02-02,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-29,,0.0375,"1,537,500",USD,,,,,,,0.0375,,False,,,,,3.0,,A004,A004,,DAIL,,1.0,,,,YEAR,YEAR,,,1.0,1.0,,,,,,,,False,,,,,,,,,,,True,"1,537,500",USD,1.0,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1570828016000000501,,NEWT,TRAD,2025-12-29 14:19:07+00:00,,IR,,N,False,2025-12-29 14:19:07+00:00,2025-12-29,2026-01-29,2036-02-02,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-29,0.0375,,0,,,,,,,,0.0375,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1570980231000000601,,NEWT,TRAD,2025-12-29 15:41:39+00:00,,IR,,N,False,2025-12-29 15:41:39+00:00,2025-12-29,2030-12-30,2041-01-02,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2030-12-30,0.044,,"2,042,250",USD,,,,,,,0.044,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZBK1N7NJ0VF,NA/O Call Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None PAYER EURO VANILLA PHYS
1570980232000000701,,NEWT,TRAD,2025-12-29 15:41:39+00:00,,IR,,N,False,2025-12-29 15:41:39+00:00,2025-12-29,2030-12-30,2041-01-02,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2030-12-30,,0.044,"2,042,250",USD,,,,,,,0.044,,False,,,,,3.0,,A004,A004,,DAIL,,1.0,,,,YEAR,YEAR,,,1.0,1.0,,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZ2GZS235CHW,NA/O P Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None RECEIVER EURO VANILLA PHYS
1571762338000000101,1.5708280160000005e+18,EROR,,2025-12-29 17:32:13+00:00,,IR,,N,False,2025-12-29 14:01:24+00:00,2025-12-29,2026-01-29,2036-02-02,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-29,0.0375,,0,,,,,,,,0.0375,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,True,"99,999.9999999999999",,1.0,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1572979795000000101,,NEWT,TRAD,2025-12-29 20:21:31+00:00,,IR,,N,False,2025-12-29 20:21:31+00:00,2025-12-29,2026-02-27,2036-03-03,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-27,0.0375,,"116,250",USD,,,,,,,0.0375,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZBK1N7NJ0VF,NA/O Call Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None PAYER EURO VANILLA PHYS
1573063241000000201,,NEWT,TRAD,2025-12-29 20:30:34+00:00,,IR,,N,False,2025-12-29 20:30:34+00:00,2025-12-29,2027-12-10,2029-12-14,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2027-12-10,,0.03412,"8,950,000",USD,,,,,,,0.03412,,False,,,,,3.0,,A004,A004,,DAIL,,1.0,,,,YEAR,YEAR,,,1.0,1.0,,,,,,,,False,,,,,,,,,,,True,"8,950,000",USD,1.0,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1572986507000000101,,NEWT,TRAD,2025-12-29 20:30:34+00:00,,IR,,N,False,2025-12-29 20:30:34+00:00,2025-12-29,2026-12-11,2036-12-15,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2026-12-11,,0.03848,"7,545,000",USD,,,,,,,0.03848,,False,,,,,3.0,,A004,A004,,DAIL,,1.0,,,,YEAR,YEAR,,,1.0,1.0,,,,,,,,False,,,,,,,,,,,True,"7,545,000",USD,1.0,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1572986508000000201,,NEWT,TRAD,2025-12-29 20:30:34+00:00,,IR,,N,False,2025-12-29 20:30:34+00:00,2025-12-29,2026-12-11,2036-12-15,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2026-12-11,0.03848,,"7,545,000",USD,,,,,,,0.03848,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1573169765000000201,,NEWT,TRAD,2025-12-29 20:30:34+00:00,,IR,,N,False,2025-12-29 20:30:34+00:00,2025-12-29,2026-12-11,2036-12-15,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2026-12-11,0.03848,,"7,545,000",USD,,,,,,,0.03848,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,True,"7,545,000",USD,1.0,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1573063240000000101,,NEWT,TRAD,2025-12-29 20:30:34+00:00,,IR,,N,False,2025-12-29 20:30:34+00:00,2025-12-29,2027-12-10,2029-12-14,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2027-12-10,0.03412,,0,,,,,,,,0.03412,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1573070214000000101,1.57306324e+18,EROR,,2025-12-29 20:30:35+00:00,,IR,,N,False,2025-12-29 20:30:34+00:00,2025-12-29,2027-12-10,2029-12-14,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2027-12-10,0.03412,,0,,,,,,,,0.03412,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,True,"99,999.9999999999999",,1.0,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
1572994820000000101,1.5729865080000003e+18,EROR,,2025-12-29 20:30:35+00:00,,IR,,N,False,2025-12-29 20:30:34+00:00,2025-12-29,2026-12-11,2036-12-15,False,BILT,False,False,False,"99,999,999,999,999,999,999.99999",,,,,,,,,,,,,,,,,,,,,,,,,,2026-12-11,0.03848,,"7,545,000",USD,,,,,,,0.03848,,False,,,,,3.0,A004,,,A004,,DAIL,,1.0,,YEAR,,,YEAR,1.0,,,1.0,,,,,,,False,,,,,,,,,,,True,"7,545,000",USD,1.0,,,,,,QZKDXXXPW3X3,NA/O Opt Epn OIS USD,NA/Swap OIS USD,USD-SOFR-COMPOUND 1D CONSTANT None CHOOSER EURO VANILLA PHYS
