,Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
8483,2212887291000003101,2212887291000003101,CORR,,2026-03-02 12:07:49+00:00,,IR,,N,False,2024-04-09 16:08:49+00:00,2024-01-22,2029-01-22,,False,BILT,False,False,False,"40,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2029-01-22,,,0,,,,0.0,,,,0.03,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,True,-1.195,,3.0,,,,,,QZFTHJ5F9Q70,NA/O P Epn USD,USD-SOFR-COMPOUND
8570,2212898270000002201,1669790145000000101,CORR,,2026-03-02 12:09:17+00:00,,IR,,N,False,2026-01-08 21:01:39+00:00,2026-01-12,2031-01-12,,False,TSEF,False,False,False,"100,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2031-01-12,,,"1,338,400",USD,,,0.0,,,,0.03926,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,True,9.9999999999,,3.0,,,,,,QZTSC5QX8B68,NA/O Call Epn USD,USD-SOFR-OIS Compound
8572,2212898271000002301,1669797689000000101,CORR,,2026-03-02 12:09:17+00:00,,IR,,N,False,2026-01-08 21:02:38+00:00,2026-01-12,2031-01-12,,False,TSEF,False,False,False,"25,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2031-01-12,,,"537,500",USD,,,0.0,,,,0.03426,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,True,9.9999999999,,3.0,,,,,,QZL9GWT1VKHZ,NA/O P Epn USD,USD-SOFR-OIS Compound
8601,2212920911000000801,1760658448,CORR,,2026-03-02 12:09:36+00:00,,IR,,N,False,2025-10-09 18:15:00+00:00,2026-10-14,2036-03-03,,False,GSEF,False,False,False,"470,000,000+",,USD,,,,,,,,,,,,,,,,,,,,,,,,2036-03-03,,,"517,011",USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZL9GWT1VKHZ,NA/O P Epn USD,USD-SOFR-OIS Compound
8671,2212954478000000201,1760658656,CORR,,2026-03-02 12:11:42+00:00,,IR,,N,False,2025-10-09 18:16:17+00:00,2026-10-14,2036-03-03,,False,GSEF,False,False,False,"470,000,000+",,USD,,,,,,,,,,,,,,,,,,,,,,,,2036-03-03,,,"1,786,009.5",USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZTSC5QX8B68,NA/O Call Epn USD,USD-SOFR-OIS Compound
8688,2212965866000000101,1760655356,CORR,,2026-03-02 12:11:56+00:00,,IR,,N,False,2025-10-09 17:47:45+00:00,2026-10-14,2036-03-03,,False,GSEF,False,False,False,"270,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2036-03-03,,,"1,026,000",USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZTSC5QX8B68,NA/O Call Epn USD,USD-SOFR-OIS Compound
8702,2212979382000000501,2212887291000003101,CORR,,2026-03-02 12:12:36+00:00,,IR,,N,False,2024-04-09 16:08:49+00:00,2024-01-22,2036-03-03,,False,BILT,False,False,False,"40,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2036-03-03,,,0,,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,True,9.9999999999,,3.0,,,,,,QZFTHJ5F9Q70,NA/O P Epn USD,USD-SOFR-COMPOUND
8712,2212983937000001201,1760655615,CORR,,2026-03-02 12:12:49+00:00,,IR,,N,False,2025-10-09 17:47:36+00:00,2026-10-14,2036-03-03,,False,GSEF,False,False,False,"470,000,000+",,USD,,,,,,,,,,,,,,,,,,,,,,,,2036-03-03,,,"517,000",USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZL9GWT1VKHZ,NA/O P Epn USD,USD-SOFR-OIS Compound
8742,2213003498000000501,1669797689000000101,CORR,,2026-03-02 12:13:29+00:00,,IR,,N,False,2026-01-08 21:02:38+00:00,2026-01-12,2036-03-03,,False,TSEF,False,False,False,"25,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2036-03-03,,,"537,500",USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,True,9.9999999999,,3.0,,,,,,QZL9GWT1VKHZ,NA/O P Epn USD,USD-SOFR-OIS Compound
8830,2213057441000002901,1669790145000000101,CORR,,2026-03-02 12:15:40+00:00,,IR,,N,False,2026-01-08 21:01:39+00:00,2026-01-12,2036-03-03,,False,TSEF,False,False,False,"100,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2036-03-03,,,"1,338,400",USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,3.0,,,,MNTH,,,,3.0,,,,,,,,,False,,,,,,,,,,,True,9.9999999999,,3.0,,,,,,QZTSC5QX8B68,NA/O Call Epn USD,USD-SOFR-OIS Compound
