,Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
8058,2130876215000001801,,NEWT,TRAD,2026-02-23 14:54:24+00:00,,IR,,N,False,2026-02-23 14:54:24+00:00,2026-02-25,2026-08-26,2026-08-26,True,BILT,False,False,False,"750,000,000","750,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,2026-08-26,,,75000.0,USD,,,,,,,0.0015,,False,,,,,3.0,,,A020,A020,EXPI,EXPI,1.0,1.0,75000.00000,,EXPI,,EXPI,,1.0,,1.0,UFRO,USD,,,,,False,,,,,,,,,,,False,,,,,,,,,QZ1T36TB12DM,NA/O P Epn USD,USD-SOFR ICE Swap Rate
8523,2130762015000000201,,NEWT,TRAD,2026-02-23 15:10:37+00:00,,IR,,N,False,2026-02-23 15:10:37+00:00,2026-02-23,2028-03-01,,True,BILT,False,False,False,"20,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2028-03-01,,,9802.917,USD,,,0.0,,,,0.045,,False,,,3.0,,3.0,,,A001,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZQJWDQ4V0VJ,NA/O Call Epn USD,USD-SOFR CME Term
9789,2130840885000000101,,NEWT,TRAD,2026-02-23 15:48:39+00:00,,IR,,N,False,2026-02-23 15:48:39+00:00,2026-02-23,2027-11-10,,True,BILT,False,False,False,"120,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2027-11-10,,,18540.72,USD,,,0.0,,,,0.05,,False,,,3.0,,3.0,,,A004,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZQJWDQ4V0VJ,NA/O Call Epn USD,USD-SOFR CME Term
11291,2132552665000000201,,NEWT,TRAD,2026-02-23 16:23:53+00:00,,IR,,N,False,2026-02-23 16:23:53+00:00,2026-02-25,2026-03-25,,False,BILT,False,False,False,"750,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2026-03-25,,,457500.0,USD,,,,,,,0.0073,,False,,,,,3.0,,,A020,,EXPI,,1.0,,,,EXPI,,,,1.0,,,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZS4K48N1990,NA/O Call Epn USD,USD-SOFR ICE Swap Rate
11379,2130906345000000201,,NEWT,TRAD,2026-02-23 16:26:03+00:00,,IR,,N,False,2026-02-23 16:26:03+00:00,2026-02-23,2028-03-01,,True,BILT,False,False,False,"85,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2028-03-01,,,88416.24,USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZQJWDQ4V0VJ,NA/O Call Epn USD,USD-SOFR CME Term
11828,2130964696000000101,,NEWT,TRAD,2026-02-23 16:39:24+00:00,,IR,,N,False,2026-02-23 16:39:24+00:00,2026-02-23,2029-03-01,,False,BILT,False,False,False,"230,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2029-03-01,,,321999.3,USD,,,0.0,,,,0.05,,False,,,3.0,,3.0,,,A004,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZXNP136XML0,NA/O Call Epn USD,USD-SOFR CME Term
12510,2131263700000000101,,NEWT,TRAD,2026-02-23 17:07:08+00:00,,IR,,N,False,2026-02-23 17:07:08+00:00,2026-03-01,2026-12-31,,True,BILT,False,False,False,"35,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2026-12-31,,,6073.74,USD,,,0.0,,,,0.05,,False,,,3.0,,3.0,,,A004,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZQJWDQ4V0VJ,NA/O Call Epn USD,USD-SOFR CME Term
12536,2131334024000000501,,NEWT,TRAD,2026-02-23 17:08:41+00:00,,IR,,N,False,2026-02-23 16:59:15+00:00,2026-03-01,2027-03-01,,False,BILT,False,False,False,"60,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2027-03-01,,,71800.0,USD,,,,,,,3.5,,False,,,,,3.0,,,A004,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZXNP136XML0,NA/O Call Epn USD,USD-SOFR CME Term
12550,2131307933000000101,,NEWT,TRAD,2026-02-23 17:09:37+00:00,,IR,,N,False,2026-02-23 17:09:37+00:00,2026-03-01,2027-03-01,,True,BILT,False,False,False,"10,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2027-03-01,,,3535.728,USD,,,0.0011448,,,,0.0381,,False,,,3.0,,3.0,,,A004,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZSMPW1BQH94,NA/O Call Epn USD,USD-SOFR Average 30D
12633,2131618408000000201,,NEWT,TRAD,2026-02-23 17:16:00+00:00,,IR,,N,False,2026-02-23 17:16:00+00:00,2026-02-13,2027-02-13,,False,XXXX,False,False,False,"35,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2027-02-13,,,11856.0,USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,A004,,,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,,,,,False,,,,,,,,,,,False,,,,,,,,,QZQJWDQ4V0VJ,NA/O Call Epn USD,USD-SOFR CME Term
12638,2131411938000001001,,NEWT,TRAD,2026-02-23 17:16:27+00:00,,IR,,N,False,2026-02-23 17:16:27+00:00,2026-02-13,2027-02-13,,False,BILT,False,False,False,"35,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2027-02-13,,,5928.0,USD,,,0.0,,,,0.04,,False,,,3.0,,3.0,,,A004,,MNTH,,1.0,,,,MNTH,,,,1.0,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZXNP136XML0,NA/O Call Epn USD,USD-SOFR CME Term
