Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
1922501602000000101,,NEWT,TRAD,2026-02-02 01:32:50+00:00,,CR,,I,False,2026-02-02 01:32:50+00:00,2026-02-03,2030-12-20,,False,BBSF,False,True,,"30,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.00655,,,,,,False,,,3.0,,,A004,,,,,,,,493484.19000,MNTH,,,,3.0,,,,UFRO,USD,,,,,False,1.0,,,,,,,,,,False,,,,,,,,,QZJJVPHDRWLD,NA/CDS Corp Idx,ITRAXX AUSTRALIA
1922566496000000201,1900518429000000101,CORR,,2026-02-02 01:42:21+00:00,,CR,,N,False,2026-01-28 00:46:13+00:00,2025-09-22,2030-12-20,2030-12-20,False,BILT,False,False,True,"4,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,False,,,,,,A004,,,,,,,,67601.26573,MNTH,,,,3.0,,,,UFRO,USD,,,,,False,1.0,,,,,,,,,,False,,,,,,,,,QZJJVPHDRWLD,NA/CDS Corp Idx,ITRAXX AUSTRALIA
1922566495000000101,1900528966000000101,CORR,,2026-02-02 01:42:22+00:00,,CR,,N,False,2026-01-28 00:45:59+00:00,2025-09-22,2030-12-20,2030-12-20,False,BILT,False,False,True,"6,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,False,,,,,,A004,,,,,,,,101402.35163,MNTH,,,,3.0,,,,UFRO,USD,,,,,False,1.0,,,,,,,,,,False,,,,,,,,,QZJJVPHDRWLD,NA/CDS Corp Idx,ITRAXX AUSTRALIA
1923042294000000101,,NEWT,TRAD,2026-02-02 03:06:08+00:00,,CR,,I,False,2026-02-02 03:06:08+00:00,2026-02-03,2030-12-20,,,TWSF,False,False,,"15,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.006735,,,,,,False,,,3.0,,,A004,,,,,,,,234313.94217,MNTH,,,,3.0,,,,UFRO,USD,,,,,False,1.0,,,,,,,,,,False,,,,,,,,,QZ1JC053T1T4,NA/CDS Corp Idx,ITRAXX ASIA EX-JAPAN IG
1923051234000000101,,NEWT,TRAD,2026-02-02 03:07:20+00:00,,CR,,I,False,2026-02-02 03:07:20+00:00,2026-02-03,2030-12-20,,,TWSF,False,False,,"8,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.00664,,,,,,False,,,3.0,,,A004,,,,,,,,128369.74176,MNTH,,,,3.0,,,,UFRO,USD,,,,,False,1.0,,,,,,,,,,False,,,,,,,,,QZJJVPHDRWLD,NA/CDS Corp Idx,ITRAXX AUSTRALIA
1923284132000000101,1806145281000000101,CORR,,2026-02-02 05:09:57+00:00,,CR,,N,False,2026-01-21 21:20:25+00:00,2026-02-04,2054-06-01,2054-06-01,True,BILT,False,False,False,"53,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,False,,,4.0,,,,,A004,,DAIL,,1.0,,,,,,,,,,,,,USD,,,,True,,,,,,,,OPET,,,False,,,,,,,,,QZWBC8GZ8TBN,NA/CDS Corp Oth,Basket
1930339371000000101,983229328000000101,CORR,,2026-02-02 05:15:19+00:00,,CR,,N,False,2025-11-05 22:58:00+00:00,2026-02-04,2054-06-01,2054-06-01,True,BILT,False,False,False,"35,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,False,,,4.0,,,,,A004,,DAIL,,1.0,,,,,,,,,,,,,USD,,,,True,,,,,,,,OPET,,,False,,,,,,,,,QZWBC8GZ8TBN,NA/CDS Corp Oth,Basket
1923429962000000101,,NEWT,TRAD,2026-02-02 06:33:32+00:00,,CR,,I,False,2026-02-02 06:33:32+00:00,2026-02-02,2030-12-20,,,BILT,False,False,True,"10,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,False,,,,,,A004,,,,,,,,158223.35000,MNTH,,,,3.0,,,,UFRO,USD,,,,,False,1.0,,,,,,,,,,False,,,,,,,,,QZJJVPHDRWLD,NA/CDS Corp Idx,ITRAXX AUSTRALIA
1924792070000000101,,NEWT,TRAD,2026-02-02 07:39:29+00:00,,CR,,I,False,2026-02-02 07:39:29+00:00,2026-02-02,2030-12-20,,,XXXX,False,False,True,"10,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,False,,,,,,A004,,,,,,,,155537.73000,MNTH,,,,3.0,,,,UFRO,USD,,,,,False,1.0,,,,,,,,,,False,,,,,,,,,QZ1JC053T1T4,NA/CDS Corp Idx,ITRAXX ASIA EX-JAPAN IG
1925449101000000201,,NEWT,TRAD,2026-02-02 08:05:13+00:00,,CR,,I,False,2026-02-02 08:05:13+00:00,2026-02-03,2030-12-20,,False,BBSF,False,True,,"8,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.00673,,,,,,False,,,3.0,,,A004,,,,,,,,125146.63108,MNTH,,,,3.0,,,,UFRO,USD,,,,,False,1.0,,,,,,,,,,False,,,,,,,,,QZ1JC053T1T4,NA/CDS Corp Idx,ITRAXX ASIA EX-JAPAN IG
