,Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
54,1933588669000000201,,NEWT,TRAD,2026-02-02 19:43:41+00:00,False,IR,,N,,2026-02-02 19:43:41+00:00,2026-05-05,2026-05-07,,False,XOFF,,,,"20,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.0239,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZ8H1FTZH8FR,NA/Fwd Pr Int Rt Idx USD,OTHER
170,1962897286000000101,471659312,CORR,,2026-02-04 13:52:45+00:00,,IR,,N,,2021-02-05 15:31:57+00:00,2021-02-09,2030-02-09,,False,BILT,,,,"2,000,000","2,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26161,0.26811,,,,,False,,,3.0,3.0,,,,A001,A004,MNTH,MNTH,3.0,3.0,,,MNTH,,MNTH,,3.0,,3.0,,,USD,,,,False,,USD-SOFR,USD-SOFR,,,,,CANC,,,False,,,,,,,,,QZ0QH4Q2QMW8,NA/Rts Swaps Oth USD,USD-SOFR-COMPOUND
176,1964198828000000101,,NEWT,TRAD,2026-02-04 16:43:45+00:00,False,IR,,N,,2026-02-04 16:43:45+00:00,2026-03-05,2026-03-09,,False,XOFF,,,,"30,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.0227,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZ8H1FTZH8FR,NA/Fwd Pr Int Rt Idx USD,OTHER
177,1964472449000001401,,NEWT,TRAD,2026-02-04 17:05:59+00:00,False,IR,,N,,2026-02-04 17:05:59+00:00,2026-03-05,2026-03-09,,False,XOFF,,,,"10,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.0227,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZ8H1FTZH8FR,NA/Fwd Pr Int Rt Idx USD,OTHER
179,1971958152000001001,,NEWT,TRAD,2026-02-04 17:25:00+00:00,,IR,,N,,2026-02-04 17:25:00+00:00,2026-02-05,2028-01-28,,False,BILT,,,,95,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,False,,,4.0,,,,,A001,,EXPI,,1.0,,,,EXPI,,,,1.0,,,,,,,,,False,,USD-UAU55-DBMUAU55,,,,,,,,,False,,,,,,,,,QZTKB48FX7D0,NA/Ot Ot Oth,
180,1971930011000000601,,NEWT,TRAD,2026-02-04 17:25:00+00:00,,IR,,N,,2026-02-04 17:25:00+00:00,2026-02-05,2027-01-25,,False,BILT,,,,385,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,False,,,4.0,,,,,A001,,EXPI,,1.0,,,,EXPI,,,,1.0,,,,,,,,,False,,USD-UAU55-DBMUAU55,,,,,,,,,False,,,,,,,,,QZTKB48FX7D0,NA/Ot Ot Oth,
184,1965109217000000301,,NEWT,TRAD,2026-02-04 17:41:10+00:00,False,IR,,N,,2026-02-04 17:41:10+00:00,2026-02-06,2028-02-04,,False,BILT,,,,"50,125,500","58,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0055,,,,,False,,,3.0,3.0,,,,,A004,MNTH,DAIL,6.0,3.0,,,,,MNTH,,,,3.0,,,,USD,,,False,,,USD_SOFR_ON,,,,,,,,False,,,,,,,,,QZBZ6BWR1RVJ,NA/Rts Swaps Oth USD,USD-SOFR-COMPOUND vs Basket
205,1966176058000000401,,NEWT,TRAD,2026-02-04 19:39:52+00:00,False,IR,,N,,2026-02-04 19:39:52+00:00,2026-03-10,2026-03-12,,False,XOFF,,,,"8,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.0399,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZ3ZNTJM4F7G,NA/Fwd Pr Int Rt Idx USD,OTHER
218,1979061423000001201,,NEWT,TRAD,2026-02-05 13:51:17+00:00,False,IR,,N,,2026-02-05 13:51:17+00:00,2026-03-05,2026-03-09,,False,XOFF,,,,"4,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.0398,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZ3ZNTJM4F7G,NA/Fwd Pr Int Rt Idx USD,OTHER
229,1980599309000000101,,NEWT,TRAD,2026-02-05 17:29:00+00:00,False,IR,,N,,2026-02-05 17:29:00+00:00,2026-05-05,2026-05-07,,False,XOFF,,,,"5,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.0438,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZ56KGWK63MN,NA/Fwd Pr Int Rt Idx USD,OTHER
