,Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
48477,1949922953000000601,,NEWT,TRAD,2026-02-03 19:18:17+00:00,,IR,,N,False,2026-02-03 19:18:17+00:00,2026-03-31,2028-03-31,,True,BILT,False,True,False,"500,000,000","500,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04455,,,,,0,0.0,,,,,False,,,3.0,3.0,,A004,A004,,,MNTH,MNTH,3.0,3.0,,MNTH,,MNTH,,3.0,,3.0,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZH46NBR0M2B,NA/Rts Swaps Oth USD,USD-CMT
48491,1949945656000000401,1949922953000000601,MODI,TRAD,2026-02-03 19:19:17+00:00,True,IR,,N,False,2026-02-03 19:18:17+00:00,2026-03-31,2028-03-31,,True,BILT,False,True,False,"500,000,000","500,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04455,,,,,0,0.0,,,,,False,,,3.0,3.0,,A004,A004,,,MNTH,MNTH,3.0,3.0,,MNTH,,MNTH,,3.0,,3.0,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZH46NBR0M2B,NA/Rts Swaps Oth USD,USD-CMT
73340,1964251442000001201,,NEWT,TRAD,2026-02-04 16:52:08+00:00,False,IR,,N,False,2026-02-04 16:52:08+00:00,2026-02-04,2026-06-15,,False,BILT,False,False,False,"500,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15,,,,USD,,,0.0,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZDL60T1R8SX,NA/Fwd Pr Int Rt Idx USD,USD-CMT
73516,1964319489000000401,,NEWT,TRAD,2026-02-04 16:58:27+00:00,,IR,,N,False,2026-02-04 16:58:27+00:00,2026-03-31,2028-03-31,,True,BILT,False,True,True,"1,000,000,000","1,000,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04458,,,,,0.0,0.0,,,,,False,,,3.0,3.0,,A004,A004,,,MNTH,MNTH,3.0,3.0,,MNTH,,MNTH,,3.0,,3.0,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZH46NBR0M2B,NA/Rts Swaps Oth USD,USD-CMT
73522,1964472446000001101,1964319489000000401,MODI,TRAD,2026-02-04 16:58:36+00:00,True,IR,,N,False,2026-02-04 16:58:27+00:00,2026-03-31,2028-03-31,,True,BILT,False,True,True,"1,000,000,000","1,000,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04458,,,,,0.0,0.0,,,,,False,,,3.0,3.0,,A004,A004,,,MNTH,MNTH,3.0,3.0,,MNTH,,MNTH,,3.0,,3.0,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZH46NBR0M2B,NA/Rts Swaps Oth USD,USD-CMT
99028,1981634135000000601,,NEWT,TRAD,2026-02-05 18:23:28+00:00,,IR,,N,False,2026-02-05 18:23:28+00:00,2026-02-05,2026-04-02,,True,BILT,False,False,False,"50,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.03798,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,,,,,,,,,,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZH7TXWKF4ZV,NA/Oth Oth Nstd,USD-CMT-T7051
116510,1995989898000000901,,NEWT,TRAD,2026-02-06 15:31:10+00:00,,IR,,N,False,2026-02-06 15:31:10+00:00,2026-03-31,2028-03-31,,True,BILT,False,True,True,"1,000,000,000","1,000,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04386,,,,,0.0,0.0,,,,,False,,,3.0,3.0,,A004,A004,,,MNTH,MNTH,3.0,3.0,,MNTH,,MNTH,,3.0,,3.0,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZH46NBR0M2B,NA/Rts Swaps Oth USD,USD-CMT
116517,1996025217000000901,1995989898000000901,MODI,TRAD,2026-02-06 15:31:26+00:00,True,IR,,N,False,2026-02-06 15:31:10+00:00,2026-03-31,2028-03-31,,True,BILT,False,True,True,"1,000,000,000","1,000,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04386,,,,,0.0,0.0,,,,,False,,,3.0,3.0,,A004,A004,,,MNTH,MNTH,3.0,3.0,,MNTH,,MNTH,,3.0,,3.0,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZH46NBR0M2B,NA/Rts Swaps Oth USD,USD-CMT
143762,2015601671000000101,1637674002000000101,TERM,ETRM,2026-02-09 22:21:59+00:00,,IR,,N,False,2026-01-06 14:51:12+00:00,2026-01-06,2026-02-10,,True,BILT,False,False,False,"180,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.042355,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,989224.11179,,,,,,,,,UWIN,USD,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZP68HMG4L3X,NA/Oth Oth Nstd,USD-CMT-T7051
143763,2015601672000000201,1712507354000000601,TERM,ETRM,2026-02-09 22:22:20+00:00,,IR,,N,False,2026-01-13 15:58:00+00:00,2026-01-13,2026-02-10,,True,BILT,False,False,False,"130,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.03809,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,317894.72000,,,,,,,,,UWIN,USD,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZH7TXWKF4ZV,NA/Oth Oth Nstd,USD-CMT-T7051
