vintage,lo,hi,cap,n
V1,0.0,0.12,6400000000.0,1411
V1,0.12,0.3,2100000000.0,4039
V1,0.3,0.54,1200000000.0,231
V1,0.54,1.04,1100000000.0,968
V1,1.04,2.25,460000000.0,4728
V1,2.25,5.25,240000000.0,10728
V1,5.25,10.5,170000000.0,9681
V1,10.75,31.0,120000000.0,4077
V1,31.0,41.0,75000000.0,62
V2,0.0,0.12,17000000000.0,1875
V2,0.12,0.3,7500000000.0,2632
V2,0.3,0.54,2000000000.0,603
V2,0.54,1.04,1700000000.0,1869
V2,1.04,2.25,1100000000.0,4408
V2,2.25,5.25,650000000.0,7846
V2,5.25,11.0,470000000.0,8729
V2,11.0,31.0,250000000.0,5015
V2,31.0,45.0,160000000.0,44
