n,separation,h,s,tau_true,p50_rel_err,p90_rel_err
50,0.5,0.09,0.18,0.18,8.296098259760852,10.600528740720534
100,0.5,0.09,0.18,0.18,8.249949344407959,10.396915587556869
200,0.5,0.09,0.18,0.18,8.577958703017416,10.077639080138603
400,0.5,0.09,0.18,0.18,8.990527238301791,10.442476477297577
800,0.5,0.09,0.18,0.18,8.93677599216485,10.174324684125404
1600,0.5,0.09,0.18,0.18,9.02702970507436,9.944968612617288
3200,0.5,0.09,0.18,0.18,9.02190871612534,9.894232563332013
50,0.75,0.135,0.18,0.11999999999999998,13.7297456651984,17.934804979213784
100,0.75,0.135,0.18,0.11999999999999998,13.483397861413977,17.163837035683763
200,0.75,0.135,0.18,0.11999999999999998,13.309794062441272,16.897801950730294
400,0.75,0.135,0.18,0.11999999999999998,13.845507715996572,16.667536973818198
800,0.75,0.135,0.18,0.11999999999999998,0.2134444716747318,15.680953337077591
1600,0.75,0.135,0.18,0.11999999999999998,0.12009911207815394,14.755501260387634
3200,0.75,0.135,0.18,0.11999999999999998,0.06770513532521705,0.2034193528135378
50,1.0,0.18,0.18,0.09,18.67756818593883,26.132258229903826
100,1.0,0.18,0.18,0.09,17.825847774509747,23.494331836446662
200,1.0,0.18,0.18,0.09,0.22591734159928645,21.35258190701749
400,1.0,0.18,0.18,0.09,0.12393687774780437,0.31938928078515727
800,1.0,0.18,0.18,0.09,0.08609834026220947,0.2413711582140552
1600,1.0,0.18,0.18,0.09,0.06439650728186341,0.16397452543368088
3200,1.0,0.18,0.18,0.09,0.04360613963642468,0.10989688818483072
50,1.5,0.27,0.18,0.05999999999999999,0.2160208129115203,33.955470165015846
100,1.5,0.27,0.18,0.05999999999999999,0.1584213168508119,0.4014309356134439
200,1.5,0.27,0.18,0.05999999999999999,0.11037085964406645,0.2491466881915249
400,1.5,0.27,0.18,0.05999999999999999,0.07648665707122715,0.17493283715562288
800,1.5,0.27,0.18,0.05999999999999999,0.056233761390130865,0.11675783075749309
1600,1.5,0.27,0.18,0.05999999999999999,0.03635270539484009,0.09175542663372567
3200,1.5,0.27,0.18,0.05999999999999999,0.026992182553425614,0.06902804186506993
50,2.5,0.44999999999999996,0.18,0.036000000000000004,0.15063040890449114,0.3314424933658362
100,2.5,0.44999999999999996,0.18,0.036000000000000004,0.11952653593560303,0.27399043643178644
200,2.5,0.44999999999999996,0.18,0.036000000000000004,0.08112296760898652,0.19361070362425714
400,2.5,0.44999999999999996,0.18,0.036000000000000004,0.05330690901138091,0.12670825773605277
800,2.5,0.44999999999999996,0.18,0.036000000000000004,0.03367782490088911,0.09067230170224087
1600,2.5,0.44999999999999996,0.18,0.036000000000000004,0.027716828262687176,0.06489513982271705
3200,2.5,0.44999999999999996,0.18,0.036000000000000004,0.018596316592787876,0.04615835327445744
