signature,h,rt_cm2,n_shock,n_noshock,n_all,gm_shock,gm_noshock,gm_all,gmean_shock,net_mean_1x_shock,incr_vs_noshock,incr_vs_all
10-30,1,1.8,25,108,113,-0.4969999999999697,-0.04550000000000942,-0.25200000000000955,-0.08383999999999837,-1.8838399999999984,-0.451,-0.245
10-30,5,1.8,18,54,55,-1.242999999999972,-0.5140000000000562,-0.4560000000000528,-0.37511111111110673,-2.1751111111111068,-0.729,-0.787
10-30,21,1.8,10,20,20,-4.897000000000017,-2.123000000000009,-2.208499999999991,-3.4081999999999995,-5.2082,-2.774,-2.689
2-10,1,1.8,27,90,98,-0.35700000000002774,-0.12450000000004025,-0.08050000000001845,-0.8893333333333353,-2.6893333333333356,-0.232,-0.277
2-10,5,1.8,19,48,50,-0.523000000000053,1.052500000000009,0.6604999999999954,-0.8252631578947418,-2.625263157894742,-1.576,-1.184
2-10,21,1.8,11,18,19,-0.8200000000000003,-3.467999999999984,-1.990999999999989,-2.254090909090917,-4.054090909090917,2.648,1.171
2-30,1,1.8,27,96,101,-0.9069999999999894,0.2420000000000062,0.3290000000000717,-0.45988888888890117,-2.2598888888889013,-1.149,-1.236
2-30,5,1.8,20,47,50,-0.8774999999999977,-0.43600000000001415,-1.4280000000000044,-1.6761999999999933,-3.4761999999999933,-0.441,0.551
2-30,21,1.8,10,19,19,-8.384499999999978,-1.2809999999999988,-2.917000000000016,-7.749699999999997,-9.549699999999998,-7.103,-5.467
5-10,1,1.8,29,102,107,0.17300000000002314,0.37400000000003075,0.2269999999999328,-0.31737931034482125,-2.1173793103448215,-0.201,-0.054
5-10,5,1.8,21,55,55,-1.1179999999999968,-0.2829999999999444,-0.16900000000008575,-1.132952380952374,-2.932952380952374,-0.835,-0.949
5-10,21,1.8,15,20,21,1.3179999999999303,-2.4320000000000306,-2.3540000000000063,-1.3077333333333292,-3.1077333333333295,3.75,3.672
5-30,1,1.8,25,108,118,0.0380000000000269,-0.2925000000000306,-0.24600000000001465,-0.6922399999999859,-2.492239999999986,0.331,0.284
5-30,5,1.8,20,56,57,-0.6259999999999737,-1.06949999999999,-0.6800000000000139,-0.5202499999999863,-2.3202499999999864,0.444,0.054
5-30,21,1.8,12,20,21,-5.636500000000023,-5.002499999999976,-5.0859999999999275,-3.723166666666659,-5.5231666666666595,-0.634,-0.551
10-15-30,1,3.6,36,105,112,-0.08849999999995717,0.07500000000000284,-0.00850000000003348,-0.13088888888890773,-3.730888888888908,-0.163,-0.08
10-15-30,5,3.6,24,51,55,-0.17900000000001803,-0.07099999999997664,-0.07900000000002905,-0.13404166666666759,-3.7340416666666676,-0.108,-0.1
10-15-30,21,3.6,15,20,20,-0.4970000000000603,-0.3335000000000292,-0.36450000000005645,-0.0037333333333101847,-3.6037333333333104,-0.164,-0.133
10-20-30,1,3.6,26,110,117,0.044999999999962625,0.07950000000007407,0.07200000000002404,0.09634615384613926,-3.5036538461538607,-0.035,-0.027
10-20-30,5,3.6,20,57,59,-0.1440000000000552,0.06099999999999994,-0.004000000000068837,-0.18395000000001954,-3.7839500000000195,-0.205,-0.14
10-20-30,21,3.6,12,21,22,-1.2824999999999864,-1.0160000000000409,-0.7855000000000159,-1.2138333333333402,-4.81383333333334,-0.266,-0.497
2-5-10,1,3.6,36,112,121,0.018500000000143402,-0.1485000000000376,-0.0910000000000224,-0.08933333333332547,-3.6893333333333254,0.167,0.11
2-5-10,5,3.6,23,57,57,0.04900000000001015,-0.13799999999997148,-0.07899999999993668,-0.3079130434782553,-3.9079130434782554,0.187,0.128
2-5-10,21,3.6,13,20,21,0.5359999999999125,-1.817000000000025,-1.4580000000000055,-0.9573846153845925,-4.557384615384593,2.353,1.994
5-10-30,1,3.6,19,82,85,0.32199999999988904,0.026499999999929358,0.13199999999988776,0.5085263157894745,-3.0914736842105257,0.295,0.19
5-10-30,5,3.6,17,44,45,0.7310000000000372,0.09700000000005815,0.21899999999996922,0.7058235294117754,-2.8941764705882247,0.634,0.512
5-10-30,21,3.6,11,18,18,0.05799999999998029,0.8175000000000043,1.1870000000000047,0.43018181818183865,-3.1698181818181617,-0.76,-1.129
5-7-10,1,3.6,29,93,99,-0.04899999999992133,0.03399999999995629,0.012999999999774303,-0.031379310344823365,-3.6313793103448235,-0.083,-0.062
5-7-10,5,3.6,21,51,52,-0.08500000000002395,0.14199999999999768,0.16049999999998565,-0.0786666666666597,-3.67866666666666,-0.227,-0.246
5-7-10,21,3.6,13,19,19,-0.057000000000062556,-0.13900000000011126,-0.13900000000011126,-0.07446153846153436,-3.6744615384615344,0.082,0.082
